experiment,percentDEInCat,set_size,term,ontology,genes
enriched_vs_control,20,88,cellular component organization,BP,gene_g3389; gene_g3460; gene_g3614; gene_g4508; gene_g4509; gene_g4510; gene_g4607; gene_g4852; gene_g5416; gene_g5784; gene_g6242; gene_g6244; gene_g6403; gene_g6951; gene_g6958; gene_g7679; gene_g7680; gene_g7797; gene_g8724; gene_g8923; gene_g9233; gene_g9286; gene_g9492; gene_g10676; gene_g10680; gene_g10844; gene_g11188; gene_g11190; gene_g11389; gene_g11703; gene_g11781; gene_g12031; gene_g12105; gene_g12286; gene_g12301; gene_g12798; gene_g12814; gene_g13749; gene_g13809; gene_g14149; gene_g14521; gene_g14870; gene_g14872; gene_g15107; gene_g15551; gene_g15655; gene_g15817; gene_g16528; gene_g16828; gene_g16858; gene_g17134; gene_g17154; gene_g17199; gene_g17318; gene_g17540; gene_g17663; gene_g17728; gene_g17864; gene_g17905; gene_g18046; gene_g18271; gene_g18340; gene_g18592; gene_g18680; gene_g18681; gene_g18682; gene_g18751; gene_g18876; gene_g19109; gene_g19185; gene_g19568; gene_g19600; gene_g19789; gene_g19802; gene_g19841; gene_g19905; gene_g19939; gene_g20484; gene_g21228; gene_g21329; gene_g23191; gene_g23518; gene_g23602; gene_g23729; gene_g25682; gene_g26093; gene_g26443; gene_g26805
enriched_vs_control,3.409090909,2,cellular component organization,BP,gene_g9352; gene_g13743
enriched_vs_control,33.33333333,3,cellular homeostasis,BP,gene_g446; gene_g8191; gene_g18286
enriched_vs_control,12.5,8,cellular localization,BP,gene_g4685; gene_g8973; gene_g9916; gene_g14525; gene_g14852; gene_g19714; gene_g25816; gene_g25909
enriched_vs_control,16.66666667,6,cellular metabolic process,BP,gene_g2260; gene_g4016; gene_g6901; gene_g13207; gene_g16312; gene_g25876
enriched_vs_control,3.921568627,102,cellular metabolic process,BP,gene_g74; gene_g3046; gene_g3246; gene_g3614; gene_g3642; gene_g4259; gene_g4260; gene_g4508; gene_g4509; gene_g4510; gene_g4607; gene_g4690; gene_g5416; gene_g6015; gene_g6069; gene_g6242; gene_g6244; gene_g6403; gene_g6951; gene_g6958; gene_g7192; gene_g7797; gene_g7850; gene_g8290; gene_g8564; gene_g8721; gene_g8724; gene_g9233; gene_g9286; gene_g9289; gene_g9343; gene_g9492; gene_g9828; gene_g10676; gene_g10680; gene_g10844; gene_g10866; gene_g11389; gene_g11598; gene_g11703; gene_g11781; gene_g11895; gene_g12031; gene_g12105; gene_g12286; gene_g12301; gene_g12371; gene_g12605; gene_g12798; gene_g12814; gene_g13198; gene_g13749; gene_g13830; gene_g14022; gene_g14149; gene_g14521; gene_g14525; gene_g14870; gene_g14872; gene_g15107; gene_g16790; gene_g16828; gene_g16858; gene_g17199; gene_g17540; gene_g17663; gene_g17864; gene_g17894; gene_g17905; gene_g18271; gene_g18383; gene_g18592; gene_g18680; gene_g18681; gene_g18682; gene_g18751; gene_g19109; gene_g19185; gene_g19568; gene_g19600; gene_g19789; gene_g19802; gene_g19841; gene_g19905; gene_g20347; gene_g20484; gene_g20618; gene_g20693; gene_g20922; gene_g20984; gene_g21228; gene_g21329; gene_g23191; gene_g23363; gene_g23518; gene_g23602; gene_g23729; gene_g25682; gene_g25884; gene_g26093; gene_g26443; gene_g26805
enriched_vs_control,25,4,cellular metabolic process,BP,gene_g2985; gene_g11345; gene_g11725; gene_g20356
enriched_vs_control,33.33333333,3,cellular nitrogen compound,BP,gene_g4448; gene_g4449; gene_g10734
enriched_vs_control,33.33333333,3,cytoplasmic translation,BP,gene_g11064; gene_g13454; gene_g25970
enriched_vs_control,100,1,cytoplasmic translation,BP,gene_g13978
enriched_vs_control,20,5,cytoplasmic translation,BP,gene_g6841; gene_g9111; gene_g12393; gene_g13454; gene_g13548
