experiment,percentDEInCat,term,genes
enriched_vs_control,2.272727273,regulation of macromolecule metabolic process,gene7; gene36; gene130; gene172; gene482; gene617; gene622; gene975; gene1039; gene1116; gene1273; gene1288; gene1530; gene1560; gene1584; gene1632; gene1633; gene1681; gene1763; gene1784; gene1859; gene1907; gene2043; gene2249; gene2250; gene2322; gene2368; gene2439; gene2509; gene2723; gene2727; gene2987; gene3043; gene3246; gene3475; gene3589; gene3591; gene3720; gene4086; gene4087; gene4089; gene4092; gene4140; gene4155; gene4419; gene4623; gene4637; gene4687; gene4699; gene4702; gene4703; gene4845; gene5189; gene5390; gene5440; gene5784; gene5929; gene6015; gene6129; gene6703; gene6707; gene6799; gene7083; gene7090; gene7115; gene7217; gene7428; gene7471; gene7482; gene7542; gene7656; gene7763; gene7780; gene7842; gene8059; gene8333; gene8383; gene8615; gene8721; gene8815; gene8822; gene8823; gene8852; gene8890; gene9093; gene9129; gene9155; gene9173; gene9227; gene9289; gene9366; gene9715; gene9811; gene10035; gene10105; gene10218; gene10277; gene10298; gene10644; gene10668; gene10962; gene11009; gene11134; gene11208; gene11211; gene11212; gene11408; gene11439; gene11528; gene11529; gene11531; gene11561; gene11619; gene11754; gene12052; gene12158; gene12371; gene12605; gene12822; gene12910; gene12966; gene12970; gene12985; gene13044; gene13135; gene13173; gene13466; gene13629; gene13746; gene13854; gene13898; gene13974; gene13994; gene14027; gene14034; gene14035; gene14117; gene14338; gene14425; gene14504; gene14608; gene14681; gene14693; gene14733; gene14903; gene14936; gene14954; gene14995; gene15066; gene15311; gene15538; gene15561; gene15716; gene15734; gene15747; gene15824; gene15863; gene15903; gene15910; gene15923; gene16045; gene16046; gene16058; gene16181; gene16201; gene16409; gene16615; gene16616; gene16730; gene16897; gene16961; gene17110; gene17180; gene17190; gene17204; gene17205; gene17230; gene17233; gene17260; gene17308; gene17310; gene17413; gene17415; gene17602; gene17697; gene17750; gene17855; gene17883; gene17890; gene18262; gene18268; gene18316; gene18338; gene18427; gene18630; gene19048; gene19245; gene19246; gene19262; gene19429; gene19488; gene19548; gene19860; gene20135; gene20257; gene20267; gene20336; gene20381; gene20416; gene20506; gene20521; gene20651; gene20745; gene21203; gene21567; gene21690; gene21700; gene23048; gene23049; gene23054; gene23111; gene23115; gene23116; gene23118; gene23141; gene23191; gene23325; gene23381; gene23458; gene23461; gene23684; gene24061; gene24228; gene24265; gene24398; gene24539; gene25112; gene25417; gene25460; gene25640; gene25641; gene25716; gene25803; gene25843; gene25863; gene25884; gene25935; gene26103; gene26104; gene26105; gene26113; gene26174; gene26216; gene26217; gene26287; gene26288; gene26432; gene26535; gene26542; gene26543; gene26631; gene26679; gene26698; gene26735; gene26742; gene26_5de57afd; gene340_5de57afd
enriched_vs_control,33.33333333,regulation of lipid storage,gene1039; gene1126; gene7083; gene13690; gene16615; gene16616
enriched_vs_control,25,transport,gene10340; gene10342; gene10343; gene10345
enriched_vs_control,2.34741784,transport,gene70; gene307; gene540; gene550; gene802; gene804; gene931; gene1010; gene1059; gene1292; gene1301; gene1330; gene1460; gene1537; gene1651; gene1794; gene1882; gene1903; gene2161; gene2304; gene2373; gene2412; gene2755; gene3191; gene3273; gene3274; gene3278; gene3761; gene4099; gene4228; gene4233; gene4364; gene4374; gene5129; gene5236; gene5981; gene6167; gene6417; gene6559; gene6567; gene6694; gene6762; gene6801; gene6905; gene6925; gene7020; gene7044; gene7053; gene7096; gene7113; gene7243; gene7383; gene7406; gene7654; gene8066; gene8160; gene8272; gene8464; gene8766; gene8998; gene9129; gene9545; gene9879; gene10084; gene10231; gene10635; gene10745; gene10929; gene11429; gene11506; gene11555; gene11697; gene12101; gene12186; gene12214; gene12634; gene12696; gene12906; gene13183; gene13347; gene13388; gene13740; gene13743; gene14400; gene14478; gene14690; gene14849; gene14991; gene14992; gene15025; gene15540; gene16025; gene16174; gene16269; gene16298; gene16426; gene17266; gene17491; gene17605; gene18542; gene18659; gene19594; gene19603; gene19708; gene20212; gene20271; gene20306; gene20496; gene20878; gene23065; gene23066; gene23437; gene23592; gene23611; gene23660; gene23709; gene23710; gene23809; gene23824; gene23930; gene23997; gene24033; gene24042; gene24395; gene24423; gene24592; gene24665; gene24878; gene25221; gene25222; gene25473; gene26073; gene26100; gene26582; gene26583; gene354_5de57afd; gene611_5de57afd; Pver_split_gene_g11806-g11806; gene419; gene1049; gene1557; gene1907; gene2144; gene2817; gene2850; gene2857; gene3116; gene3125; gene3410; gene3673; gene3702; gene3970; gene4566; gene4692; gene4758; gene4944; gene4995; gene5071; gene5177; gene5235; gene5255; gene5267; gene5730; gene5874; gene6870; gene6972; gene6983; gene7851; gene8563; gene8670; gene8690; gene8962; gene9323; gene9344; gene9650; gene10067; gene10244; gene10368; gene10558; gene10579; gene11163; gene11342; gene11680; gene12824; gene13042; gene13932; gene14152; gene15177; gene15292; gene15309; gene15518; gene16280; gene16342; gene16456; gene16548; gene16706; gene17462; gene18034; gene18269; gene18414; gene19269; gene19270; gene19927; gene21424; gene25892; gene26154; gene26335; gene3115; gene11247; gene11835; gene19925; gene19926; gene20784; gene20943; gene22145; gene22190; gene24030
enriched_vs_control,50,modulation by symbiont of host process,gene10867; gene19246
enriched_vs_control,33.33333333,carboxylic acid metabolic process,gene2260; gene4016; gene6901; gene13207; gene16312; gene25876
enriched_vs_control,5.555555556,cytolysis,gene4346; gene7358; gene10081; gene10708; gene11363; gene11819; gene12443; gene14705; gene15104; gene16112; gene16288; gene16465; gene16466; gene18038; gene18039; gene18040; gene18041; gene18042; gene18749; gene23506; gene24253; gene24918; gene25028; gene26376; gene26377; gene26726; gene26727; gene3770; gene7561; gene11247; gene11835; gene18237; gene20943; gene22145; gene22190; gene24030
enriched_vs_control,6.25,reproduction,gene304; gene860; gene1095; gene3835; gene4041; gene4744; gene4764; gene4814; gene4846; gene5008; gene6826; gene6987; gene6988; gene6989; gene7609; gene9300; gene10147; gene12143; gene12195; gene12634; gene13047; gene13740; gene14039; gene14040; gene16603; gene17452; gene17800; gene19247; gene19788; gene22791; gene22883; gene24049; gene407_5de57afd
enriched_vs_control,50,reproduction,gene2478; gene7570
enriched_vs_control,3.614457831,transport,gene82; gene304; gene913; gene953; gene956; gene1184; gene3663; gene3664; gene3913; gene3915; gene4074; gene4791; gene5446; gene5899; gene5946; gene5947; gene5948; gene5949; gene6334; gene6349; gene6437; gene6794; gene6795; gene6988; gene7598; gene8632; gene8706; gene8743; gene8744; gene9266; gene10147; gene10381; gene11090; gene11095; gene12616; gene13606; gene13607; gene13625; gene14660; gene15069; gene15089; gene15330; gene15334; gene16081; gene16510; gene16518; gene16810; gene16814; gene17452; gene17533; gene17672; gene18253; gene18326; gene18327; gene19196; gene19788; gene19903; gene21487; gene23388; gene24016; gene24031; gene24447; gene24948; gene26304; gene26305; gene444_5de57afd; gene3966; gene5085; gene6122; gene8223; gene8845; gene9039; gene11940; gene14277; gene15523; gene15755; gene16674; gene23498; gene25039; gene23133; gene24829; gene12638; gene21036; gene26117
enriched_vs_control,20,nitrogen compound metabolic process,gene6370; gene14258; gene23947; gene24396; gene5518
enriched_vs_control,13.04347826,transport,gene240; gene814; gene815; gene1039; gene1126; gene3490; gene3556; gene3616; gene6598; gene6822; gene6893; gene7083; gene7987; gene8062; gene9281; gene10331; gene14374; gene14376; gene16226; gene16615; gene16616; gene18381; gene19192; gene500_5de57afd
enriched_vs_control,50,positive regulation of phospholipase activity,gene4609; gene11752
enriched_vs_control,6.666666667,response to nutrient levels,gene922; gene946; gene2467; gene2504; gene2956; gene4562; gene5784; gene6248; gene7025; gene7033; gene7332; gene8893; gene8933; gene8935; gene10364; gene10619; gene10623; gene11896; gene12509; gene12517; gene13135; gene13365; gene14848; gene14942; gene16606; gene17738; gene17826; gene17827; gene19246; gene26113; gene525_5de57afd
enriched_vs_control,50,response to nutrient levels,gene7132; gene15943
enriched_vs_control,33.33333333,regulation of transport,gene13135; gene17750; gene19246
enriched_vs_control,25,regulation of macromolecule metabolic process,gene15186; gene15740; gene16851; gene23209
enriched_vs_control,100,nitrogen compound metabolic process,gene15981; gene486_5de57afd
enriched_vs_control,100,nitrogen compound metabolic process,gene15981; gene486_5de57afd
enriched_vs_control,100,nitrogen compound metabolic process,gene15981; gene486_5de57afd
enriched_vs_control,33.33333333,multicellular organismal process,gene1039; gene1126; gene7083; gene16615; gene16616; gene23026
enriched_vs_control,15,response to stimulus,gene6248; gene7332; gene8055; gene8893; gene8933; gene8935; gene10364; gene10619; gene10623; gene11896; gene12509; gene12511; gene12512; gene12517; gene13365; gene14942; gene17736; gene17738; gene17826; gene17827; gene525_5de57afd
enriched_vs_control,33.33333333,biological process involved in interspecies interaction between organisms,gene14886; gene14887; gene21987
enriched_vs_control,5.263157895,regulation of biological process,gene130; gene190; gene527; gene1069; gene2043; gene2351; gene2982; gene3034; gene3046; gene4615; gene4918; gene5483; gene7481; gene9329; gene9828; gene9870; gene11322; gene11485; gene11529; gene11939; gene13044; gene13168; gene13629; gene13689; gene14022; gene14219; gene14557; gene14807; gene17110; gene18967; gene19743; gene23054; gene23329; gene23778; gene25762; gene25935; gene26194; gene26349
enriched_vs_control,14.28571429,transport,gene212; gene1039; gene1126; gene4645; gene7083; gene8652; gene12055; gene16615; gene16616; gene17072; gene23557; gene26836; gene24151; gene24257
enriched_vs_control,50,regulation of cellular process,gene13135; gene19246
enriched_vs_control,50,response to nutrient levels,gene422; gene7570
enriched_vs_control,8.333333333,cellular process,gene4346; gene7358; gene10081; gene10708; gene11363; gene11819; gene12443; gene16112; gene16288; gene18038; gene18039; gene18040; gene18041; gene18042; gene18477; gene18749; gene21603; gene23506; gene24253; gene24918; gene26376; gene26377; gene26726; gene26727
enriched_vs_control,100,nitrogen compound metabolic process,gene15981; gene486_5de57afd
enriched_vs_control,3.260869565,nitrogen compound metabolic process,gene767; gene872; gene1503; gene1632; gene1633; gene2322; gene2656; gene2666; gene2959; gene4472; gene5098; gene5413; gene5540; gene5639; gene5724; gene5768; gene6416; gene7542; gene7589; gene7590; gene7780; gene7880; gene8059; gene8599; gene8822; gene8823; gene9312; gene9739; gene10277; gene10644; gene11029; gene11032; gene11408; gene11564; gene11649; gene12052; gene12359; gene12361; gene13994; gene14027; gene14117; gene15117; gene15446; gene15538; gene15716; gene15910; gene16409; gene16730; gene16961; gene17190; gene17204; gene17205; gene17230; gene17243; gene17310; gene17415; gene17736; gene17978; gene18096; gene18185; gene18338; gene18501; gene18927; gene19548; gene19750; gene19826; gene19860; gene19935; gene19976; gene20205; gene20299; gene20381; gene20416; gene20506; gene20651; gene20739; gene20891; gene20932; gene21654; gene21690; gene23885; gene23928; gene24167; gene24228; gene25640; gene25641; gene26432; gene26477; gene26542; gene26631; gene26707; gene26791; gene340_5de57afd
enriched_vs_control,6.818181818,response to stimulus,gene82; gene1184; gene1513; gene1816; gene3913; gene3915; gene5946; gene5947; gene5949; gene6341; gene7598; gene8614; gene8692; gene8693; gene8706; gene9266; gene11061; gene11090; gene11095; gene11478; gene13817; gene14599; gene14660; gene15069; gene15330; gene15334; gene16081; gene16511; gene16518; gene16810; gene16813; gene17533; gene17734; gene18253; gene20572; gene20756; gene20862; gene21266; gene21487; gene23009; gene23170; gene23173; gene24031; gene26304; gene715_5de57afd
enriched_vs_control,16.66666667,regulation of cellular process,gene9387; gene11054; gene11055; gene16605; gene24707; gene25238
enriched_vs_control,20,biological regulation,gene7950; gene8120; gene9017; gene12512; gene23101
enriched_vs_control,33.33333333,catalytic activity,gene15654; gene15655; gene15656; gene601_5de57afd
enriched_vs_control,50,regulation of biological process,gene3261; gene19246
enriched_vs_control,50,response to stimulus,gene7570; gene18536
enriched_vs_control,100,response to stimulus,gene1842; gene26406
enriched_vs_control,20,transport,gene2345; gene3800; gene10340; gene10341; gene10342; gene10343; gene10344; gene10345; gene22816; gene22817
enriched_vs_control,20,response to nitrogen compound,gene3649; gene4843; gene7570; gene7920; gene17430
enriched_vs_control,100,response to nitrogen compound,gene16604
enriched_vs_control,50,transport,gene13279; gene18735
enriched_vs_control,50,regulation of cellular process,gene11619; gene15713
enriched_vs_control,100,response to nitrogen compound,gene7570
enriched_vs_control,18.75,multicellular organismal process,gene1039; gene1126; gene1260; gene2542; gene7083; gene10268; gene12061; gene13135; gene14500; gene16615; gene16616; gene18519; gene19196; gene19246; gene20008; gene23885
enriched_vs_control,100,regulation of cellular process,gene16604
enriched_vs_control,50,response to stimulus,gene13135; gene19246
enriched_vs_control,100,protein localization,gene11175
enriched_vs_control,100,nitrogen compound metabolic process,gene9524
enriched_vs_control,100,response to stimulus,gene3838
enriched_vs_control,33.33333333,response to stimulus,gene7050; gene9847; gene16604
enriched_vs_control,25,response to stimulus,gene864; gene13135; gene16790; gene19246
enriched_vs_control,33.33333333,protein localization,gene1708; gene9524; gene14070
enriched_vs_control,20,cellular component organization or biogenesis,gene5995; gene7987; gene13135; gene14417; gene19246
enriched_vs_control,100,response to nitrogen compound,gene15943
enriched_vs_control,50,regulation of biological process,gene13135; gene19246
enriched_vs_control,5,anatomical structure development,gene82; gene465; gene953; gene1184; gene1551; gene2720; gene4074; gene5929; gene5948; gene6296; gene6349; gene6437; gene6620; gene7176; gene7598; gene8605; gene8743; gene8744; gene9266; gene9999; gene10374; gene10378; gene11090; gene11095; gene12503; gene12616; gene12870; gene13607; gene14445; gene14449; gene15330; gene15334; gene16518; gene16810; gene16814; gene16966; gene17533; gene17602; gene17672; gene17780; gene18253; gene18438; gene18759; gene18791; gene19586; gene20854; gene20877; gene21281; gene21308; gene21569; gene21734; gene21741; gene23173; gene23560; gene24031; gene24199; gene25076; gene25678; gene25744; gene26304
enriched_vs_control,50,anatomical structure development,gene7570; gene17111
enriched_vs_control,50,anatomical structure development,gene6870; gene18480
enriched_vs_control,33.33333333,anatomical structure development,gene6870; gene9943; gene15125
enriched_vs_control,2.264150943,anatomical structure development,gene99; gene234; gene235; gene237; gene238; gene370; gene430; gene431; gene446; gene753; gene866; gene871; gene967; gene971; gene987; gene1067; gene1068; gene1086; gene1352; gene1438; gene1444; gene1460; gene1550; gene1578; gene1638; gene1689; gene1709; gene2045; gene2076; gene2396; gene2461; gene2499; gene2528; gene2894; gene3052; gene3077; gene3265; gene3363; gene3413; gene3416; gene3428; gene3655; gene3898; gene3901; gene4430; gene4470; gene4541; gene4650; gene4680; gene4729; gene4732; gene4764; gene4880; gene4923; gene4935; gene4942; gene5097; gene5190; gene5383; gene5509; gene5639; gene5804; gene6081; gene6163; gene6275; gene6411; gene6461; gene6713; gene7115; gene7172; gene7243; gene7554; gene7557; gene7591; gene7592; gene7709; gene7710; gene7814; gene7854; gene8067; gene8123; gene8205; gene8313; gene8693; gene8764; gene8774; gene9024; gene9026; gene9081; gene9161; gene9232; gene9334; gene9436; gene9438; gene9439; gene9440; gene9482; gene9608; gene9638; gene9803; gene9848; gene9856; gene10027; gene10304; gene10388; gene10404; gene10407; gene10408; gene10712; gene10815; gene10845; gene10937; gene11007; gene11010; gene11153; gene11268; gene11455; gene11550; gene11674; gene11690; gene11733; gene11793; gene11797; gene12016; gene12033; gene12085; gene12101; gene12179; gene12209; gene12315; gene12394; gene12613; gene12634; gene12693; gene12828; gene12830; gene12855; gene12910; gene12943; gene13001; gene13047; gene13104; gene13123; gene13154; gene13286; gene13406; gene13477; gene13644; gene13650; gene13652; gene13686; gene13704; gene13725; gene13740; gene13747; gene13814; gene13849; gene13915; gene13948; gene14065; gene14395; gene14554; gene14643; gene14685; gene14768; gene14871; gene14991; gene15195; gene15331; gene15411; gene15449; gene15505; gene15600; gene15811; gene15908; gene16100; gene16270; gene16440; gene16481; gene16511; gene16617; gene16632; gene16811; gene16919; gene16968; gene17089; gene17094; gene17263; gene17328; gene17427; gene17491; gene17573; gene17594; gene17976; gene18173; gene18365; gene18523; gene18590; gene18610; gene18659; gene18687; gene18740; gene18924; gene18970; gene19190; gene19205; gene19229; gene19275; gene19290; gene19414; gene19419; gene19421; gene19422; gene19477; gene19593; gene19624; gene19674; gene19871; gene19928; gene19940; gene19996; gene20037; gene20161; gene20475; gene20559; gene20572; gene20756; gene20970; gene21179; gene21266; gene21277; gene21557; gene21571; gene21639; gene22737; gene22904; gene22944; gene22966; gene23050; gene23051; gene23311; gene23351; gene23364; gene23433; gene23451; gene23652; gene23913; gene23928; gene23952; gene24488; gene24605; gene24950; gene25512; gene25598; gene25819; gene26197; gene26294; gene26295; gene26306; gene26434; gene26508; gene26584; gene26591; gene26641; gene26753; gene26801; gene207_5de57afd; gene252_5de57afd; gene517_5de57afd; gene559_5de57afd; gene1920
enriched_vs_control,10,anatomical structure development,gene1739; gene2058; gene3560; gene3838; gene4375; gene5178; gene5208; gene5234; gene9182; gene9469; gene11054; gene11055; gene15186; gene15740; gene15923; gene16086; gene19080; gene23321; gene25664; gene26166
enriched_vs_control,16.66666667,anatomical structure development,gene759; gene5996; gene9424; gene11908; gene14176; gene24969
enriched_vs_control,33.33333333,anatomical structure development,gene5052; gene13279; gene18735
enriched_vs_control,25,anatomical structure development,gene5052; gene13279; gene14176; gene18735
enriched_vs_control,9.090909091,anatomical structure development,gene764; gene1156; gene1610; gene4120; gene5865; gene6015; gene6121; gene7253; gene7471; gene9326; gene9522; gene10921; gene12127; gene12262; gene13368; gene14140; gene14844; gene15186; gene15240; gene16544; gene25625; gene25716
enriched_vs_control,5.263157895,anatomical structure development,gene488; gene629; gene1156; gene1157; gene1198; gene3163; gene3544; gene4180; gene4448; gene4449; gene4723; gene4726; gene4727; gene4729; gene5118; gene5929; gene6609; gene6862; gene7018; gene9902; gene10763; gene10921; gene12961; gene13864; gene14115; gene14243; gene14315; gene14903; gene15960; gene17233; gene17602; gene20439; gene23646; gene25621; gene25622; gene26260; gene26751; gene26789; gene252_5de57afd
enriched_vs_control,50,anatomical structure development,gene3838; gene8295
enriched_vs_control,5.263157895,anatomical structure development,gene19; gene1179; gene1382; gene2001; gene2002; gene2003; gene2004; gene2010; gene2862; gene4011; gene4021; gene4330; gene4972; gene6262; gene6264; gene6266; gene8541; gene8637; gene9667; gene11173; gene11606; gene11678; gene11680; gene12335; gene12769; gene12951; gene13135; gene13899; gene14994; gene15875; gene15960; gene16835; gene18724; gene18915; gene19246; gene23262; gene23265; gene24312; gene45_5de57afd
enriched_vs_control,50,anatomical structure development,gene15186; gene15740
enriched_vs_control,25,anatomical structure development,gene1462; gene13350; gene15186; gene15740
enriched_vs_control,25,anatomical structure development,gene8065; gene13301; gene16144; gene25700
enriched_vs_control,100,anatomical structure development,gene8642
enriched_vs_control,33.33333333,anatomical structure development,gene3037; gene3409; gene3838
enriched_vs_control,100,anatomical structure development,gene3838
enriched_vs_control,25,anatomical structure development,gene6262; gene6263; gene6264; gene6266
enriched_vs_control,20,anatomical structure development,gene2121; gene7824; gene8066; gene8997; gene19246
enriched_vs_control,25,anatomical structure development,gene6262; gene6263; gene6264; gene6266
enriched_vs_control,13.33333333,anatomical structure development,gene1546; gene4013; gene4140; gene5921; gene5925; gene5928; gene7711; gene11801; gene13405; gene14844; gene15186; gene16278; gene16722; gene17601; gene17602; gene639_5de57afd
enriched_vs_control,50,anatomical structure development,gene15639; gene26231
enriched_vs_control,11.11111111,anatomical structure development,gene1210; gene2043; gene5236; gene5857; gene5869; gene6559; gene11065; gene11647; gene12301; gene12814; gene13168; gene14017; gene14188; gene15216; gene15885; gene18905; gene19813; gene21228
enriched_vs_control,50,anatomical structure development,gene13279; gene18735
enriched_vs_control,25,anatomical structure development,gene316; gene11463; gene15186; gene15740
enriched_vs_control,3.25203252,anatomical structure development,gene18; gene425; gene718; gene1156; gene1157; gene1260; gene1487; gene2130; gene2132; gene2145; gene2462; gene2535; gene2537; gene2591; gene2647; gene2746; gene3038; gene3039; gene3040; gene3044; gene3526; gene3783; gene3838; gene3860; gene3918; gene3953; gene4019; gene4448; gene4449; gene5098; gene5099; gene5102; gene5118; gene5376; gene5410; gene5445; gene5495; gene5497; gene5767; gene5768; gene5926; gene5976; gene6352; gene6404; gene6442; gene6955; gene6957; gene7357; gene7819; gene8082; gene8478; gene8548; gene8550; gene8667; gene8796; gene8889; gene8915; gene9159; gene9162; gene9163; gene9173; gene9200; gene9383; gene9722; gene9748; gene10536; gene10653; gene10921; gene10988; gene11034; gene11362; gene11453; gene11570; gene12178; gene12267; gene12635; gene12989; gene13153; gene14057; gene14296; gene14425; gene14502; gene14534; gene14598; gene14710; gene14787; gene14903; gene15010; gene15156; gene15206; gene15209; gene15210; gene15271; gene15302; gene15903; gene16405; gene16559; gene16827; gene17086; gene17472; gene17978; gene18143; gene18647; gene18761; gene18890; gene19021; gene19080; gene20106; gene20211; gene20256; gene20484; gene20842; gene21198; gene22882; gene23244; gene23269; gene23729; gene24551; gene24820; gene25613; gene25768; gene25912; gene26443; gene133_5de57afd; gene269_5de57afd
enriched_vs_control,10,anatomical structure development,gene816; gene1252; gene1498; gene1864; gene1866; gene2884; gene3868; gene4020; gene4724; gene5236; gene6559; gene10876; gene10911; gene12511; gene12881; gene14525; gene18094; gene23024; gene25796; gene25909
enriched_vs_control,100,anatomical structure development,gene16873
