experiment,percentDEInCat,set_size,term,genes
enriched_vs_control,2.059925094,534,catalytic activity,gene_g216; gene_g217; gene_g218; gene_g219; gene_g233; gene_g501; gene_g741; gene_g1041; gene_g1058; gene_g1091; gene_g1258; gene_g1470; gene_g1668; gene_g1669; gene_g1919; gene_g2050; gene_g2078; gene_g2284; gene_g2377; gene_g2708; gene_g2863; gene_g2953; gene_g3286; gene_g3335; gene_g3679; gene_g4017; gene_g4018; gene_g4082; gene_g4130; gene_g4131; gene_g4188; gene_g4282; gene_g4396; gene_g4460; gene_g4586; gene_g4588; gene_g5110; gene_g5434; gene_g5518; gene_g5679; gene_g5696; gene_g5772; gene_g5885; gene_g5973; gene_g6017; gene_g6312; gene_g6377; gene_g6716; gene_g6735; gene_g7043; gene_g7060; gene_g7297; gene_g7421; gene_g7518; gene_g7523; gene_g7555; gene_g7634; gene_g7635; gene_g7856; gene_g8357; gene_g8397; gene_g8461; gene_g8659; gene_g8749; gene_g8800; gene_g8801; gene_g8811; gene_g9000; gene_g9232; gene_g9264; gene_g9265; gene_g9621; gene_g9660; gene_g9661; gene_g9664; gene_g9790; gene_g10257; gene_g10258; gene_g10581; gene_g10582; gene_g10906; gene_g10907; gene_g10914; gene_g10970; gene_g11022; gene_g11547; gene_g12064; gene_g12089; gene_g12174; gene_g12180; gene_g12275; gene_g12276; gene_g12277; gene_g12278; gene_g12288; gene_g12312; gene_g12556; gene_g13043; gene_g13087; gene_g13088; gene_g13092; gene_g13114; gene_g13299; gene_g13375; gene_g13399; gene_g13462; gene_g13584; gene_g13886; gene_g14562; gene_g14798; gene_g15078; gene_g15079; gene_g15455; gene_g15545; gene_g15709; gene_g15821; gene_g16023; gene_g16308; gene_g16509; gene_g16673; gene_g17321; gene_g17475; gene_g17640; gene_g17641; gene_g17806; gene_g18100; gene_g18192; gene_g18193; gene_g18228; gene_g18379; gene_g18811; gene_g18859; gene_g19092; gene_g19469; gene_g20296; gene_g21021; gene_g21580; gene_g22734; gene_g23440; gene_g23532; gene_g23711; gene_g23840; gene_g23889; gene_g24065; gene_g24418; gene_g24428; gene_g24436; gene_g24484; gene_g24570; gene_g24631; gene_g24763; gene_g24782; gene_g25013; gene_g25193; gene_g25252; gene_g25273; gene_g25390; gene_g25392; gene_g25469; gene_g25980; gene_g25983; gene_g26037; gene_g26231; gene_70_5de57afd; gene_440_5de57afd; gene_g160; gene_g225; gene_g264; gene_g283; gene_g291; gene_g502; gene_g564; gene_g652; gene_g702; gene_g738; gene_g751; gene_g773; gene_g875; gene_g996; gene_g1020; gene_g1048; gene_g1062; gene_g1145; gene_g1243; gene_g1341; gene_g1343; gene_g1349; gene_g1398; gene_g1400; gene_g1528; gene_g1586; gene_g1682; gene_g1713; gene_g1862; gene_g1871; gene_g1953; gene_g2042; gene_g2100; gene_g2101; gene_g2220; gene_g2509; gene_g2558; gene_g2559; gene_g2560; gene_g2584; gene_g2828; gene_g2829; gene_g2858; gene_g2860; gene_g2869; gene_g2870; gene_g3036; gene_g3047; gene_g3158; gene_g3341; gene_g3343; gene_g3360; gene_g3361; gene_g3378; gene_g3411; gene_g3417; gene_g3431; gene_g3491; gene_g3716; gene_g3836; gene_g4241; gene_g4246; gene_g4248; gene_g4380; gene_g4442; gene_g4563; gene_g4701; gene_g4709; gene_g5020; gene_g5028; gene_g5149; gene_g5253; gene_g5410; gene_g5438; gene_g5482; gene_g5542; gene_g5775; gene_g5907; gene_g5971; gene_g5972; gene_g5996; gene_g6225; gene_g6636; gene_g6692; gene_g6742; gene_g6753; gene_g6756; gene_g6776; gene_g6890; gene_g6937; gene_g7077; gene_g7102; gene_g7160; gene_g7230; gene_g7247; gene_g7282; gene_g7403; gene_g7404; gene_g7580; gene_g7625; gene_g7714; gene_g7940; gene_g7944; gene_g8077; gene_g8083; gene_g8085; gene_g8109; gene_g8158; gene_g8190; gene_g8196; gene_g8271; gene_g8306; gene_g8650; gene_g8684; gene_g8799; gene_g8875; gene_g9029; gene_g9041; gene_g9087; gene_g9521; gene_g9522; gene_g9538; gene_g9617; gene_g9618; gene_g9658; gene_g9684; gene_g9746; gene_g9805; gene_g9815; gene_g9816; gene_g9817; gene_g9818; gene_g9860; gene_g9866; gene_g9867; gene_g9893; gene_g9950; gene_g9951; gene_g9991; gene_g10026; gene_g10107; gene_g10149; gene_g10615; gene_g10616; gene_g10723; gene_g10829; gene_g10869; gene_g10927; gene_g10948; gene_g11088; gene_g11099; gene_g11274; gene_g11345; gene_g11459; gene_g11472; gene_g11487; gene_g11531; gene_g11660; gene_g11661; gene_g11722; gene_g11723; gene_g12029; gene_g12108; gene_g12133; gene_g12155; gene_g12168; gene_g12169; gene_g12243; gene_g12289; gene_g12307; gene_g12311; gene_g12322; gene_g12378; gene_g12417; gene_g12778; gene_g12781; gene_g12819; gene_g12903; gene_g13037; gene_g13139; gene_g13195; gene_g13197; gene_g13544; gene_g13587; gene_g13588; gene_g13746; gene_g13791; gene_g13888; gene_g14074; gene_g14097; gene_g14145; gene_g14375; gene_g14378; gene_g14399; gene_g14479; gene_g14480; gene_g14928; gene_g14933; gene_g14982; gene_g15015; gene_g15021; gene_g15141; gene_g15213; gene_g15225; gene_g15397; gene_g15399; gene_g15554; gene_g15556; gene_g15557; gene_g15563; gene_g15565; gene_g15598; gene_g15639; gene_g15724; gene_g15909; gene_g16301; gene_g16322; gene_g16323; gene_g16365; gene_g16453; gene_g16626; gene_g16628; gene_g17135; gene_g17539; gene_g17565; gene_g17642; gene_g17863; gene_g18144; gene_g18163; gene_g18164; gene_g18249; gene_g18313; gene_g18319; gene_g18532; gene_g18540; gene_g18640; gene_g18793; gene_g18934; gene_g19142; gene_g19191; gene_g19310; gene_g19317; gene_g19329; gene_g20093; gene_g20284; gene_g20355; gene_g20538; gene_g20630; gene_g20669; gene_g20760; gene_g20798; gene_g20812; gene_g21037; gene_g21495; gene_g22805; gene_g22815; gene_g22867; gene_g22988; gene_g23262; gene_g23265; gene_g23293; gene_g23294; gene_g23295; gene_g23296; gene_g23501; gene_g23515; gene_g23517; gene_g23541; gene_g23542; gene_g23559; gene_g23583; gene_g23609; gene_g23613; gene_g23642; gene_g23645; gene_g23647; gene_g23778; gene_g23821; gene_g23841; gene_g23869; gene_g23871; gene_g23908; gene_g24032; gene_g24136; gene_g24150; gene_g24153; gene_g24177; gene_g24226; gene_g24252; gene_g24359; gene_g24360; gene_g24385; gene_g24412; gene_g24513; gene_g24561; gene_g24575; gene_g24583; gene_g24606; gene_g24659; gene_g24663; gene_g24710; gene_g24778; gene_g24832; gene_g24854; gene_g24916; gene_g24946; gene_g24959; gene_g24986; gene_g24989; gene_g24990; gene_g24992; gene_g25030; gene_g25060; gene_g25179; gene_g25184; gene_g25307; gene_g25313; gene_g25328; gene_g25406; gene_g25650; gene_g25701; gene_g25791; gene_g25851; gene_g25943; gene_g25971; gene_g26012; gene_g26068; gene_g26075; gene_g26149; gene_g26224; gene_g26360; gene_g26406; gene_g26447; gene_g26557; gene_g26660; gene_270_5de57afd; gene_373_5de57afd; gene_669_5de57afd; gene_g25; gene_g7241; gene_g9898; gene_g11139; gene_g16761; gene_g18898; gene_g20487; gene_g23584; gene_g23639; gene_g23816; gene_g24280; gene_g25411; gene_g984; gene_g985; gene_g1287; gene_g1715; gene_g5430; gene_g7405; gene_g8235; gene_g8284; gene_g8980; gene_g9523; gene_g9745; gene_g10560; gene_g11247; gene_g11835; gene_g12791; gene_g19964; gene_g20292; gene_g20783; gene_g20943; gene_g21036; gene_g22145; gene_g22190; gene_g24030; gene_g25527
enriched_vs_control,20,5,catalytic activity,gene_g22; gene_g9637; gene_g24018; gene_g5518; gene_g6370
enriched_vs_control,5,40,catalytic activity,gene_g8843; gene_g9305; gene_g16023; gene_g20133; gene_g24940; gene_95_5de57afd; gene_g284; gene_g611; gene_g778; gene_g840; gene_g923; gene_g1398; gene_g2055; gene_g4402; gene_g5579; gene_g6312; gene_g7142; gene_g7160; gene_g7691; gene_g8989; gene_g9087; gene_g9824; gene_g11056; gene_g11434; gene_g11435; gene_g11671; gene_g12417; gene_g12632; gene_g12837; gene_g13043; gene_g15000; gene_g20861; gene_g24452; gene_g24503; gene_g24733; gene_g25255; gene_g25363; gene_g26142; gene_606_5de57afd; gene_g2054; gene_g5769; gene_g9731
enriched_vs_control,25,4,catalytic activity,gene_g6370; gene_g12425; gene_g5518; gene_g24018
enriched_vs_control,33.33333333,3,catalytic activity,gene_g8101; gene_g23871; gene_g15293
enriched_vs_control,20,5,catalytic activity,gene_g774; gene_g4700; gene_g14851; gene_g24637; gene_g25690
enriched_vs_control,50,2,catalytic activity,gene_g16339; gene_g15241
enriched_vs_control,100,2,catalytic activity,gene_g1842; gene_g26406
enriched_vs_control,2.325581395,301,DNA binding,gene_g115; gene_g166; gene_g172; gene_g275; gene_g420; gene_g424; gene_g461; gene_g465; gene_g539; gene_g574; gene_g580; gene_g714; gene_g735; gene_g764; gene_g822; gene_g825; gene_g1011; gene_g1192; gene_g1259; gene_g1279; gene_g1515; gene_g1516; gene_g1517; gene_g1518; gene_g1519; gene_g1546; gene_g1755; gene_g1864; gene_g1866; gene_g2058; gene_g2069; gene_g2249; gene_g2250; gene_g2301; gene_g2427; gene_g2479; gene_g2488; gene_g2510; gene_g2540; gene_g2748; gene_g2776; gene_g2874; gene_g2875; gene_g2884; gene_g2901; gene_g2929; gene_g3117; gene_g3121; gene_g3122; gene_g3127; gene_g3152; gene_g3154; gene_g3246; gene_g3401; gene_g3648; gene_g3666; gene_g3755; gene_g3838; gene_g3839; gene_g3993; gene_g3994; gene_g3997; gene_g4010; gene_g4019; gene_g4020; gene_g4278; gene_g4391; gene_g4453; gene_g4532; gene_g4548; gene_g4606; gene_g4684; gene_g4747; gene_g4845; gene_g5000; gene_g5054; gene_g5061; gene_g5081; gene_g5174; gene_g5234; gene_g5341; gene_g5420; gene_g5466; gene_g5483; gene_g5600; gene_g5601; gene_g5654; gene_g5655; gene_g5656; gene_g5708; gene_g5715; gene_g5739; gene_g5740; gene_g5865; gene_g5928; gene_g6015; gene_g6163; gene_g6236; gene_g6262; gene_g6263; gene_g6264; gene_g6266; gene_g6493; gene_g6609; gene_g6693; gene_g6713; gene_g6714; gene_g6715; gene_g6841; gene_g6871; gene_g6906; gene_g6917; gene_g7120; gene_g7283; gene_g7384; gene_g7385; gene_g7420; gene_g7424; gene_g7429; gene_g7471; gene_g7482; gene_g7535; gene_g7607; gene_g7711; gene_g7746; gene_g7801; gene_g7824; gene_g7825; gene_g7826; gene_g7827; gene_g7847; gene_g7882; gene_g7938; gene_g8046; gene_g8164; gene_g8260; gene_g8325; gene_g8441; gene_g8541; gene_g8642; gene_g8798; gene_g8837; gene_g8960; gene_g8969; gene_g8991; gene_g8992; gene_g8993; gene_g8994; gene_g9101; gene_g9102; gene_g9103; gene_g9111; gene_g9248; gene_g9250; gene_g9252; gene_g9329; gene_g9354; gene_g9418; gene_g9444; gene_g9626; gene_g9644; gene_g9667; gene_g9715; gene_g9773; gene_g9943; gene_g9971; gene_g9999; gene_g10028; gene_g10029; gene_g10031; gene_g10195; gene_g10259; gene_g10445; gene_g10454; gene_g10627; gene_g10768; gene_g10772; gene_g10876; gene_g10922; gene_g10963; gene_g11153; gene_g11162; gene_g11341; gene_g11471; gene_g11513; gene_g11550; gene_g11630; gene_g11754; gene_g11792; gene_g11801; gene_g11830; gene_g11983; gene_g12012; gene_g12042; gene_g12043; gene_g12044; gene_g12087; gene_g12112; gene_g12218; gene_g12219; gene_g12371; gene_g12373; gene_g12407; gene_g12554; gene_g12569; gene_g12775; gene_g12881; gene_g12924; gene_g12949; gene_g12992; gene_g13129; gene_g13134; gene_g13171; gene_g13389; gene_g13405; gene_g13407; gene_g13408; gene_g13472; gene_g13735; gene_g13870; gene_g13897; gene_g13942; gene_g14034; gene_g14035; gene_g14064; gene_g14065; gene_g14232; gene_g14293; gene_g14296; gene_g14392; gene_g14693; gene_g14731; gene_g14809; gene_g14823; gene_g14993; gene_g14995; gene_g15051; gene_g15185; gene_g15240; gene_g15478; gene_g15561; gene_g15642; gene_g15643; gene_g15701; gene_g15706; gene_g15722; gene_g15811; gene_g15824; gene_g15836; gene_g15842; gene_g15873; gene_g15902; gene_g15903; gene_g15904; gene_g15906; gene_g16237; gene_g16508; gene_g16604; gene_g16743; gene_g16744; gene_g16790; gene_g17020; gene_g17021; gene_g17022; gene_g17023; gene_g17154; gene_g17233; gene_g17800; gene_g17855; gene_g18502; gene_g18905; gene_g19011; gene_g19147; gene_g19891; gene_g20480; gene_g20819; gene_g22646; gene_g22765; gene_g22958; gene_g23024; gene_g23058; gene_g23059; gene_g23329; gene_g24473; gene_g25687; gene_g25772; gene_g25803; gene_g25819; gene_g25884; gene_g26009; gene_g26105; gene_g26166; gene_g26194; gene_g26225; gene_g26231; gene_g26463; gene_171_5de57afd; gene_551_5de57afd; gene_823_5de57afd; gene_g4317; gene_g10316; gene_g10830; gene_g3503; gene_g18237
enriched_vs_control,20,5,DNA binding,gene_g3122; gene_g11471; gene_g14173; gene_g16604; gene_g26009
enriched_vs_control,11.14427856,194,glutamate synthase activity,gene_g316; gene_g503; gene_g830; gene_g950; gene_g1081; gene_g1082; gene_g1153; gene_g1414; gene_g1618; gene_g1892; gene_g1942; gene_g2509; gene_g2515; gene_g3034; gene_g3099; gene_g3152; gene_g62; gene_g82; gene_g255; gene_g466; gene_g481; gene_g663; gene_g1178; gene_g1288; gene_g1325; gene_g1816; gene_g1893; gene_g2045; gene_g2076; gene_g2090; gene_g2339; gene_g2524; gene_g2594; gene_g2759; gene_g2760; gene_g2978; gene_g3363; gene_g3414; gene_g3664; gene_g3685; gene_g3756; gene_g3783; gene_g3913; gene_g4145; gene_g4261; gene_g4263; gene_g4448; gene_g4449; gene_g4518; gene_g4680; gene_g4924; gene_g5207; gene_g5371; gene_g5446; gene_g5512; gene_g5646; gene_g5737; gene_g5759; gene_g5946; gene_g5947; gene_g5949; gene_g6332; gene_g6341; gene_g6450; gene_g6684; gene_g6688; gene_g6923; gene_g7088; gene_g7598; gene_g7982; gene_g8055; gene_g8136; gene_g8692; gene_g8693; gene_g8875; gene_g8894; gene_g9088; gene_g9266; gene_g9530; gene_g9608; gene_g9669; gene_g10536; gene_g10568; gene_g10621; gene_g10622; gene_g10624; gene_g10712; gene_g10825; gene_g11061; gene_g11090; gene_g11095; gene_g11478; gene_g11884; gene_g11932; gene_g12129; gene_g12161; gene_g12741; gene_g12857; gene_g13001; gene_g13366; gene_g14125; gene_g14126; gene_g14254; gene_g14599; gene_g14660; gene_g14787; gene_g15069; gene_g15330; gene_g15334; gene_g15602; gene_g15734; gene_g16338; gene_g16510; gene_g16511; gene_g16518; gene_g16666; gene_g16813; gene_g16871; gene_g17203; gene_g17366; gene_g17466; gene_g17533; gene_g17822; gene_g17855; gene_g18001; gene_g18253; gene_g18595; gene_g18761; gene_g18970; gene_g19065; gene_g19219; gene_g19903; gene_g20256; gene_g20408; gene_g20572; gene_g20756; gene_g20862; gene_g21266; gene_g21487; gene_g21569; gene_g23009; gene_g23170; gene_g23357; gene_g23461; gene_g23560; gene_g23842; gene_g24031; gene_g24551; gene_g24735; gene_g25305; gene_g25581; gene_g25751; gene_g26304; gene_g26350; gene_g26660; gene_g26703; gene_g26742; gene_252_5de57afd; gene_274_5de57afd; gene_423_5de57afd; gene_432_5de57afd; gene_559_5de57afd; gene_597_5de57afd; gene_700_5de57afd gene_g3360; gene_g3417; gene_g3746; gene_g5329; gene_g5361; gene_g5826; gene_g6301; gene_g6433; gene_g7130; gene_g7167; gene_g7599; gene_g8244; gene_g9410; gene_g9427; gene_g10792; gene_g10867; gene_g11041; gene_g11421; gene_g11516; gene_g11517; gene_g11518; gene_g11519; gene_g11524; gene_g11531; gene_g11721; gene_g11886; gene_g12440; gene_g12769; gene_g13136; gene_g13279; gene_g14372; gene_g14703; gene_g14863; gene_g15844; gene_g16163; gene_g16307; gene_g16315; gene_g16711; gene_g18735; gene_g20611; gene_g20973; gene_g23580; gene_g23645; gene_g23801; gene_g23984; gene_g24298; gene_g24367; gene_g25052; gene_g25514; gene_g26228; gene_g26232; gene_g4587; gene_g10747
enriched_vs_control,8.695652174,69,glutamate synthase activity,gene_g316; gene_g503; gene_g830; gene_g950; gene_g1081; gene_g1082; gene_g1153; gene_g1414; gene_g1618; gene_g1892; gene_g1942; gene_g2509; gene_g2515; gene_g3034; gene_g3099; gene_g3152; gene_g3360; gene_g3417; gene_g3746; gene_g5329; gene_g5361; gene_g5826; gene_g6301; gene_g6433; gene_g7130; gene_g7167; gene_g7599; gene_g8244; gene_g9410; gene_g9427; gene_g10792; gene_g10867; gene_g11041; gene_g11421; gene_g11516; gene_g11517; gene_g11518; gene_g11519; gene_g11524; gene_g11531; gene_g11721; gene_g11886; gene_g12440; gene_g12769; gene_g13136; gene_g13279; gene_g14372; gene_g14703; gene_g14863; gene_g15844; gene_g16163; gene_g16307; gene_g16315; gene_g16711; gene_g18735; gene_g20611; gene_g20973; gene_g23580; gene_g23645; gene_g23801; gene_g23984; gene_g24298; gene_g24367; gene_g25052; gene_g25514; gene_g26228; gene_g26232; gene_g4587; gene_g10747
enriched_vs_control,18.78453039,181,glutamine synthetase activity,gene_g88; gene_g89; gene_g248; gene_g255; gene_g1096; gene_g2871; gene_g2872; gene_g2873; gene_g3187; gene_g3387; gene_g3412; gene_g3991; gene_g4061; gene_g4070; gene_g4157; gene_g4165; gene_g4166; gene_g4169; gene_g5841; gene_g6100; gene_g6101; gene_g6365; gene_g6371; gene_g6817; gene_g6818; gene_g7697; gene_g8197; gene_g9099; gene_g9147; gene_g9349; gene_g9450; gene_g10022; gene_g12762; gene_g12763; gene_g13193; gene_g13567; gene_g13846; gene_g13908; gene_g14367; gene_g14804; gene_g17499; gene_g17629; gene_g20229; gene_g20319; gene_g23557; gene_g23612; gene_g23721; gene_g23808; gene_g23814; gene_g23815; gene_g23846; gene_g23914; gene_g23915; gene_g23916; gene_g23993; gene_g24104; gene_g24127; gene_g24151; gene_g24271; gene_g24475; gene_g24628; gene_g24642; gene_g24647; gene_g24809; gene_g24886; gene_g25141; gene_g25292; gene_g25296; gene_g25297; gene_g25434; gene_g26072; gene_g26080; gene_760_5de57afd; gene_g249; gene_g299; gene_g318; gene_g416; gene_g632; gene_g633; gene_g660; gene_g661; gene_g911; gene_g963; gene_g1072; gene_g1078; gene_g1206; gene_g1508; gene_g1510; gene_g1511; gene_g1512; gene_g1679; gene_g1828; gene_g1999; gene_g2000; gene_g2235; gene_g2236; gene_g2237; gene_g2267; gene_g2285; gene_g2287; gene_g2288; gene_g2345; gene_g2387; gene_g2619; gene_g2780; gene_g2781; gene_g2902; gene_g3325; gene_g3608; gene_g3636; gene_g3733; gene_g3768; gene_g3769; gene_g3800; gene_g3823; gene_g3933; gene_g3988; gene_g3989; gene_g3990; gene_g4084; gene_g4141; gene_g4292; gene_g4316; gene_g4711; gene_g4712; gene_g4713; gene_g4714; gene_g5742; gene_g5913; gene_g5994; gene_g6009; gene_g6061; gene_g6063; gene_g6086; gene_g6090; gene_g6092; gene_g6292; gene_g6293; gene_g6303; gene_g6310; gene_g6364; gene_g6607; gene_g6608; gene_g6632; gene_g6792; gene_g6815; gene_g6816; gene_g6968; gene_g7099; gene_g7437; gene_g7441; gene_g7615; gene_g7662; gene_g7690; gene_g7723; gene_g7840; gene_g7971; gene_g8158; gene_g8192; gene_g8193; gene_g8369; gene_g8440; gene_g8446; gene_g8767; gene_g8953; gene_g9146; gene_g9244; gene_g9245; gene_g9319; gene_g9321; gene_g9322; gene_g9348; gene_g9448; gene_g9449; gene_g9452; gene_g9886; gene_g9969; gene_g10205; gene_g10206; gene_g10207; gene_g10331; gene_g10340; gene_g10341; gene_g10342; gene_g10343; gene_g10344; gene_g10345; gene_g10434; gene_g10435; gene_g10455; gene_g10562; gene_g10563; gene_g10585; gene_g10601; gene_g10631; gene_g10632; gene_g11117; gene_g11462; gene_g11547; gene_g12082; gene_g12265; gene_g12634; gene_g12801; gene_g12930; gene_g13089; gene_g13090; gene_g13354; gene_g13392; gene_g13505; gene_g13599; gene_g14107; gene_g14249; gene_g14484; gene_g14528; gene_g14743; gene_g14774; gene_g14920; gene_g15038; gene_g15154; gene_g15280; gene_g15816; gene_g15865; gene_g16066; gene_g16164; gene_g16165; gene_g16642; gene_g16644; gene_g17234; gene_g17511; gene_g17733; gene_g18085; gene_g18370; gene_g18470; gene_g18471; gene_g18472; gene_g18473; gene_g18474; gene_g18506; gene_g18787; gene_g19061; gene_g19165; gene_g19167; gene_g19356; gene_g19824; gene_g19977; gene_g19978; gene_g20071; gene_g20281; gene_g20514; gene_g21257; gene_g22816; gene_g22817; gene_g22818; gene_g22935; gene_g22936; gene_g22937; gene_g22938; gene_g23125; gene_g23127; gene_g23128; gene_g23129; gene_g23131; gene_g23132; gene_g23577; gene_g23664; gene_g23671; gene_g23676; gene_g23773; gene_g23805; gene_g23957; gene_g23973; gene_g24009; gene_g24015; gene_g24021; gene_g24049; gene_g24138; gene_g24240; gene_g24474; gene_g24582; gene_g24701; gene_g24703; gene_g24874; gene_g24981; gene_g25032; gene_g25180; gene_g25272; gene_g25275; gene_g25481; gene_g25765; gene_g25895; gene_g25954; gene_g26073; gene_g26126; gene_g26150; gene_g26236; gene_71_5de57afd; gene_247_5de57afd; gene_453_5de57afd; gene_621_5de57afd; gene_split_gene_g14591-g14591; gene_g4709; gene_g6089; gene_g6097; gene_g14248; gene_g16584; gene_g11387; gene_g11501; gene_g11502; gene_g11504; gene_g22322; gene_g23249; gene_g23250; gene_g24714; gene_g25380
