"","C26","C30","E15","E2","E4","C17","C18","C19","C20","C21","C22","C23","C24","C25","C27","C28","C29","C31","C32","E1","E10","E11","E12","E13","E14","E16","E3","E5","E6","E7","E8","E9"
"Pver_gene_g7920",136,149,186,350,124,198,184,156,142,73,166,97,124,284,261,238,228,159,386,330,184,219,305,259,225,278,339,301,232,363,308,126
"Pver_gene_g7929",889,998,807,1024,433,1186,728,922,870,490,1147,607,1043,1377,1353,1076,644,983,1250,635,1203,456,1139,1014,837,909,473,412,530,740,515,778
"Pver_gene_g12312",498,181,257,669,2543,443,369,1276,631,127,102,159,42,137,293,37,149,614,374,2012,273,211,484,360,313,275,3191,2183,2164,200,818,422
"Pver_gene_g12536",144,83,150,147,779,64,46,617,121,38,38,20,31,23,219,37,111,183,54,844,57,136,115,90,160,130,984,651,711,70,154,56
"Pver_gene_g11231",2070,2028,1178,937,1301,1084,783,1481,1012,1280,2191,1164,799,1553,878,976,816,1288,1507,939,1196,732,764,681,819,820,667,337,606,491,721,1236
"Pver_gene_g16604",33640,9718,9149,30180,133377,45734,15739,79946,26131,2865,7990,3212,7202,6178,14874,6184,32694,47024,23985,232937,10441,29962,12921,23259,16081,15440,134525,142657,161385,17276,71342,10821
"Pver_gene_g16605",464,176,167,536,4156,868,288,1863,395,104,156,74,148,129,302,120,468,536,392,8122,254,575,213,144,163,233,2580,3936,5067,300,1401,199
"Pver_gene_g18735",580,1261,1261,2015,1267,877,1622,624,1109,1173,1103,1427,1135,2190,1200,746,400,1278,1054,1686,2255,608,1737,2702,1337,2292,1520,933,1906,1305,1981,2974
"Pver_gene_g26142",316,415,296,416,300,222,182,236,235,270,275,176,177,320,295,280,104,312,301,401,415,261,386,405,250,333,407,426,486,196,340,577
"Pver_gene_g6070",1296,1678,1275,1740,1558,1164,1457,995,1537,929,1285,1501,1082,1367,1011,1034,878,1609,1628,2650,2979,850,1719,2208,1362,1848,3073,1924,4044,1218,1833,2957
"Pver_gene_g2043",625,693,558,348,340,632,419,387,610,221,802,559,698,963,582,772,593,485,801,285,615,375,481,361,318,503,383,260,197,521,581,417
"Pver_gene_g12076",25,31,92,60,58,28,32,40,41,22,26,12,13,64,29,40,26,28,52,40,109,32,41,63,44,54,32,22,18,51,69,50
"Pver_gene_g19246",3349,4713,4620,5253,5385,3635,4306,4204,3532,2694,3452,2496,2849,4887,3734,4158,2881,3432,4531,5280,3785,3696,5499,3685,3200,4518,5201,3527,5858,5164,3766,6396
"Pver_gene_g11175",545,741,454,552,336,551,496,482,363,428,533,621,538,806,572,573,398,502,885,354,710,305,645,573,485,630,336,270,280,469,358,575
"Pver_gene_g11179",248,462,161,572,1098,302,304,511,189,352,250,60,110,198,145,79,168,813,168,1246,152,80,684,266,86,200,2339,1076,4323,61,696,776
"Pver_gene_g8105",24066,33124,48766,56701,32125,21737,25376,25972,28419,23872,29509,17987,18257,48925,42344,29881,19037,24401,51362,33755,27490,28667,34643,41089,43101,45123,37541,23532,25930,37145,49437,36304
"Pver_gene_g8101",2755,4138,4660,4315,3832,3123,4058,3577,4533,2804,4668,4501,3903,6062,3558,3552,2310,4510,4544,4485,7912,3005,6573,7785,4621,6521,5991,4782,9999,4216,4957,8507
"Pver_gene_g7742",326,1410,2930,1518,2188,632,893,512,477,949,318,279,600,755,1120,409,199,559,554,114,723,947,1841,2484,1715,955,924,566,893,1360,954,709
"Pver_gene_novel_gene_187_5de57afd",3999,4422,10866,13048,16828,6175,7299,13472,8581,6899,6397,6114,1204,3875,4076,2321,1728,8455,6517,28379,12612,4020,12591,19865,11173,17182,16672,15057,20067,5259,13477,19546
"Pver_gene_g16112",162,392,463,1144,634,202,142,46,147,584,116,144,216,694,192,399,130,492,327,230,486,331,281,1043,1039,729,963,442,243,232,665,805
"Pver_gene_g25828",300,271,308,610,354,297,337,393,243,141,285,259,217,449,322,383,278,317,510,370,266,315,464,352,314,406,596,465,543,437,406,359
"Pver_gene_g10185",96,25,31,86,165,54,24,151,48,38,60,22,8,26,87,21,58,39,33,263,33,44,76,67,104,25,196,386,286,75,103,94
"Pver_gene_g10186",158,41,20,155,552,66,25,472,80,22,30,6,20,29,68,81,72,102,69,1239,25,46,29,44,47,54,1274,993,2560,68,201,52
"Pver_gene_g16932",39,18,12,186,317,45,15,115,43,6,28,11,62,13,38,0,11,27,7,163,44,56,65,31,47,14,395,124,388,31,40,22
"Pver_gene_g9980",31,30,25,86,205,155,41,30,33,4,73,11,5,31,158,35,98,47,247,724,30,165,37,34,102,89,445,285,231,242,264,14
"Pver_gene_g1867",1431,1922,1230,1113,899,1602,1176,940,1138,866,1507,1317,1662,2201,1677,1667,1300,1302,2318,1025,2092,1007,1524,1282,1385,1549,980,712,881,1258,1005,1343
"Pver_gene_novel_gene_715_5de57afd",342,164,345,444,190,317,120,268,387,73,226,173,245,339,207,283,490,453,494,1621,149,416,381,193,139,342,998,477,3807,444,438,135
"Pver_gene_g3838",2347,1685,1545,1338,578,2545,1846,1824,1758,990,2644,2180,4048,3868,3334,3302,1806,1835,2353,1011,3038,1307,3686,2969,1288,3125,911,788,775,1340,733,1348
"Pver_gene_g17946",369,560,202,334,198,321,388,283,340,340,551,667,174,329,365,295,250,521,434,102,319,94,321,449,181,363,186,160,239,268,255,243
"Pver_gene_g11103",101,167,211,195,275,50,34,0,77,115,0,67,72,202,138,138,86,47,179,211,195,372,159,172,336,240,271,301,105,151,118,105
"Pver_gene_g18259",5349,4425,2819,3285,2035,4330,3900,3368,3282,2139,6040,4336,4264,4559,5095,3492,3749,2676,4557,2536,3791,3220,4161,4955,2337,3287,1890,1886,1803,3008,2327,4955
"Pver_gene_g23813",2132,2430,3413,4276,3040,1112,1261,2540,1481,1522,2606,1997,1922,3120,2100,5715,2543,2592,3013,2697,3646,1729,4116,3334,3565,3862,3191,2936,3785,3368,2258,2826
"Pver_gene_g7904",181,335,524,906,457,192,387,453,591,274,287,145,73,402,595,278,140,291,427,445,285,344,386,380,602,536,1080,418,658,401,582,357
"Pver_gene_g1773",796,79,31,32,98,555,1142,1476,53,18,18,20,229,91,441,378,189,52,78,94,39,11,16,11,24,205,33,21,36,23,226,167
"Pver_gene_g1577",412,725,943,1143,735,571,583,598,712,387,704,444,439,1404,941,743,471,679,1303,999,1305,676,1346,813,1199,1147,1213,464,540,1145,658,983
"Pver_gene_g8190",822,1060,694,718,455,951,800,586,721,512,657,626,771,1304,996,840,689,718,1093,530,987,514,842,887,672,868,439,421,306,776,714,783
"Pver_gene_novel_gene_520_5de57afd",442,209,161,868,3364,447,298,1902,1302,59,217,64,126,170,233,87,287,830,279,5711,186,293,278,241,222,332,3959,4585,10260,426,991,199
"Pver_gene_g9534",1893,1769,1447,1361,695,1813,1483,998,1401,1057,1730,1078,1774,2158,1459,1458,1017,1257,2017,1088,1767,747,1690,1331,1360,1933,774,651,702,1217,1223,1393
"Pver_gene_g16873",5148,6587,4638,7642,5312,5344,4993,7277,4712,2682,4669,3990,5529,7594,5967,6058,4165,6277,6144,7411,7357,4435,7432,6919,5316,7218,10009,7443,12545,7637,5704,6527
"Pver_gene_g16877",199,158,406,221,568,304,367,290,382,194,244,99,305,350,165,349,344,156,213,4413,324,313,294,254,369,394,4147,2019,1208,381,322,175
"Pver_gene_g11858",57,34,252,152,137,51,68,70,143,48,36,62,19,120,56,53,0,60,74,106,35,110,136,106,68,173,558,249,132,61,235,94
"Pver_gene_g18067",794,767,516,808,2182,438,819,604,728,490,567,820,297,657,408,409,301,911,861,2232,1253,219,780,845,261,732,2754,2671,2088,482,1310,1568
"Pver_gene_g8581",1617,1402,754,6274,2055,1818,859,3763,1983,243,1135,348,777,648,657,588,679,1685,1393,3063,1197,413,2184,2765,1096,1197,8032,2564,13345,3199,1677,1424
"Pver_gene_g5180",1179,1582,1045,872,731,1123,1100,1002,1036,772,1118,1357,1604,1615,1206,1333,1017,1211,1448,590,1937,826,1214,1048,858,1199,789,574,617,1259,1072,878
"Pver_gene_g5181",221,76,437,206,174,72,76,52,82,47,218,95,83,108,127,116,45,53,116,125,490,126,223,90,235,197,170,53,296,82,95,42
"Pver_gene_g18899",249,92,18,1371,788,504,345,627,359,9,94,44,54,50,82,21,182,474,301,604,94,184,211,354,93,138,798,1280,6822,856,460,215
"Pver_gene_g25980",74,89,92,75,137,35,101,83,149,18,31,56,11,39,113,56,32,98,59,240,81,71,91,90,129,151,371,207,364,58,87,92
"Pver_gene_g19273",12731,855,527,783,2369,76,266,172,231,430,422,482,49,33,332,227,370,68,1288,2488,1451,2805,385,719,1007,3633,29,49,575,64,528,1051
"Pver_gene_g7570",5447,5437,5154,3302,2663,5140,4259,3811,4076,2490,5148,3334,5165,8194,5987,6362,3363,4047,7061,3883,5661,3502,4699,4921,3384,4852,2896,2484,1846,3194,2743,2786
"Pver_gene_g15",1768,1608,899,1499,875,2198,2048,1421,890,738,1214,1527,1083,984,763,473,1132,2057,1014,454,919,437,1046,794,427,791,744,464,976,585,587,639
"Pver_gene_g14",2059,2755,2051,1909,1358,2447,1893,1389,1809,1232,2253,1665,2522,2857,2192,2361,1772,1961,2427,1721,2765,1490,2483,2221,1645,1936,1398,1155,1137,1760,1594,2140
"Pver_gene_g14127",853,702,2030,3216,8465,325,392,1199,696,2472,907,618,211,387,426,234,100,1702,154,462,2562,1049,1768,500,690,2089,834,495,1297,489,2837,14640
"Pver_gene_g13474",959,1136,678,671,559,947,658,698,763,521,810,612,985,1075,864,838,722,698,921,756,1159,560,1024,795,635,832,650,420,559,572,567,789
"Pver_gene_g10341",0,38,20,285,79,95,19,37,30,0,126,0,47,23,32,12,22,50,64,40,34,32,354,42,23,25,267,201,493,921,34,25
"Pver_gene_g10340",1100,1354,1045,1670,1496,1095,922,1135,1197,798,1086,1068,981,1348,1106,1098,893,1658,1360,2538,1747,817,1604,1147,1124,1233,2565,1512,3471,1405,1257,1679
"Pver_gene_g23200",349,470,19,98,109,77,417,509,759,157,43,125,499,4360,257,3125,138,98,118,72,265,27,196,117,129,367,182,298,65,41,36,38
"Pver_gene_g11579",57,55,41,217,38,36,25,27,27,61,26,10,37,133,17,99,34,6,35,44,69,89,64,40,156,205,107,71,46,112,63,41
"Pver_gene_g14710",4044,2297,2853,6130,11790,5132,5719,9406,4999,1661,5078,2794,4631,3163,3516,3978,4718,5650,5454,24119,4344,3048,3770,5852,2346,4753,21323,11400,29619,5692,9617,4134
"Pver_gene_g7256",1580,1235,1089,1599,2100,1809,1062,1765,1366,589,1365,725,1208,1633,1942,1278,1520,2048,1762,2189,1804,1469,2076,1958,1422,2429,4590,3126,3295,1262,1703,1483
"Pver_gene_g22809",597,440,407,323,225,641,544,439,413,273,530,396,494,566,542,577,426,434,624,494,593,176,498,539,318,597,317,157,248,386,331,466
"Pver_gene_g1156",889,1816,1875,1712,2266,3631,1678,1832,1579,1018,1750,1725,2528,2758,2326,2543,1746,2059,1733,3102,3287,3074,3692,1979,1894,3999,2656,1835,3245,4281,2248,2459
"Pver_gene_g2753",919,1006,509,1889,1740,1033,605,1618,688,266,549,283,602,658,870,494,580,892,664,3670,819,584,1147,679,644,792,3506,2262,4361,749,721,753
"Pver_gene_g4261",311,297,201,444,206,241,278,255,207,133,326,147,224,426,258,271,257,241,350,470,327,307,402,315,203,442,512,475,472,397,276,333
"Pver_gene_g4714",492,392,405,594,530,421,351,670,464,257,251,372,523,613,610,578,277,617,468,1109,558,467,587,476,408,541,1768,773,2098,577,461,484
"Pver_gene_g10859",284,648,760,562,943,217,260,314,924,282,99,148,168,329,1026,182,84,419,422,394,190,712,1156,370,486,528,2783,882,847,826,650,1111
"Pver_gene_g16339",603,518,399,340,249,614,352,343,381,345,487,332,627,467,548,432,357,445,459,313,611,264,540,438,421,426,248,196,214,298,293,385
"Pver_gene_g8906",11,37,88,95,26,20,13,15,33,9,41,10,33,50,125,42,39,15,18,163,16,79,61,49,38,36,163,151,109,40,31,36
"Pver_gene_g5890",3685,5413,4388,5395,3098,4174,3705,3650,3175,2665,3779,2679,4090,5459,4620,4712,2963,3657,4502,3678,5539,3140,5986,4309,3915,5543,4220,2780,3102,3917,3430,5591
"Pver_gene_g13227",48,70,35,68,68,881,32,64,74,34,28,56,35,24,26,67,37,45,45,126,716,40,805,98,40,908,987,1151,2367,39,39,664
"Pver_gene_g15943",4563,6600,6006,7039,4012,4868,4343,4113,4228,3394,4028,3547,5283,7450,5896,6179,3412,5044,5623,5083,6946,3712,7903,5658,5311,6256,6267,3629,4650,4453,4055,5610
"Pver_gene_g1402",1811,2073,1436,2033,928,2144,1718,1584,1481,953,1754,1387,1871,2950,2053,2030,1583,1640,1826,1073,2150,1002,2032,1848,1306,1976,1375,1126,1107,1857,1219,1630
"Pver_gene_novel_gene_607_5de57afd",74,106,76,200,108,106,81,78,108,35,117,24,31,120,86,90,78,76,111,230,151,32,173,94,86,127,167,164,116,119,103,112
"Pver_gene_g3301",502,714,855,1546,1334,472,494,642,401,224,645,347,618,516,429,536,619,654,598,1835,322,1279,572,440,541,479,1590,1277,4308,608,1149,958
"Pver_gene_g7352",5280,6154,4764,4620,3447,4831,4262,3993,4016,3496,5121,4117,4434,6186,4488,5065,3984,4483,6338,3597,6285,3096,4880,4890,3747,5104,3558,2401,2918,3743,3644,5367
"Pver_gene_g23130",1820,1598,1613,1534,775,1804,1365,1103,1391,669,1758,1094,1489,2044,2060,2251,1269,1371,2022,1087,1798,997,1706,1660,1204,1726,770,735,607,1269,991,1239
"Pver_gene_g5996",731,1069,803,845,436,1104,847,701,765,456,854,694,1128,1164,1022,1095,903,768,1099,658,1110,548,1028,984,616,951,644,502,467,812,691,731
"Pver_gene_g16001",22,30,32,43,54,42,16,514,22,12,73,59,15,39,71,45,112,0,34,485,488,23,43,80,15,23,527,27,602,27,0,88
"Pver_gene_g10505",13211,17968,14798,21715,10681,13830,14825,18238,16795,7955,11905,12743,10589,15024,14344,11990,9149,16284,18171,15738,24931,10377,20465,22824,13112,27373,21407,11876,27806,13497,14847,20024
"Pver_gene_g23231",565,863,511,435,326,571,518,540,481,331,599,539,623,795,724,652,416,467,762,317,946,308,741,547,445,531,398,276,206,401,354,597
"Pver_gene_g5023",6217,2972,1702,6719,9794,5145,2431,11180,2820,842,2102,1023,2039,2021,3490,2239,3868,5731,3273,30443,2776,2875,3724,2817,2830,2767,17617,15928,19710,3333,5408,3106
"Pver_gene_g15783",1280,1908,1971,2104,3629,1495,2053,2715,2116,1269,1770,1121,970,1632,1255,1357,908,1697,1482,5467,3855,939,3107,3658,2205,2982,3441,1895,2915,1856,3472,3381
"Pver_gene_g14546",1186,770,600,1263,2380,925,578,1532,512,246,714,304,599,642,797,559,882,630,609,3320,748,610,858,682,504,752,1922,1501,4704,676,880,665
"Pver_gene_g12211",470,450,381,423,244,498,347,414,354,278,568,396,362,485,671,590,419,419,501,445,436,254,529,447,370,401,317,235,181,280,325,439
"Pver_gene_g12218",628,1045,564,529,347,588,803,260,561,602,800,764,825,1478,936,1078,818,618,1177,304,775,387,598,542,587,911,327,302,273,713,560,716
"Pver_gene_split_gene_g14591-g557",1023,1649,1006,1925,1305,2298,891,2149,1485,520,963,625,1293,1297,1218,1607,924,1719,981,2283,2874,1607,3314,1556,1440,1528,2776,2021,3136,1386,1178,1264
"Pver_gene_g42",171,338,894,549,761,260,447,510,242,164,216,195,14,491,506,302,218,388,367,1388,105,159,186,103,398,255,2174,1754,992,205,489,282
"Pver_gene_g19702",281,657,1947,1961,694,375,264,326,286,882,436,266,295,571,797,321,244,764,616,657,342,501,584,711,523,1243,1117,372,299,701,845,2089
"Pver_gene_g616",45,61,120,83,158,11,40,37,54,26,47,20,30,53,11,34,28,42,23,55,62,71,60,34,19,61,98,29,36,47,32,95
"Pver_gene_g12634",1541,1841,1366,2616,2386,1145,2856,2042,2119,1444,1717,2428,748,1210,1003,730,756,2346,1559,3359,3583,787,1869,3680,1852,2219,5498,2855,9037,1297,2459,4198
"Pver_gene_g10672",1197,1180,1507,2507,2593,1752,1540,2277,1891,484,1430,1034,1653,1652,1845,1530,1333,1802,1934,3250,1381,1519,1897,2078,1166,1958,2865,3216,5747,2741,2797,1301
"Pver_gene_g6350",1957,2402,1571,2688,2457,2358,2065,2551,2114,1117,1869,1449,2292,2869,2650,2402,1790,2401,2470,2589,3641,1861,3147,2746,1873,2892,3018,2140,2819,2479,2803,2303
"Pver_gene_g25700",6220,8969,8502,9788,5921,8066,7694,8043,7493,4984,6380,6880,7406,10589,7520,9651,5477,8384,8056,9643,13157,5443,13551,11153,7369,10490,9732,6597,10317,9407,7894,9861
"Pver_gene_g1188",1113,1979,985,1055,701,1284,1035,930,912,776,1329,1018,1251,1767,1349,1464,982,1111,1301,900,1935,713,1518,1242,914,1231,819,563,638,953,857,1325
"Pver_gene_g14886",1340,1182,1591,1946,950,1224,1149,973,1127,607,931,758,846,1602,2596,1959,1124,1122,1543,1969,1825,1217,1799,2088,2778,1920,2326,1839,1669,1469,1797,810
"Pver_gene_g5165",808,2902,3132,1328,4635,935,1252,725,1336,709,944,501,672,1313,1052,866,235,932,773,377,818,1708,2010,3151,1421,1473,984,1019,1565,1396,986,1384
"Pver_gene_g8459",500,530,341,370,291,630,467,437,330,226,500,266,431,812,499,414,356,676,495,208,613,245,426,448,460,493,332,187,195,328,280,395
"Pver_gene_g25577",250,307,314,458,309,409,215,268,253,203,230,177,237,404,425,379,190,256,250,598,402,348,474,337,290,383,417,313,359,381,278,287
"Pver_gene_g4764",3227,2539,1858,6194,3825,3529,2650,5821,2926,1018,2351,1861,1688,1813,2491,1573,2787,3186,3157,9500,2529,1892,2995,4304,1555,2247,8610,8874,13028,4066,3466,3283
"Pver_gene_g630",217,104,165,233,252,68,43,113,81,90,114,21,13,128,145,62,107,130,130,375,60,81,97,39,66,25,726,370,386,62,530,240
"Pver_gene_g16367",350,513,267,247,199,321,306,197,407,208,348,327,270,437,296,321,240,284,425,224,488,129,444,324,226,344,189,102,174,212,206,262
"Pver_gene_g696",1256,1478,1379,932,711,1552,1041,1025,1222,974,1411,871,1622,1680,1607,1635,990,1393,1290,1007,1550,827,1629,1496,1145,1438,841,632,731,902,841,1287
"Pver_gene_g8642",12068,9752,5541,5093,3464,10290,9020,8550,9105,5905,11455,7515,10282,14733,15489,12421,10528,7809,13682,4714,6231,4038,5622,7616,6581,8274,4102,3523,3056,4541,4458,8025
"Pver_gene_g11363",150,314,288,689,616,85,107,24,104,357,43,78,170,409,96,342,97,353,186,165,239,259,233,611,687,404,627,249,163,190,396,629
"Pver_gene_g13298",2356,2527,2060,2140,1427,2795,2127,2005,1766,1536,2473,1927,2442,3689,3035,2186,1989,2131,2532,1618,2618,1628,2762,2557,1796,2526,1639,1159,1301,2012,1860,2347
"Pver_gene_g15997",827,969,268,770,288,854,749,410,410,414,629,549,267,635,212,312,485,752,389,207,407,173,300,382,102,685,280,112,214,471,256,456
"Pver_gene_g5863",1662,2617,1755,1817,939,1927,1899,1559,1387,1235,2233,1496,1809,2433,2146,1945,1266,1733,2150,1370,2391,798,2495,1785,1252,1873,1492,744,1286,1546,1382,1639
"Pver_gene_g26107",308,78,158,245,2142,377,72,1604,808,19,74,16,40,117,1068,58,91,558,58,5666,161,188,570,275,198,649,7130,3754,2946,105,538,52
"Pver_gene_g19013",2257,2219,2243,2431,1566,2264,1862,1845,1671,1219,2084,1471,2035,2900,2451,2380,1464,1711,2433,2221,2966,1744,3019,2646,1861,2231,2019,1353,2167,2181,1758,2377
"Pver_gene_g1553",10283,10577,9882,13099,8496,10645,10080,8953,9402,6091,9769,7186,9284,14776,11803,10191,7610,9547,11411,11086,12929,7675,12962,12875,9013,12869,11228,8164,13029,10607,9165,11523
"Pver_gene_g24074",52,106,118,394,194,333,138,109,175,102,101,99,95,205,84,150,84,76,114,919,103,75,365,109,374,260,302,525,446,79,323,249
"Pver_gene_g10284",8062,10113,8681,12017,8209,9724,7509,8811,7178,5036,8301,6414,8277,11804,9710,8842,6231,8658,9560,15094,11489,7028,12427,9219,7654,9937,15866,10446,17158,7966,7443,11928
"Pver_gene_g18546",9535,8468,12837,10541,6894,7494,7391,7219,9337,4996,8025,7811,7650,11635,8447,9406,5249,7035,10170,11660,13154,5519,13966,11061,8799,15661,9430,4640,11122,9062,9352,10894
"Pver_gene_g6935",1575,2052,5100,2890,1977,859,4088,1890,920,2826,1370,1348,1082,3656,2998,2770,257,1802,1462,1393,1025,4206,2855,4129,2820,4623,5658,2809,3020,10202,4082,2044
"Pver_gene_g11057",126,80,94,78,49,52,127,77,59,29,124,123,110,159,83,91,56,72,95,42,90,20,46,84,45,55,26,25,18,47,72,49
"Pver_gene_g4366",1012,866,891,1299,3121,1452,755,1425,917,364,720,513,770,966,1974,905,1505,1247,2046,6761,882,3123,936,1012,1291,1680,4500,4605,2926,1526,2317,1209
"Pver_gene_g8856",1047,1883,1393,960,603,1766,1640,1061,1494,752,1608,1300,2118,2429,1090,1741,1028,1405,1713,991,2286,754,1805,1294,1229,1372,644,367,457,841,1049,1207
