Sample Name,bismark.per.CpG.meth,bismark.per.CHG.meth,bismark.per.CHH.meth,bismark.total.Cs,bismark.per.dup.align,bismark.tot.dedup.align,bismark.tot.aligned,bismark.per.aligned,qualimap.per.mean.GC.content,qualimap.med.insert.size,qualimap.per.5x.cov,qualimap.per.10x.cov,qualimap.mean.cov,qualimap.per.mapped.reads,qualimap.tot.mapped.reads,qualimap.tot.reads,qualimap.align.err.rate,cutadapt.per.trimmed,fastqc.per.dup.reads,fastqc.avg.per.GC.content,fastqc.avg.length,fastqc.per.failed,fastqc.tot.seq,mean.map.eff,sterr.map.eff
3_R1_001,,,,,,,,,,,,,,,,,,6.20%,37.70%,23%,150 bp,9%,54.8,,
3_R1_001_val_1,3.20%,1.00%,1.10%,460.9,39.80%,14.4,23.9,44.00%,21%,170,61.00%,37.90%,1.4X,100.00%,28.8,28.8,21.97%,,,,,,,,
3_R2_001,,,,,,,,,,,,,,,,,,6.30%,37.20%,24%,150 bp,27%,54.8,,
30_R1_001,,,,,,,,,,,,,,,,,,5.50%,53.70%,23%,150 bp,18%,56.9,,
30_R1_001_val_1,2.90%,1.00%,1.00%,347.5,58.10%,10.8,25.7,45.40%,20%,171,52.90%,25.50%,1.0X,100.00%,21.5,21.5,22.05%,,,,,,,,
30_R2_001,,,,,,,,,,,,,,,,,,5.70%,52.50%,24%,150 bp,36%,56.9,,
31_R1_001,,,,,,,,,,,,,,,,,,4.30%,61.90%,21%,150 bp,27%,97.3,,
31_R1_001_val_1,2.90%,0.80%,0.90%,462.9,60.90%,14.1,36,37.20%,20%,179,62.20%,37.80%,1.4X,100.00%,28.1,28.1,21.93%,,,,,,,,
31_R2_001,,,,,,,,,,,,,,,,,,4.50%,58.70%,23%,150 bp,36%,97.3,,
32_R1_001,,,,,,,,,,,,,,,,,,3.70%,50.80%,21%,150 bp,27%,106.9,,
32_R1_001_val_1,2.90%,0.80%,0.90%,675.2,47.70%,20,38.3,36.00%,20%,186,70.00%,53.40%,1.9X,100.00%,40.1,40.1,21.84%,,,,,,,,
32_R2_001,,,,,,,,,,,,,,,,,,4.00%,49.00%,22%,150 bp,27%,106.9,,
4_R1_001,,,,,,,,,,,,,,,,,,6.30%,51.80%,23%,150 bp,18%,71.6,,
4_R1_001_val_1,3.10%,1.00%,1.10%,446.7,56.30%,14,31.9,44.90%,21%,171,60.30%,36.30%,1.4X,100.00%,27.9,27.9,21.98%,,,,,,,,
4_R2_001,,,,,,,,,,,,,,,,,,6.40%,50.60%,24%,150 bp,36%,71.6,,
5_R1_001,,,,,,,,,,,,,,,,,,4.00%,64.30%,21%,150 bp,18%,75.7,,
5_R1_001_val_1,2.90%,1.00%,1.00%,316.7,68.10%,9.7,30.4,40.30%,20%,174,50.20%,21.90%,1.1X,100.00%,19.4,19.4,22.15%,,,,,,,,
5_R2_001,,,,,,,,,,,,,,,,,,4.20%,62.10%,23%,150 bp,36%,75.7,,
6_R1_001,,,,,,,,,,,,,,,,,,6.40%,41.90%,23%,150 bp,9%,41.8,,
6_R1_001_val_1,3.00%,1.00%,1.00%,319.8,44.60%,10,18.1,43.70%,20%,168,50.70%,22.80%,1.0X,100.00%,20.1,20.1,22.02%,,,,,,,,
6_R2_001,,,,,,,,,,,,,,,,,,6.50%,41.40%,24%,150 bp,27%,41.8,,
7_R1_001,,,,,,,,,,,,,,,,,,6.60%,46.50%,23%,150 bp,9%,67.8,,
7_R1_001_val_1,3.00%,0.90%,1.00%,469.8,48.80%,15,29.3,43.40%,20%,165,62.00%,39.40%,1.3X,100.00%,29.9,29.9,21.89%,,,,,,,,
7_R2_001,,,,,,,,,,,,,,,,,,6.70%,45.60%,24%,150 bp,27%,67.8,,
8_R1_001,,,,,,,,,,,,,,,,,,5.70%,53.40%,22%,150 bp,27%,66.4,,
8_R1_001_val_1,3.00%,1.00%,1.00%,374,56.80%,11.7,27.2,41.10%,20%,170,55.90%,29.00%,1.3X,100.00%,23.4,23.4,21.97%,,,,,,,,
8_R2_001,,,,,,,,,,,,,,,,,,5.90%,52.40%,24%,150 bp,36%,66.4,,
9_R1_001,,,,,,,,,,,,,,,,,,7.70%,53.60%,23%,150 bp,18%,69.5,,
9_R1_001_val_1,3.10%,0.90%,1.00%,400,58.10%,13.1,31.4,45.40%,20%,157,58.00%,33.30%,1.1X,100.00%,26.3,26.3,22.00%,,,,,,,,
9_R2_001,,,,,,,,,,,,,,,,,,7.70%,52.50%,24%,150 bp,36%,69.5,,
