gene_id,log2FoldChange
Pver_g10147,-0.0251187113733046
Pver_g10148,-0.28810847206257
Pver_g10149,0.0299315691326268
Pver_g1015,-0.0717009039882671
Pver_g10150,-0.148731872615539
Pver_g10151,-0.0158183259460924
Pver_g10152,0.232878360210234
Pver_g10153,-0.511593576370982
Pver_g10154,-0.0872116623925973
Pver_g10155,0.478877573905199
Pver_g10156,0.0123669626498442
Pver_g10157,0.526650214566092
Pver_g10158,-0.205923960385882
Pver_g10159,0.438329077496295
Pver_g1016,-0.305425099783249
Pver_g10160,0.471017309067861
Pver_g10161,0.100477192358549
Pver_g10162,-0.0406326620980842
Pver_g10163,-0.0955831604953104
Pver_g10164,0.155540532723295
Pver_g10165,-0.116280264593045
Pver_g10166,-0.156233053896335
Pver_g10167,0.0326633521668399
Pver_g10168,0.052338939780447
Pver_g10169,0.186584613650544
Pver_g1017,-0.0379477583558575
Pver_g10170,-0.103934485776957
Pver_g10171,0.0219033963118974
Pver_g10172,-0.103691582997887
Pver_g10173,0.0609330060102632
Pver_g10174,0.666344601450564
Pver_g10176,-0.0314065789755174
Pver_g10177,-0.287732242185084
Pver_g10178,-0.126720868576304
Pver_g10179,0.325553635329738
Pver_g1018,0.125209138043092
Pver_g10180,1.24668078907775
Pver_g10181,-0.111231604272684
Pver_g10182,-0.289364136357209
Pver_g10183,-0.0385590556757811
Pver_g10184,0.23482483526548
Pver_g10185,1.56908667668111
Pver_g10186,2.71994676744273
Pver_g10188,3.00788325852081
Pver_g10189,2.29357769188306
Pver_g1019,-0.0700765672627009
Pver_g10190,0.162972252867941
Pver_g10191,1.07841098930083
Pver_g10192,0.061217893141058
Pver_g10193,-0.136195311542449
Pver_g10194,-0.0339610600989417
Pver_g10195,0.0750775857824283
Pver_g10196,-0.133800630969187
Pver_g10197,-0.0772917558752032
Pver_g10198,0.367353330887584
Pver_g10199,-0.00572341594777189
Pver_g102,-0.00695047449467649
Pver_g1020,0.184136656929925
Pver_g10200,0.610670650478303
Pver_g10201,0.323840838627732
Pver_g10202,0.625117258610041
Pver_g10203,-0.0704759875998932
Pver_g10205,0.284734633105311
Pver_g10207,-0.327888147470285
Pver_g10208,-0.142224636518316
Pver_g10209,-0.0821733696665213
Pver_g1021,0.17583949441929
Pver_g10211,0.21297293502661
Pver_g10212,-0.155960114460653
Pver_g10213,0.0478419678562254
Pver_g10214,0.22363252393622
Pver_g10215,0.0303156044934718
Pver_g10216,-0.21006696823775
Pver_g10217,-0.127085273405057
Pver_g10218,-0.164063636512564
Pver_g10219,-0.0249571201105524
Pver_g1022,0.112210847009143
Pver_g10220,0.0531482159597877
Pver_g10221,-0.0785831777352253
Pver_g10222,-0.206366975539066
Pver_g10223,-0.17463255220721
Pver_g10224,-0.0209161035560484
Pver_g10225,-0.103561355853809
