gene_id,C17_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C18_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C19_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C20_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C21_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C22_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C23_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C24_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C25_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C26_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C27_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C28_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C29_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C30_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C31_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,C32_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E10_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E11_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E12_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E13_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E14_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E15_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E16_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E1_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E2_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E3_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E4_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E5_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E6_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E7_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E8_R1_001.fastq.gz.sam.sorted.bam.merge.gtf,E9_R1_001.fastq.gz.sam.sorted.bam.merge.gtf
SymbC1.scaffold2592.7,0,0,0,0,4,0,7,0,0,0,4,0,0,0,0,0,0,0,3,0,0,15,0,0,7,0,0,4,1,0,7,2
SymbC1.scaffold2592.4,7,30,10,0,26,0,11,0,6,21,14,0,3,4,0,19,0,6,12,16,15,49,23,6,11,15,10,16,0,0,30,28
SymbC1.scaffold2592.5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,18,0
SymbC1.scaffold7519.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold2592.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold2592.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1950.5,22,52,12,95,123,37,53,0,27,72,16,9,0,39,26,35,24,13,19,0,73,111,37,0,52,41,38,27,19,23,125,94
SymbC1.scaffold5916.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold4597.1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold4597.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1950.1,6,41,19,77,69,24,44,0,25,72,51,0,43,27,24,86,7,17,21,23,34,97,50,16,32,33,54,0,28,36,137,44
SymbC1.scaffold11.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold11.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold11.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold11.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold11.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1164.1,0,38,10,15,35,0,11,0,21,15,0,0,0,14,7,0,0,0,0,0,0,43,38,0,0,0,0,0,0,10,21,29
SymbC1.scaffold1164.2,0,0,0,0,4,0,0,0,4,0,0,0,0,0,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1164.3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,4,0,0,0,0,0,0,0,0
SymbC1.scaffold1164.4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1164.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1164.6,0,0,0,12,29,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
SymbC1.scaffold8893.2,27,29,18,46,104,51,21,0,40,84,31,0,31,23,39,48,13,9,27,30,65,121,57,19,32,50,26,4,24,29,71,67
SymbC1.scaffold10665.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold17.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold17.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold17.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold17.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold28584.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold13294.1,52,58,28,74,183,69,87,10,90,141,62,23,18,52,54,88,16,19,14,55,65,164,76,24,64,65,37,19,33,38,118,39
SymbC1.scaffold9216.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold11800.3,9,13,10,4,34,16,14,0,10,15,20,0,0,0,25,20,0,0,0,10,16,18,10,3,4,0,19,8,10,0,29,29
SymbC1.scaffold11800.2,0,0,14,26,44,19,0,0,12,9,10,0,16,0,0,12,0,0,0,0,26,50,21,0,11,0,22,5,0,0,52,12
SymbC1.scaffold11800.1,26,38,23,25,103,66,60,0,34,62,34,16,17,35,55,43,13,15,27,19,45,154,65,33,34,33,50,24,25,36,55,91
SymbC1.scaffold1362.5,0,9,0,0,24,0,0,0,0,0,25,0,0,8,10,0,0,0,4,0,4,26,0,0,0,0,0,0,0,0,32,9
SymbC1.scaffold23391.1,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,4,0
SymbC1.scaffold1362.7,35,92,26,68,184,134,95,0,45,97,41,15,0,23,67,84,0,75,14,69,48,260,61,39,98,46,69,38,52,38,137,101
SymbC1.scaffold1362.1,26,44,12,39,198,81,69,0,46,123,53,0,53,31,63,68,17,18,35,50,97,231,119,50,43,69,66,18,0,51,118,95
SymbC1.scaffold1362.2,26,33,10,48,109,48,87,4,59,45,30,0,0,41,58,55,10,19,9,29,57,117,34,15,67,45,43,30,22,28,38,55
SymbC1.scaffold1362.3,26,16,13,24,52,18,26,2,22,29,31,6,21,5,10,41,13,13,14,13,31,56,46,26,23,20,26,13,14,16,68,43
SymbC1.scaffold1362.8,12,0,16,0,15,17,0,0,7,0,0,0,0,0,6,0,0,16,0,0,17,20,14,0,0,16,13,0,0,0,0,0
SymbC1.scaffold1362.9,6,4,0,0,34,23,27,0,8,18,0,0,0,0,0,0,0,0,0,12,17,56,14,0,13,9,22,8,0,8,40,17
SymbC1.scaffold24749.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold11.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold26719.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold6342.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
SymbC1.scaffold982.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold982.5,0,0,0,0,0,65,0,0,0,0,0,0,39,0,0,0,0,26,0,0,0,0,0,13,59,0,90,0,17,0,0,104
SymbC1.scaffold4850.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold4850.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold982.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold8335.2,0,3,0,0,3,0,0,0,4,0,4,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1
SymbC1.scaffold8335.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold2851.2,0,0,0,0,0,13,0,0,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,21,14
SymbC1.scaffold6460.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold7672.1,62,59,34,74,168,68,84,15,72,84,120,28,84,78,63,144,35,42,58,62,177,258,115,62,105,109,207,70,36,62,230,170
SymbC1.scaffold7672.2,0,0,0,0,11,0,2,2,0,3,0,0,2,5,0,0,0,0,0,0,0,5,4,4,2,0,0,4,0,0,0,8
SymbC1.scaffold12824.1,0,19,9,6,27,20,16,0,9,8,8,0,0,16,12,8,4,0,0,0,21,28,22,0,9,0,10,13,3,0,26,6
SymbC1.scaffold2592.9,4,0,0,0,0,15,0,0,0,0,14,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
SymbC1.scaffold2592.6,0,0,0,7,4,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,3,0,0,3,0,0,0,4,0,0,4
SymbC1.scaffold2286.4,26,22,7,28,84,37,14,0,20,24,36,8,16,8,26,51,22,20,19,24,44,136,49,27,47,17,45,25,19,17,53,65
SymbC1.scaffold3120.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold6336.5,48,37,29,25,100,29,53,8,59,61,63,0,0,44,19,56,0,0,0,44,81,155,58,34,36,10,48,17,18,27,88,30
SymbC1.scaffold6336.2,87,150,66,191,414,96,197,12,118,273,128,31,69,95,114,164,29,15,42,130,178,471,193,85,160,119,136,71,72,121,236,241
SymbC1.scaffold3120.3,3,0,6,0,19,0,13,0,12,7,0,4,0,0,4,7,0,0,0,10,0,12,13,0,0,0,0,0,0,0,0,0
SymbC1.scaffold6336.1,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,30,73,29,0,18,0,0,0,0,5,0,0
SymbC1.scaffold108.5,0,6,0,0,13,0,9,0,0,0,6,0,10,0,12,0,0,0,0,0,0,17,15,0,6,14,0,20,0,0,0,0
SymbC1.scaffold1275.1,0,21,0,21,22,4,21,0,5,14,23,0,4,0,12,30,5,0,5,16,0,39,27,6,33,15,0,15,9,21,25,47
SymbC1.scaffold2592.2,52,62,33,49,212,84,117,16,62,74,45,17,13,22,42,63,8,28,24,48,45,192,78,30,60,51,71,25,24,50,150,112
SymbC1.scaffold6206.5,11,0,0,10,13,3,19,0,0,7,5,11,17,0,13,0,12,0,0,0,6,30,10,9,0,24,7,0,0,5,6,21
SymbC1.scaffold1735.1,41,78,57,98,152,78,78,8,89,97,52,33,51,33,88,118,4,38,38,59,91,224,101,38,70,75,106,26,28,62,169,133
SymbC1.scaffold4.1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold4.1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold6311.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1154.8,0,0,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,3,23,0,0,5,20,0,0,0,14,11
SymbC1.scaffold1154.1,0,0,0,26,55,0,17,2,0,20,0,0,0,0,21,0,0,0,7,0,0,20,18,0,13,9,11,5,5,8,25,17
SymbC1.scaffold1154.3,0,0,0,0,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1154.2,43,117,40,82,249,98,179,39,93,183,86,48,55,90,149,117,33,44,26,79,133,354,140,53,113,87,65,41,59,90,279,166
SymbC1.scaffold9013.1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
SymbC1.scaffold8329.3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
SymbC1.scaffold9003.1,14,13,0,12,29,0,20,0,10,10,3,0,5,0,14,15,0,8,3,0,34,36,17,7,10,16,8,14,0,5,35,0
SymbC1.scaffold7.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold5275.1,9,15,11,38,59,13,28,0,20,18,21,6,17,0,12,14,6,25,0,12,30,90,19,0,20,19,65,0,16,18,51,45
SymbC1.scaffold5275.3,0,19,0,20,43,0,30,0,44,16,19,0,0,5,35,41,0,0,4,11,39,72,16,0,16,17,9,14,11,11,39,43
SymbC1.scaffold5275.2,33,19,9,0,39,46,44,0,28,36,0,9,11,31,32,37,3,26,8,21,41,110,57,19,45,31,30,14,11,26,77,77
SymbC1.scaffold4.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold690.8,0,33,0,44,50,0,16,0,14,0,0,0,5,0,0,0,6,0,0,18,34,49,26,0,0,22,12,0,16,0,33,24
SymbC1.scaffold690.9,4,0,0,13,12,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,31,14
SymbC1.scaffold6594.1,0,24,0,0,51,0,0,0,0,0,9,0,0,0,10,25,0,0,0,16,0,58,20,0,0,0,21,0,0,0,45,31
SymbC1.scaffold690.3,3,12,7,25,50,20,23,0,27,25,13,5,10,8,21,4,3,4,11,0,12,65,19,11,2,18,7,17,16,8,18,33
SymbC1.scaffold690.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold690.7,0,18,0,0,48,23,0,0,27,52,0,0,0,0,19,19,0,0,0,0,35,112,20,0,0,0,0,23,0,0,0,0
SymbC1.scaffold690.4,25,36,0,48,33,15,40,0,23,32,33,9,0,25,39,108,0,0,0,0,31,102,50,7,22,45,0,16,0,37,65,53
SymbC1.scaffold690.5,0,0,15,0,33,0,0,0,0,20,0,0,0,0,9,16,0,0,12,0,0,31,0,0,0,0,18,5,0,0,23,23
SymbC1.scaffold10471.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold3974.4,5,0,0,18,14,9,16,0,0,7,13,0,0,7,0,16,0,5,0,0,0,27,0,7,9,21,22,6,0,0,0,0
SymbC1.scaffold7223.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold3974.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold7372.1,19,22,0,21,30,0,24,0,0,47,16,10,5,13,20,36,5,14,11,14,33,101,57,15,22,28,14,0,0,24,46,35
SymbC1.scaffold7372.3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0
SymbC1.scaffold7372.5,0,0,0,17,4,14,0,0,12,0,0,0,8,0,6,0,0,0,0,0,4,32,7,0,14,0,11,0,13,0,9,7
SymbC1.scaffold7372.4,13,35,0,27,68,42,40,0,40,36,29,16,10,27,24,35,5,23,0,25,41,113,58,14,20,25,28,28,18,39,67,44
SymbC1.scaffold11365.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold9783.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold7.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold7.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold7.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1817.3,70,127,81,171,326,161,180,6,138,196,109,32,54,107,119,183,39,62,48,131,237,520,219,111,147,131,232,80,54,131,355,267
SymbC1.scaffold1817.2,40,52,0,97,158,0,53,0,40,83,47,0,0,0,48,87,0,29,0,63,67,198,124,29,59,67,40,0,0,62,138,100
SymbC1.scaffold1817.1,0,18,0,0,27,12,0,0,0,38,17,0,0,0,0,8,10,0,0,0,0,8,0,6,0,0,0,0,0,0,26,15
SymbC1.scaffold1817.7,58,120,67,139,213,100,140,10,100,146,81,33,89,60,64,136,28,51,41,104,172,304,114,63,116,103,134,70,40,66,219,147
SymbC1.scaffold1817.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1817.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1508.7,28,33,8,27,88,43,48,0,36,41,49,0,24,27,26,27,0,12,19,16,0,135,35,10,39,28,70,30,11,33,86,64
SymbC1.scaffold1508.4,0,0,11,34,32,0,20,0,0,13,11,0,0,8,0,0,0,0,0,9,25,35,0,9,11,0,0,0,5,0,30,0
SymbC1.scaffold1817.8,7,21,9,0,50,31,40,3,23,16,0,0,0,0,9,21,0,18,10,15,26,50,31,14,8,11,18,11,17,16,21,35
SymbC1.scaffold182.12,14,39,26,78,189,0,94,4,28,83,73,0,35,42,0,83,0,0,27,25,57,241,63,28,55,64,50,37,16,36,163,115
SymbC1.scaffold182.10,63,60,28,78,175,109,89,13,52,60,34,13,0,57,67,48,11,0,32,35,109,195,78,14,40,32,66,13,43,41,172,62
SymbC1.scaffold182.11,0,0,6,19,0,0,0,0,0,0,22,0,0,12,19,0,0,8,0,0,0,52,0,0,0,29,0,26,0,0,36,0
SymbC1.scaffold5013.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold3946.4,0,0,0,0,22,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,23,14,12,0,0,0,13,14,0,0,15,16
SymbC1.scaffold6232.4,14,14,0,18,38,26,24,0,15,36,0,5,0,0,0,47,0,12,0,11,13,48,30,0,14,22,6,8,0,5,58,21
SymbC1.scaffold3946.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold28835.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold11013.1,9,17,21,27,52,0,0,0,18,21,14,0,6,0,19,20,0,0,0,0,0,45,28,0,0,16,22,0,0,12,17,24
SymbC1.scaffold6038.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold11397.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold11397.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold1201.1,0,5,0,0,12,8,17,0,9,21,6,0,0,0,17,33,4,0,0,0,0,49,7,0,9,0,14,0,0,0,22,0
SymbC1.scaffold1201.6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold14767.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold39125.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SymbC1.scaffold776.2,33,48,15,53,175,48,54,13,29,97,30,0,21,40,44,54,29,30,18,49,99,206,51,27,29,118,111,28,22,35,150,153
SymbC1.scaffold776.1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
SymbC1.scaffold776.7,15,13,0,0,23,5,23,0,0,0,0,0,0,0,0,0,0,14,0,0,13,13,24,0,8,9,0,0,0,0,26,16
