"","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32","E10","E11","E12","E13","E14","E15","E16","E1","E2","E3","E4","E5","E6","E7","E8","E9"
"Pver_g11179",302,304,511,189,352,250,60,110,198,248,145,79,168,462,813,168,152,80,684,266,86,161,200,1246,572,2339,1098,1076,4323,61,696,776
"Pver_g8105",21737,25376,25972,28419,23872,29509,17987,18257,48925,24066,42344,29881,19037,33124,24401,51362,27490,28667,34643,41089,43101,48766,45123,33755,56701,37541,32125,23532,25930,37145,49437,36304
"Pver_g8101",3123,4058,3577,4533,2804,4668,4501,3903,6062,2755,3558,3552,2310,4138,4510,4544,7912,3005,6573,7785,4621,4660,6521,4485,4315,5991,3832,4782,9999,4216,4957,8507
"Pver_g7742",632,893,512,477,949,318,279,600,755,326,1120,409,199,1410,559,554,723,947,1841,2484,1715,2930,955,114,1518,924,2188,566,893,1360,954,709
"Pver_novel_187_5de57afd",6175,7299,13472,8581,6899,6397,6114,1204,3875,3999,4076,2321,1728,4422,8455,6517,12612,4020,12591,19865,11173,10866,17182,28379,13048,16672,16828,15057,20067,5259,13477,19546
"Pver_g16112",202,142,46,147,584,116,144,216,694,162,192,399,130,392,492,327,486,331,281,1043,1039,463,729,230,1144,963,634,442,243,232,665,805
"Pver_g25828",297,337,393,243,141,285,259,217,449,300,322,383,278,271,317,510,266,315,464,352,314,308,406,370,610,596,354,465,543,437,406,359
"Pver_g10185",54,24,151,48,38,60,22,8,26,96,87,21,58,25,39,33,33,44,76,67,104,31,25,263,86,196,165,386,286,75,103,94
"Pver_g10186",66,25,472,80,22,30,6,20,29,158,68,81,72,41,102,69,25,46,29,44,47,20,54,1239,155,1274,552,993,2560,68,201,52
"Pver_g10188",47,37,152,84,11,22,0,17,49,40,33,0,98,32,134,22,51,0,35,8,40,55,49,2244,24,693,401,921,687,25,62,89
"Pver_g16932",45,15,115,43,6,28,11,62,13,39,38,0,11,18,27,7,44,56,65,31,47,12,14,163,186,395,317,124,388,31,40,22
"Pver_g9980",155,41,30,33,4,73,11,5,31,31,158,35,98,30,47,247,30,165,37,34,102,25,89,724,86,445,205,285,231,242,264,14
"Pver_g1867",1602,1176,940,1138,866,1507,1317,1662,2201,1431,1677,1667,1300,1922,1302,2318,2092,1007,1524,1282,1385,1230,1549,1025,1113,980,899,712,881,1258,1005,1343
"Pver_novel_715_5de57afd",317,120,268,387,73,226,173,245,339,342,207,283,490,164,453,494,149,416,381,193,139,345,342,1621,444,998,190,477,3807,444,438,135
"Pver_g3838",2545,1846,1824,1758,990,2644,2180,4048,3868,2347,3334,3302,1806,1685,1835,2353,3038,1307,3686,2969,1288,1545,3125,1011,1338,911,578,788,775,1340,733,1348
"Pver_g17946",321,388,283,340,340,551,667,174,329,369,365,295,250,560,521,434,319,94,321,449,181,202,363,102,334,186,198,160,239,268,255,243
"Pver_g11103",50,34,0,77,115,0,67,72,202,101,138,138,86,167,47,179,195,372,159,172,336,211,240,211,195,271,275,301,105,151,118,105
"Pver_g18259",4330,3900,3368,3282,2139,6040,4336,4264,4559,5349,5095,3492,3749,4425,2676,4557,3791,3220,4161,4955,2337,2819,3287,2536,3285,1890,2035,1886,1803,3008,2327,4955
"Pver_g23813",1112,1261,2540,1481,1522,2606,1997,1922,3120,2132,2100,5715,2543,2430,2592,3013,3646,1729,4116,3334,3565,3413,3862,2697,4276,3191,3040,2936,3785,3368,2258,2826
"Pver_g7904",192,387,453,591,274,287,145,73,402,181,595,278,140,335,291,427,285,344,386,380,602,524,536,445,906,1080,457,418,658,401,582,357
"Pver_g1773",555,1142,1476,53,18,18,20,229,91,796,441,378,189,79,52,78,39,11,16,11,24,31,205,94,32,33,98,21,36,23,226,167
"Pver_g1577",571,583,598,712,387,704,444,439,1404,412,941,743,471,725,679,1303,1305,676,1346,813,1199,943,1147,999,1143,1213,735,464,540,1145,658,983
"Pver_g8190",951,800,586,721,512,657,626,771,1304,822,996,840,689,1060,718,1093,987,514,842,887,672,694,868,530,718,439,455,421,306,776,714,783
"Pver_novel_520_5de57afd",447,298,1902,1302,59,217,64,126,170,442,233,87,287,209,830,279,186,293,278,241,222,161,332,5711,868,3959,3364,4585,10260,426,991,199
"Pver_g9534",1813,1483,998,1401,1057,1730,1078,1774,2158,1893,1459,1458,1017,1769,1257,2017,1767,747,1690,1331,1360,1447,1933,1088,1361,774,695,651,702,1217,1223,1393
"Pver_g16873",5344,4993,7277,4712,2682,4669,3990,5529,7594,5148,5967,6058,4165,6587,6277,6144,7357,4435,7432,6919,5316,4638,7218,7411,7642,10009,5312,7443,12545,7637,5704,6527
"Pver_g16877",304,367,290,382,194,244,99,305,350,199,165,349,344,158,156,213,324,313,294,254,369,406,394,4413,221,4147,568,2019,1208,381,322,175
"Pver_g11858",51,68,70,143,48,36,62,19,120,57,56,53,0,34,60,74,35,110,136,106,68,252,173,106,152,558,137,249,132,61,235,94
"Pver_g11857",16,0,77,204,58,98,89,214,495,43,436,94,12,557,1082,30,354,1864,65,487,1235,240,655,2180,18,15,1017,3719,110,92,200,470
"Pver_g18067",438,819,604,728,490,567,820,297,657,794,408,409,301,767,911,861,1253,219,780,845,261,516,732,2232,808,2754,2182,2671,2088,482,1310,1568
"Pver_g8581",1818,859,3763,1983,243,1135,348,777,648,1617,657,588,679,1402,1685,1393,1197,413,2184,2765,1096,754,1197,3063,6274,8032,2055,2564,13345,3199,1677,1424
"Pver_g5180",1123,1100,1002,1036,772,1118,1357,1604,1615,1179,1206,1333,1017,1582,1211,1448,1937,826,1214,1048,858,1045,1199,590,872,789,731,574,617,1259,1072,878
"Pver_g5181",72,76,52,82,47,218,95,83,108,221,127,116,45,76,53,116,490,126,223,90,235,437,197,125,206,170,174,53,296,82,95,42
"Pver_g18899",504,345,627,359,9,94,44,54,50,249,82,21,182,92,474,301,94,184,211,354,93,18,138,604,1371,798,788,1280,6822,856,460,215
"Pver_g18898",98,55,89,50,2,16,6,6,0,18,9,4,23,6,44,16,9,5,22,54,11,7,4,46,270,82,100,163,796,205,54,50
"Pver_g10794",0,4,418,0,3,5,6,17,86,0,26,0,0,8,3,10,0,29,90,32,58,126,4,21,52,30,12,0,68,11,16,450
"Pver_g25980",35,101,83,149,18,31,56,11,39,74,113,56,32,89,98,59,81,71,91,90,129,92,151,240,75,371,137,207,364,58,87,92
"Pver_g19273",76,266,172,231,430,422,482,49,33,12731,332,227,370,855,68,1288,1451,2805,385,719,1007,527,3633,2488,783,29,2369,49,575,64,528,1051
"Pver_g7570",5140,4259,3811,4076,2490,5148,3334,5165,8194,5447,5987,6362,3363,5437,4047,7061,5661,3502,4699,4921,3384,5154,4852,3883,3302,2896,2663,2484,1846,3194,2743,2786
"Pver_g15",2198,2048,1421,890,738,1214,1527,1083,984,1768,763,473,1132,1608,2057,1014,919,437,1046,794,427,899,791,454,1499,744,875,464,976,585,587,639
"Pver_g14",2447,1893,1389,1809,1232,2253,1665,2522,2857,2059,2192,2361,1772,2755,1961,2427,2765,1490,2483,2221,1645,2051,1936,1721,1909,1398,1358,1155,1137,1760,1594,2140
"Pver_g14127",325,392,1199,696,2472,907,618,211,387,853,426,234,100,702,1702,154,2562,1049,1768,500,690,2030,2089,462,3216,834,8465,495,1297,489,2837,14640
"Pver_g13474",947,658,698,763,521,810,612,985,1075,959,864,838,722,1136,698,921,1159,560,1024,795,635,678,832,756,671,650,559,420,559,572,567,789
"Pver_g10341",95,19,37,30,0,126,0,47,23,0,32,12,22,38,50,64,34,32,354,42,23,20,25,40,285,267,79,201,493,921,34,25
"Pver_g10340",1095,922,1135,1197,798,1086,1068,981,1348,1100,1106,1098,893,1354,1658,1360,1747,817,1604,1147,1124,1045,1233,2538,1670,2565,1496,1512,3471,1405,1257,1679
"Pver_g23200",77,417,509,759,157,43,125,499,4360,349,257,3125,138,470,98,118,265,27,196,117,129,19,367,72,98,182,109,298,65,41,36,38
"Pver_g11579",36,25,27,27,61,26,10,37,133,57,17,99,34,55,6,35,69,89,64,40,156,41,205,44,217,107,38,71,46,112,63,41
"Pver_g14710",5132,5719,9406,4999,1661,5078,2794,4631,3163,4044,3516,3978,4718,2297,5650,5454,4344,3048,3770,5852,2346,2853,4753,24119,6130,21323,11790,11400,29619,5692,9617,4134
"Pver_g7256",1809,1062,1765,1366,589,1365,725,1208,1633,1580,1942,1278,1520,1235,2048,1762,1804,1469,2076,1958,1422,1089,2429,2189,1599,4590,2100,3126,3295,1262,1703,1483
"Pver_g22809",641,544,439,413,273,530,396,494,566,597,542,577,426,440,434,624,593,176,498,539,318,407,597,494,323,317,225,157,248,386,331,466
"Pver_g1156",3631,1678,1832,1579,1018,1750,1725,2528,2758,889,2326,2543,1746,1816,2059,1733,3287,3074,3692,1979,1894,1875,3999,3102,1712,2656,2266,1835,3245,4281,2248,2459
"Pver_g2753",1033,605,1618,688,266,549,283,602,658,919,870,494,580,1006,892,664,819,584,1147,679,644,509,792,3670,1889,3506,1740,2262,4361,749,721,753
"Pver_g4261",241,278,255,207,133,326,147,224,426,311,258,271,257,297,241,350,327,307,402,315,203,201,442,470,444,512,206,475,472,397,276,333
"Pver_g10859",217,260,314,924,282,99,148,168,329,284,1026,182,84,648,419,422,190,712,1156,370,486,760,528,394,562,2783,943,882,847,826,650,1111
"Pver_g16339",614,352,343,381,345,487,332,627,467,603,548,432,357,518,445,459,611,264,540,438,421,399,426,313,340,248,249,196,214,298,293,385
"Pver_g8906",20,13,15,33,9,41,10,33,50,11,125,42,39,37,15,18,16,79,61,49,38,88,36,163,95,163,26,151,109,40,31,36
"Pver_g5890",4174,3705,3650,3175,2665,3779,2679,4090,5459,3685,4620,4712,2963,5413,3657,4502,5539,3140,5986,4309,3915,4388,5543,3678,5395,4220,3098,2780,3102,3917,3430,5591
"Pver_g13227",881,32,64,74,34,28,56,35,24,48,26,67,37,70,45,45,716,40,805,98,40,35,908,126,68,987,68,1151,2367,39,39,664
"Pver_g1402",2144,1718,1584,1481,953,1754,1387,1871,2950,1811,2053,2030,1583,2073,1640,1826,2150,1002,2032,1848,1306,1436,1976,1073,2033,1375,928,1126,1107,1857,1219,1630
"Pver_novel_607_5de57afd",106,81,78,108,35,117,24,31,120,74,86,90,78,106,76,111,151,32,173,94,86,76,127,230,200,167,108,164,116,119,103,112
"Pver_g3301",472,494,642,401,224,645,347,618,516,502,429,536,619,714,654,598,322,1279,572,440,541,855,479,1835,1546,1590,1334,1277,4308,608,1149,958
"Pver_g7352",4831,4262,3993,4016,3496,5121,4117,4434,6186,5280,4488,5065,3984,6154,4483,6338,6285,3096,4880,4890,3747,4764,5104,3597,4620,3558,3447,2401,2918,3743,3644,5367
"Pver_g23130",1804,1365,1103,1391,669,1758,1094,1489,2044,1820,2060,2251,1269,1598,1371,2022,1798,997,1706,1660,1204,1613,1726,1087,1534,770,775,735,607,1269,991,1239
"Pver_g5996",1104,847,701,765,456,854,694,1128,1164,731,1022,1095,903,1069,768,1099,1110,548,1028,984,616,803,951,658,845,644,436,502,467,812,691,731
"Pver_g16001",42,16,514,22,12,73,59,15,39,22,71,45,112,30,0,34,488,23,43,80,15,32,23,485,43,527,54,27,602,27,0,88
"Pver_g25354",18,11,3,3,11,9,30,1,25,66,8,15,17,42,7,20,118,53,12,10,56,0,186,14,22,7,2,90,140,182,99,103
"Pver_g23231",571,518,540,481,331,599,539,623,795,565,724,652,416,863,467,762,946,308,741,547,445,511,531,317,435,398,326,276,206,401,354,597
"Pver_g5023",5145,2431,11180,2820,842,2102,1023,2039,2021,6217,3490,2239,3868,2972,5731,3273,2776,2875,3724,2817,2830,1702,2767,30443,6719,17617,9794,15928,19710,3333,5408,3106
"Pver_g15783",1495,2053,2715,2116,1269,1770,1121,970,1632,1280,1255,1357,908,1908,1697,1482,3855,939,3107,3658,2205,1971,2982,5467,2104,3441,3629,1895,2915,1856,3472,3381
"Pver_g14546",925,578,1532,512,246,714,304,599,642,1186,797,559,882,770,630,609,748,610,858,682,504,600,752,3320,1263,1922,2380,1501,4704,676,880,665
"Pver_g12211",498,347,414,354,278,568,396,362,485,470,671,590,419,450,419,501,436,254,529,447,370,381,401,445,423,317,244,235,181,280,325,439
"Pver_g12218",588,803,260,561,602,800,764,825,1478,628,936,1078,818,1045,618,1177,775,387,598,542,587,564,911,304,529,327,347,302,273,713,560,716
"Pver_g5919",46,9,46,390,0,41,11,11,102,38,16,34,7,15,23,25,29,23,76,84,470,852,8,0,20,35,241,60,63,77,38,146
"Pver_g14591",2298,891,2149,1485,520,963,625,1293,1297,1023,1218,1607,924,1649,1719,981,2874,1607,3314,1556,1440,1006,1528,2283,1925,2776,1305,2021,3136,1386,1178,1264
"Pver_g19702",375,264,326,286,882,436,266,295,571,281,797,321,244,657,764,616,342,501,584,711,523,1947,1243,657,1961,1117,694,372,299,701,845,2089
"Pver_g616",11,40,37,54,26,47,20,30,53,45,11,34,28,61,42,23,62,71,60,34,19,120,61,55,83,98,158,29,36,47,32,95
"Pver_g12634",1145,2856,2042,2119,1444,1717,2428,748,1210,1541,1003,730,756,1841,2346,1559,3583,787,1869,3680,1852,1366,2219,3359,2616,5498,2386,2855,9037,1297,2459,4198
"Pver_g10672",1752,1540,2277,1891,484,1430,1034,1653,1652,1197,1845,1530,1333,1180,1802,1934,1381,1519,1897,2078,1166,1507,1958,3250,2507,2865,2593,3216,5747,2741,2797,1301
"Pver_g6350",2358,2065,2551,2114,1117,1869,1449,2292,2869,1957,2650,2402,1790,2402,2401,2470,3641,1861,3147,2746,1873,1571,2892,2589,2688,3018,2457,2140,2819,2479,2803,2303
"Pver_g25700",8066,7694,8043,7493,4984,6380,6880,7406,10589,6220,7520,9651,5477,8969,8384,8056,13157,5443,13551,11153,7369,8502,10490,9643,9788,9732,5921,6597,10317,9407,7894,9861
"Pver_g1188",1284,1035,930,912,776,1329,1018,1251,1767,1113,1349,1464,982,1979,1111,1301,1935,713,1518,1242,914,985,1231,900,1055,819,701,563,638,953,857,1325
"Pver_g14886",1224,1149,973,1127,607,931,758,846,1602,1340,2596,1959,1124,1182,1122,1543,1825,1217,1799,2088,2778,1591,1920,1969,1946,2326,950,1839,1669,1469,1797,810
"Pver_g8459",630,467,437,330,226,500,266,431,812,500,499,414,356,530,676,495,613,245,426,448,460,341,493,208,370,332,291,187,195,328,280,395
"Pver_g25577",409,215,268,253,203,230,177,237,404,250,425,379,190,307,256,250,402,348,474,337,290,314,383,598,458,417,309,313,359,381,278,287
"Pver_g4764",3529,2650,5821,2926,1018,2351,1861,1688,1813,3227,2491,1573,2787,2539,3186,3157,2529,1892,2995,4304,1555,1858,2247,9500,6194,8610,3825,8874,13028,4066,3466,3283
"Pver_g630",68,43,113,81,90,114,21,13,128,217,145,62,107,104,130,130,60,81,97,39,66,165,25,375,233,726,252,370,386,62,530,240
"Pver_g16367",321,306,197,407,208,348,327,270,437,350,296,321,240,513,284,425,488,129,444,324,226,267,344,224,247,189,199,102,174,212,206,262
"Pver_g696",1552,1041,1025,1222,974,1411,871,1622,1680,1256,1607,1635,990,1478,1393,1290,1550,827,1629,1496,1145,1379,1438,1007,932,841,711,632,731,902,841,1287
"Pver_g8642",10290,9020,8550,9105,5905,11455,7515,10282,14733,12068,15489,12421,10528,9752,7809,13682,6231,4038,5622,7616,6581,5541,8274,4714,5093,4102,3464,3523,3056,4541,4458,8025
"Pver_g11363",85,107,24,104,357,43,78,170,409,150,96,342,97,314,353,186,239,259,233,611,687,288,404,165,689,627,616,249,163,190,396,629
"Pver_g13298",2795,2127,2005,1766,1536,2473,1927,2442,3689,2356,3035,2186,1989,2527,2131,2532,2618,1628,2762,2557,1796,2060,2526,1618,2140,1639,1427,1159,1301,2012,1860,2347
"Pver_g5863",1927,1899,1559,1387,1235,2233,1496,1809,2433,1662,2146,1945,1266,2617,1733,2150,2391,798,2495,1785,1252,1755,1873,1370,1817,1492,939,744,1286,1546,1382,1639
"Pver_g26107",377,72,1604,808,19,74,16,40,117,308,1068,58,91,78,558,58,161,188,570,275,198,158,649,5666,245,7130,2142,3754,2946,105,538,52
"Pver_g19013",2264,1862,1845,1671,1219,2084,1471,2035,2900,2257,2451,2380,1464,2219,1711,2433,2966,1744,3019,2646,1861,2243,2231,2221,2431,2019,1566,1353,2167,2181,1758,2377
"Pver_g1553",10645,10080,8953,9402,6091,9769,7186,9284,14776,10283,11803,10191,7610,10577,9547,11411,12929,7675,12962,12875,9013,9882,12869,11086,13099,11228,8496,8164,13029,10607,9165,11523
"Pver_g24074",333,138,109,175,102,101,99,95,205,52,84,150,84,106,76,114,103,75,365,109,374,118,260,919,394,302,194,525,446,79,323,249
"Pver_g10284",9724,7509,8811,7178,5036,8301,6414,8277,11804,8062,9710,8842,6231,10113,8658,9560,11489,7028,12427,9219,7654,8681,9937,15094,12017,15866,8209,10446,17158,7966,7443,11928
"Pver_g18546",7494,7391,7219,9337,4996,8025,7811,7650,11635,9535,8447,9406,5249,8468,7035,10170,13154,5519,13966,11061,8799,12837,15661,11660,10541,9430,6894,4640,11122,9062,9352,10894
"Pver_g6935",859,4088,1890,920,2826,1370,1348,1082,3656,1575,2998,2770,257,2052,1802,1462,1025,4206,2855,4129,2820,5100,4623,1393,2890,5658,1977,2809,3020,10202,4082,2044
"Pver_g11057",52,127,77,59,29,124,123,110,159,126,83,91,56,80,72,95,90,20,46,84,45,94,55,42,78,26,49,25,18,47,72,49
"Pver_g4366",1452,755,1425,917,364,720,513,770,966,1012,1974,905,1505,866,1247,2046,882,3123,936,1012,1291,891,1680,6761,1299,4500,3121,4605,2926,1526,2317,1209
"Pver_g8856",1766,1640,1061,1494,752,1608,1300,2118,2429,1047,1090,1741,1028,1883,1405,1713,2286,754,1805,1294,1229,1393,1372,991,960,644,603,367,457,841,1049,1207
"Pver_g19090",695,431,970,822,276,453,207,531,692,761,534,513,711,744,758,520,640,587,782,546,418,431,579,2583,1334,2097,867,1183,2583,1122,744,674
"Pver_g15541",2198,1266,5173,2518,675,1639,754,1689,1642,2418,1681,1546,2703,1875,3253,2048,1928,2028,2121,1851,1485,1187,1603,13358,3751,14533,4769,11385,19690,2504,2671,1865
"Pver_g5949",18,90,22,42,20,31,25,26,60,16,49,68,32,19,26,63,36,41,52,120,101,32,90,50,105,145,66,30,39,79,122,62
"Pver_g4156",10,69,261,203,42,121,227,174,26,103,50,175,139,159,154,21,22,11,22,54,37,36,48,22,12,19,127,9,12,20,11,31
"Pver_g14920",2423,1799,2314,2009,1415,2128,2058,1752,2896,1698,2394,2170,1283,2969,2159,2751,3836,1725,2952,3098,2512,2645,3266,2304,2286,1941,1510,1563,1896,2372,2513,3163
"Pver_g21328",113,160,148,550,168,467,158,199,490,254,448,736,274,558,144,142,257,35,121,197,137,322,250,221,169,73,52,168,69,151,95,161
"Pver_g19191",608,1279,1833,11,468,1343,43,1086,2061,1197,24,526,1016,298,2266,733,1889,6659,14241,722,843,8513,24445,18421,1404,1448,1318,107,16568,8958,512,86
"Pver_g19192",206,288,448,22,99,119,29,1561,981,513,60,164,208,636,142,229,401,1779,11085,303,252,6580,2608,8427,230,390,356,41,8148,6302,446,46
"Pver_g488",183,142,148,197,84,252,142,145,338,201,171,196,110,218,242,252,312,203,318,259,235,206,424,252,303,270,173,147,186,213,172,211
