"","gene_id","GO.term","Function"
"31","Pver_g7066","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"32","Pver_g7281","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"33","Pver_g7605","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"34","Pver_g8055","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"35","Pver_g8136","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"36","Pver_g8665","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"37","Pver_g8767","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"38","Pver_g9721","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"39","Pver_g9806","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"40","Pver_g10207","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"41","Pver_g10363","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"42","Pver_g10574","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"43","Pver_g11205","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"44","Pver_g11859","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"45","Pver_g12576","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"46","Pver_g12688","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"47","Pver_g12689","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"48","Pver_g12796","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"49","Pver_g14297","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"50","Pver_g14586","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"51","Pver_g16181","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"52","Pver_g16863","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"53","Pver_g16895","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"54","Pver_g16896","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"55","Pver_g17511","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"56","Pver_g18044","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"57","Pver_g19751","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"58","Pver_g20838","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"59","Pver_g20855","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"60","Pver_g21168","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"61","Pver_g22776","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"62","Pver_g23973","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"63","Pver_g25055","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"64","Pver_g25564","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"65","Pver_g26058","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"66","Pver_g26158","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"67","Pver_novel_13_5de57afd","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"68","Pver_novel_177_5de57afd","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"69","Pver_novel_203_5de57afd","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"70","Pver_novel_559_5de57afd","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"71","Pver_g23807","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"72","Pver_g24437","Amine transport","Symbiotic nutrient exchange and signaling pathways"
"73","Pver_g652","Amino acid biosynthetic process","Nutrient metabolism"
"74","Pver_g7209","Amino acid biosynthetic process","Nutrient metabolism"
"75","Pver_g8079","Amino acid biosynthetic process","Nutrient metabolism"
"76","Pver_g10134","Amino acid biosynthetic process","Nutrient metabolism"
"77","Pver_g11198","Amino acid biosynthetic process","Nutrient metabolism"
"78","Pver_g11992","Amino acid biosynthetic process","Nutrient metabolism"
"79","Pver_g12448","Amino acid biosynthetic process","Nutrient metabolism"
"80","Pver_g13217","Amino acid biosynthetic process","Nutrient metabolism"
"81","Pver_g13244","Amino acid biosynthetic process","Nutrient metabolism"
"82","Pver_g15990","Amino acid biosynthetic process","Nutrient metabolism"
"83","Pver_g17241","Amino acid biosynthetic process","Nutrient metabolism"
"84","Pver_g17608","Amino acid biosynthetic process","Nutrient metabolism"
"85","Pver_g20407","Amino acid biosynthetic process","Nutrient metabolism"
"86","Pver_g22764","Amino acid biosynthetic process","Nutrient metabolism"
"87","Pver_g23839","Amino acid biosynthetic process","Nutrient metabolism"
"88","Pver_g24087","Amino acid biosynthetic process","Nutrient metabolism"
"89","Pver_g24165","Amino acid biosynthetic process","Nutrient metabolism"
"90","Pver_g24528","Amino acid biosynthetic process","Nutrient metabolism"
"91","Pver_g24708","Amino acid biosynthetic process","Nutrient metabolism"
"92","Pver_g24901","Amino acid biosynthetic process","Nutrient metabolism"
"93","Pver_g25235","Amino acid biosynthetic process","Nutrient metabolism"
"94","Pver_g25494","Amino acid biosynthetic process","Nutrient metabolism"
"95","Pver_g25813","Amino acid biosynthetic process","Nutrient metabolism"
"96","Pver_g21036","Amino acid biosynthetic process","Nutrient metabolism"
"97","Pver_g24034","Amino acid biosynthetic process","Nutrient metabolism"
"98","Pver_g24038","Amino acid biosynthetic process","Nutrient metabolism"
"99","Pver_g24401","Amino acid biosynthetic process","Nutrient metabolism"
"100","Pver_g25463","Amino acid biosynthetic process","Nutrient metabolism"
"101","Pver_g248","Amino acid transport","Nutrient metabolism"
"102","Pver_g495","Amino acid transport","Nutrient metabolism"
"103","Pver_g496","Amino acid transport","Nutrient metabolism"
"104","Pver_g537","Amino acid transport","Nutrient metabolism"
"105","Pver_g1508","Amino acid transport","Nutrient metabolism"
"106","Pver_g1510","Amino acid transport","Nutrient metabolism"
"107","Pver_g1511","Amino acid transport","Nutrient metabolism"
"108","Pver_g1512","Amino acid transport","Nutrient metabolism"
"109","Pver_g2235","Amino acid transport","Nutrient metabolism"
"110","Pver_g2236","Amino acid transport","Nutrient metabolism"
"111","Pver_g2237","Amino acid transport","Nutrient metabolism"
"112","Pver_g2432","Amino acid transport","Nutrient metabolism"
"113","Pver_g3325","Amino acid transport","Nutrient metabolism"
"114","Pver_g3412","Amino acid transport","Nutrient metabolism"
"115","Pver_g4165","Amino acid transport","Nutrient metabolism"
"116","Pver_g4166","Amino acid transport","Nutrient metabolism"
"117","Pver_g4169","Amino acid transport","Nutrient metabolism"
"118","Pver_g4393","Amino acid transport","Nutrient metabolism"
"119","Pver_g4406","Amino acid transport","Nutrient metabolism"
"120","Pver_g4711","Amino acid transport","Nutrient metabolism"
"121","Pver_g4712","Amino acid transport","Nutrient metabolism"
"122","Pver_g4714","Amino acid transport","Nutrient metabolism"
"123","Pver_g4900","Amino acid transport","Nutrient metabolism"
"124","Pver_g4901","Amino acid transport","Nutrient metabolism"
"125","Pver_g5143","Amino acid transport","Nutrient metabolism"
"126","Pver_g6100","Amino acid transport","Nutrient metabolism"
"127","Pver_g6303","Amino acid transport","Nutrient metabolism"
"128","Pver_g6817","Amino acid transport","Nutrient metabolism"
"129","Pver_g7437","Amino acid transport","Nutrient metabolism"
"130","Pver_g7615","Amino acid transport","Nutrient metabolism"
"131","Pver_g8192","Amino acid transport","Nutrient metabolism"
"132","Pver_g8193","Amino acid transport","Nutrient metabolism"
"133","Pver_g8446","Amino acid transport","Nutrient metabolism"
"134","Pver_g8645","Amino acid transport","Nutrient metabolism"
"135","Pver_g10363","Amino acid transport","Nutrient metabolism"
"136","Pver_g12738","Amino acid transport","Nutrient metabolism"
"137","Pver_g12739","Amino acid transport","Nutrient metabolism"
"138","Pver_g12796","Amino acid transport","Nutrient metabolism"
"139","Pver_g13335","Amino acid transport","Nutrient metabolism"
"140","Pver_g13505","Amino acid transport","Nutrient metabolism"
"141","Pver_g13604","Amino acid transport","Nutrient metabolism"
"142","Pver_g14297","Amino acid transport","Nutrient metabolism"
"143","Pver_g14920","Amino acid transport","Nutrient metabolism"
"144","Pver_g15229","Amino acid transport","Nutrient metabolism"
"145","Pver_g16526","Amino acid transport","Nutrient metabolism"
"146","Pver_g16573","Amino acid transport","Nutrient metabolism"
"147","Pver_g16574","Amino acid transport","Nutrient metabolism"
"148","Pver_g16575","Amino acid transport","Nutrient metabolism"
"149","Pver_g16863","Amino acid transport","Nutrient metabolism"
"150","Pver_g17733","Amino acid transport","Nutrient metabolism"
"151","Pver_g18841","Amino acid transport","Nutrient metabolism"
"152","Pver_g18843","Amino acid transport","Nutrient metabolism"
"153","Pver_g19751","Amino acid transport","Nutrient metabolism"
"154","Pver_g19978","Amino acid transport","Nutrient metabolism"
"155","Pver_g22963","Amino acid transport","Nutrient metabolism"
"156","Pver_g22964","Amino acid transport","Nutrient metabolism"
"157","Pver_g22965","Amino acid transport","Nutrient metabolism"
"158","Pver_g23125","Amino acid transport","Nutrient metabolism"
"159","Pver_g23127","Amino acid transport","Nutrient metabolism"
"160","Pver_g23382","Amino acid transport","Nutrient metabolism"
"161","Pver_g24799","Amino acid transport","Nutrient metabolism"
"162","Pver_g25180","Amino acid transport","Nutrient metabolism"
"163","Pver_g25275","Amino acid transport","Nutrient metabolism"
"164","Pver_novel_13_5de57afd","Amino acid transport","Nutrient metabolism"
"165","Pver_novel_71_5de57afd","Amino acid transport","Nutrient metabolism"
"166","Pver_g23498","Amino acid transport","Nutrient metabolism"
"167","Pver_g24421","Amino acid transport","Nutrient metabolism"
"168","Pver_g25004","Amino acid transport","Nutrient metabolism"
"169","Pver_g25009","Amino acid transport","Nutrient metabolism"
"170","Pver_g25106","Amino acid transport","Nutrient metabolism"
"171","Pver_g25472","Amino acid transport","Nutrient metabolism"
"172","Pver_g25474","Amino acid transport","Nutrient metabolism"
"173","Pver_g13333","Amino acid transport","Nutrient metabolism"
"174","Pver_g7799","Ammonium transmembrane transport","Nutrient metabolism"
"175","Pver_g10301","Ammonium transmembrane transport","Nutrient metabolism"
"176","Pver_g10302","Ammonium transmembrane transport","Nutrient metabolism"
"177","Pver_g11462","Ammonium transmembrane transport","Nutrient metabolism"
"178","Pver_g11488","Ammonium transmembrane transport","Nutrient metabolism"
"179","Pver_g12207","Ammonium transmembrane transport","Nutrient metabolism"
"180","Pver_g12208","Ammonium transmembrane transport","Nutrient metabolism"
"181","Pver_g12856","Ammonium transmembrane transport","Nutrient metabolism"
"182","Pver_g13193","Ammonium transmembrane transport","Nutrient metabolism"
"183","Pver_g13194","Ammonium transmembrane transport","Nutrient metabolism"
"184","Pver_g14249","Ammonium transmembrane transport","Nutrient metabolism"
"185","Pver_g14912","Ammonium transmembrane transport","Nutrient metabolism"
"186","Pver_g14913","Ammonium transmembrane transport","Nutrient metabolism"
"187","Pver_g14915","Ammonium transmembrane transport","Nutrient metabolism"
"188","Pver_g16642","Ammonium transmembrane transport","Nutrient metabolism"
"189","Pver_g16644","Ammonium transmembrane transport","Nutrient metabolism"
"190","Pver_g3214","Ammonium transmembrane transport","Nutrient metabolism"
"191","Pver_g10300","Ammonium transmembrane transport","Nutrient metabolism"
"192","Pver_g10303","Ammonium transmembrane transport","Nutrient metabolism"
"193","Pver_g13192","Ammonium transmembrane transport","Nutrient metabolism"
"194","Pver_g12857","Ammonium transmembrane transport","Nutrient metabolism"
"195","Pver_g456","Apoptotic process","Symbiotic maintenance"
"196","Pver_g764","Apoptotic process","Symbiotic maintenance"
"197","Pver_g1584","Apoptotic process","Symbiotic maintenance"
"198","Pver_g1932","Apoptotic process","Symbiotic maintenance"
"199","Pver_g2080","Apoptotic process","Symbiotic maintenance"
"200","Pver_g2439","Apoptotic process","Symbiotic maintenance"
"201","Pver_g2441","Apoptotic process","Symbiotic maintenance"
"202","Pver_g2479","Apoptotic process","Symbiotic maintenance"
"203","Pver_g3695","Apoptotic process","Symbiotic maintenance"
"204","Pver_g4044","Apoptotic process","Symbiotic maintenance"
"205","Pver_g4513","Apoptotic process","Symbiotic maintenance"
"206","Pver_g4515","Apoptotic process","Symbiotic maintenance"
"207","Pver_g5064","Apoptotic process","Symbiotic maintenance"
"208","Pver_g5440","Apoptotic process","Symbiotic maintenance"
"209","Pver_g5600","Apoptotic process","Symbiotic maintenance"
"210","Pver_g6639","Apoptotic process","Symbiotic maintenance"
"211","Pver_g6645","Apoptotic process","Symbiotic maintenance"
"212","Pver_g7825","Apoptotic process","Symbiotic maintenance"
"213","Pver_g8290","Apoptotic process","Symbiotic maintenance"
"214","Pver_g8304","Apoptotic process","Symbiotic maintenance"
"215","Pver_g8541","Apoptotic process","Symbiotic maintenance"
"216","Pver_g8771","Apoptotic process","Symbiotic maintenance"
"217","Pver_g10956","Apoptotic process","Symbiotic maintenance"
"218","Pver_g11193","Apoptotic process","Symbiotic maintenance"
"219","Pver_g11447","Apoptotic process","Symbiotic maintenance"
"220","Pver_g11448","Apoptotic process","Symbiotic maintenance"
"221","Pver_g12684","Apoptotic process","Symbiotic maintenance"
"222","Pver_g14186","Apoptotic process","Symbiotic maintenance"
"223","Pver_g14422","Apoptotic process","Symbiotic maintenance"
"224","Pver_g14423","Apoptotic process","Symbiotic maintenance"
"225","Pver_g14676","Apoptotic process","Symbiotic maintenance"
"226","Pver_g14677","Apoptotic process","Symbiotic maintenance"
"227","Pver_g14681","Apoptotic process","Symbiotic maintenance"
"228","Pver_g15156","Apoptotic process","Symbiotic maintenance"
"229","Pver_g15458","Apoptotic process","Symbiotic maintenance"
"230","Pver_g15603","Apoptotic process","Symbiotic maintenance"
"231","Pver_g17180","Apoptotic process","Symbiotic maintenance"
"232","Pver_g18214","Apoptotic process","Symbiotic maintenance"
"233","Pver_g18294","Apoptotic process","Symbiotic maintenance"
"234","Pver_g18630","Apoptotic process","Symbiotic maintenance"
"235","Pver_g18915","Apoptotic process","Symbiotic maintenance"
"236","Pver_g20203","Apoptotic process","Symbiotic maintenance"
"237","Pver_g22418","Apoptotic process","Symbiotic maintenance"
"238","Pver_g24398","Apoptotic process","Symbiotic maintenance"
"239","Pver_g25460","Apoptotic process","Symbiotic maintenance"
"240","Pver_g25929","Apoptotic process","Symbiotic maintenance"
"241","Pver_g26103","Apoptotic process","Symbiotic maintenance"
"242","Pver_g26104","Apoptotic process","Symbiotic maintenance"
"243","Pver_g26222","Apoptotic process","Symbiotic maintenance"
"244","Pver_g100","ATPase binding","Nutrient metabolism"
"245","Pver_g207","ATPase binding","Nutrient metabolism"
"246","Pver_g264","ATPase binding","Nutrient metabolism"
"247","Pver_g470","ATPase binding","Nutrient metabolism"
"248","Pver_g1351","ATPase binding","Nutrient metabolism"
"249","Pver_g1406","ATPase binding","Nutrient metabolism"
"250","Pver_g1927","ATPase binding","Nutrient metabolism"
"251","Pver_g1973","ATPase binding","Nutrient metabolism"
"252","Pver_g2120","ATPase binding","Nutrient metabolism"
"253","Pver_g2213","ATPase binding","Nutrient metabolism"
"254","Pver_g2451","ATPase binding","Nutrient metabolism"
"255","Pver_g4028","ATPase binding","Nutrient metabolism"
"256","Pver_g4076","ATPase binding","Nutrient metabolism"
"257","Pver_g4294","ATPase binding","Nutrient metabolism"
"258","Pver_g4337","ATPase binding","Nutrient metabolism"
"259","Pver_g4602","ATPase binding","Nutrient metabolism"
"260","Pver_g4685","ATPase binding","Nutrient metabolism"
"261","Pver_g5238","ATPase binding","Nutrient metabolism"
"262","Pver_g5291","ATPase binding","Nutrient metabolism"
"263","Pver_g5701","ATPase binding","Nutrient metabolism"
"264","Pver_g6248","ATPase binding","Nutrient metabolism"
"265","Pver_g6678","ATPase binding","Nutrient metabolism"
"266","Pver_g6679","ATPase binding","Nutrient metabolism"
"267","Pver_g6941","ATPase binding","Nutrient metabolism"
"268","Pver_g7332","ATPase binding","Nutrient metabolism"
"269","Pver_g7610","ATPase binding","Nutrient metabolism"
"270","Pver_g7801","ATPase binding","Nutrient metabolism"
"271","Pver_g7950","ATPase binding","Nutrient metabolism"
"272","Pver_g8361","ATPase binding","Nutrient metabolism"
"273","Pver_g8527","ATPase binding","Nutrient metabolism"
"274","Pver_g8893","ATPase binding","Nutrient metabolism"
"275","Pver_g8935","ATPase binding","Nutrient metabolism"
"276","Pver_g9017","ATPase binding","Nutrient metabolism"
"277","Pver_g9283","ATPase binding","Nutrient metabolism"
"278","Pver_g9596","ATPase binding","Nutrient metabolism"
"279","Pver_g9637","ATPase binding","Nutrient metabolism"
"280","Pver_g9857","ATPase binding","Nutrient metabolism"
"281","Pver_g9944","ATPase binding","Nutrient metabolism"
"282","Pver_g10232","ATPase binding","Nutrient metabolism"
"283","Pver_g10364","ATPase binding","Nutrient metabolism"
"284","Pver_g10619","ATPase binding","Nutrient metabolism"
"285","Pver_g10623","ATPase binding","Nutrient metabolism"
"286","Pver_g10891","ATPase binding","Nutrient metabolism"
"287","Pver_g11030","ATPase binding","Nutrient metabolism"
"288","Pver_g11669","ATPase binding","Nutrient metabolism"
"289","Pver_g11896","ATPase binding","Nutrient metabolism"
"290","Pver_g12175","ATPase binding","Nutrient metabolism"
"291","Pver_g12270","ATPase binding","Nutrient metabolism"
"292","Pver_g12320","ATPase binding","Nutrient metabolism"
"293","Pver_g12355","ATPase binding","Nutrient metabolism"
"294","Pver_g12509","ATPase binding","Nutrient metabolism"
"295","Pver_g12517","ATPase binding","Nutrient metabolism"
"296","Pver_g12900","ATPase binding","Nutrient metabolism"
"297","Pver_g12972","ATPase binding","Nutrient metabolism"
"298","Pver_g13178","ATPase binding","Nutrient metabolism"
"299","Pver_g13365","ATPase binding","Nutrient metabolism"
"300","Pver_g13902","ATPase binding","Nutrient metabolism"
"301","Pver_g14942","ATPase binding","Nutrient metabolism"
"302","Pver_g15342","ATPase binding","Nutrient metabolism"
"303","Pver_g17738","ATPase binding","Nutrient metabolism"
"304","Pver_g17758","ATPase binding","Nutrient metabolism"
"305","Pver_g17827","ATPase binding","Nutrient metabolism"
"306","Pver_g18876","ATPase binding","Nutrient metabolism"
"307","Pver_g19220","ATPase binding","Nutrient metabolism"
"308","Pver_g20362","ATPase binding","Nutrient metabolism"
"309","Pver_g21381","ATPase binding","Nutrient metabolism"
"310","Pver_g21517","ATPase binding","Nutrient metabolism"
"311","Pver_g22591","ATPase binding","Nutrient metabolism"
"312","Pver_g22935","ATPase binding","Nutrient metabolism"
"313","Pver_g22936","ATPase binding","Nutrient metabolism"
"314","Pver_g22937","ATPase binding","Nutrient metabolism"
"315","Pver_g22945","ATPase binding","Nutrient metabolism"
"316","Pver_g23199","ATPase binding","Nutrient metabolism"
"317","Pver_g24096","ATPase binding","Nutrient metabolism"
"318","Pver_g26554","ATPase binding","Nutrient metabolism"
"319","Pver_novel_525_5de57afd","ATPase binding","Nutrient metabolism"
"320","Pver_novel_721_5de57afd","ATPase binding","Nutrient metabolism"
"321","Pver_g390","Carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity","Nutrient metabolism"
"322","Pver_g5891","Carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity","Nutrient metabolism"
"323","Pver_g24831","Carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity","Nutrient metabolism"
"324","Pver_g2449","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"325","Pver_g2657","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"326","Pver_g2682","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"327","Pver_g2950","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"328","Pver_g3073","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"329","Pver_g3311","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"330","Pver_g3364","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"331","Pver_g3365","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"332","Pver_g3756","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"333","Pver_g4124","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"334","Pver_g4128","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"335","Pver_g4296","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"336","Pver_g4375","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"337","Pver_g4513","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"338","Pver_g4611","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"339","Pver_g4690","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"340","Pver_g4694","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"341","Pver_g4797","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"342","Pver_g4800","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"343","Pver_g5294","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"344","Pver_g5333","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"345","Pver_g5495","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"346","Pver_g5711","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"347","Pver_g5784","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"348","Pver_g6001","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"349","Pver_g6238","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"350","Pver_g6326","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"351","Pver_g6725","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"352","Pver_g6877","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"353","Pver_g7050","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"354","Pver_g7552","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"355","Pver_g7761","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"356","Pver_g8115","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"357","Pver_g8182","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"358","Pver_g8244","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"359","Pver_g8447","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"360","Pver_g8641","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"361","Pver_g8930","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"362","Pver_g8965","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"363","Pver_g9012","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"364","Pver_g9210","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"365","Pver_g9519","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"366","Pver_g9525","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"367","Pver_g9578","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"368","Pver_g9847","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"369","Pver_g9924","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"370","Pver_g10218","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"371","Pver_g10453","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"372","Pver_g10583","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"373","Pver_g10742","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"374","Pver_g11140","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"375","Pver_g11282","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"376","Pver_g11452","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"377","Pver_g11477","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"378","Pver_g11529","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"379","Pver_g11989","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"380","Pver_g12165","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"381","Pver_g12467","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"382","Pver_g12740","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"383","Pver_g12988","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"384","Pver_g13044","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"385","Pver_g13067","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"386","Pver_g13124","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"387","Pver_g13126","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"388","Pver_g13190","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"389","Pver_g13287","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"390","Pver_g13395","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"391","Pver_g13408","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"392","Pver_g13689","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"393","Pver_g13975","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"394","Pver_g14194","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"395","Pver_g14298","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"396","Pver_g14724","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"397","Pver_g14968","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"398","Pver_g15342","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"399","Pver_g15388","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"400","Pver_g15528","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"401","Pver_g15564","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"402","Pver_g15583","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"403","Pver_g15701","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"404","Pver_g15713","Cellular response to DNA damage stimulus","Symbiotic maintenance"
"405","Pver_g15846","Cellular response to DNA damage stimulus","Symbiotic maintenance"
