GO_id,term,GOSlim_bin
GO:0000097,P,other metabolic processes
GO:0000098,P,other metabolic processes
GO:0000099,F,transporter activity
GO:0000100,F,transporter activity
GO:0000101,P,transport
GO:0000102,F,transporter activity
GO:0000103,P,other metabolic processes
GO:0000104,F,other molecular function
GO:0000105,P,other metabolic processes
GO:0000107,F,other molecular function
GO:0000109,C,nucleus
GO:0000110,C,nucleus
GO:0000111,C,nucleus
GO:0000112,C,nucleus
GO:0000113,C,nucleus
GO:0000114,P,cell cycle and proliferation
GO:0000114,P,RNA metabolism
GO:0000115,P,cell cycle and proliferation
GO:0000115,P,RNA metabolism
GO:0000116,P,cell cycle and proliferation
GO:0000116,P,RNA metabolism
GO:0000117,P,cell cycle and proliferation
GO:0000117,P,RNA metabolism
GO:0000118,C,nucleus
GO:0000120,C,nucleus
GO:0000121,F,other molecular function
GO:0000122,P,RNA metabolism
GO:0000123,C,nucleus
GO:0000124,C,nucleus
GO:0000125,C,nucleus
GO:0000126,C,nucleus
GO:0000127,C,nucleus
GO:0000128,P,other biological processes
GO:0000131,C,other cellular component
GO:0000132,P,cell cycle and proliferation
GO:0000132,P,cell organization and biogenesis
GO:0000133,C,other cellular component
GO:0000135,P,cell cycle and proliferation
GO:0000136,C,ER/Golgi
GO:0000136,C,other membranes
GO:0000137,C,ER/Golgi
GO:0000138,C,ER/Golgi
GO:0000139,C,ER/Golgi
GO:0000139,C,other membranes
GO:0000140,F,other molecular function
GO:0000142,C,cytoskeleton
GO:0000144,C,cytoskeleton
GO:0000145,C,other cellular component
GO:0000146,F,cytoskeletal activity
GO:0000147,P,cell organization and biogenesis
GO:0000148,C,plasma membrane
GO:0000148,C,other membranes
GO:0000149,F,other molecular function
GO:0000150,F,other molecular function
GO:0000151,C,other cellular component
GO:0000152,C,nucleus
GO:0000153,C,other cellular component
GO:0000154,P,RNA metabolism
GO:0000155,F,signal transduction activity
GO:0000155,F,kinase activity
GO:0000156,F,signal transduction activity
GO:0000159,C,other cellular component
GO:0000160,P,signal transduction
GO:0000161,P,signal transduction
GO:0000161,P,stress response
GO:0000162,P,other metabolic processes
GO:0000164,C,other cellular component
GO:0000165,P,signal transduction
GO:0000166,F,other molecular function
GO:0000167,P,protein metabolism
GO:0000168,P,protein metabolism
GO:0000169,P,signal transduction
GO:0000169,P,protein metabolism
GO:0000170,F,other molecular function
GO:0000171,F,other molecular function
GO:0000172,C,other cellular component
GO:0000173,P,signal transduction
GO:0000173,P,protein metabolism
GO:0000175,F,other molecular function
GO:0000176,C,nucleus
GO:0000177,C,other cytoplasmic organelle
GO:0000178,C,other cellular component
GO:0000179,F,other molecular function
GO:0000182,F,nucleic acid binding activity
GO:0000183,P,RNA metabolism
GO:0000184,P,RNA metabolism
GO:0000185,P,protein metabolism
GO:0000186,P,protein metabolism
GO:0000187,P,signal transduction
GO:0000187,P,protein metabolism
GO:0000188,P,signal transduction
GO:0000188,P,protein metabolism
GO:0000189,P,signal transduction
GO:0000189,P,transport
GO:0000196,P,signal transduction
GO:0000197,P,protein metabolism
GO:0000198,P,protein metabolism
GO:0000199,P,signal transduction
GO:0000199,P,protein metabolism
GO:0000200,P,signal transduction
GO:0000200,P,protein metabolism
GO:0000201,P,signal transduction
GO:0000201,P,transport
GO:0000208,P,signal transduction
GO:0000208,P,transport
GO:0000208,P,stress response
GO:0000209,P,protein metabolism
GO:0000210,F,other molecular function
GO:0000212,P,cell cycle and proliferation
GO:0000212,P,cell organization and biogenesis
GO:0000213,F,other molecular function
GO:0000214,C,nucleus
GO:0000215,F,other molecular function
GO:0000216,P,cell cycle and proliferation
GO:0000217,F,nucleic acid binding activity
GO:0000220,C,other cytoplasmic organelle
GO:0000220,C,other membranes
GO:0000221,C,other cytoplasmic organelle
GO:0000221,C,other membranes
GO:0000222,C,plasma membrane
GO:0000222,C,other membranes
GO:0000223,C,plasma membrane
GO:0000223,C,other membranes
GO:0000224,F,other molecular function
GO:0000225,F,other molecular function
GO:0000226,P,cell organization and biogenesis
GO:0000227,F,transporter activity
GO:0000228,C,nucleus
GO:0000229,C,other cellular component
GO:0000234,F,other molecular function
GO:0000235,C,cytoskeleton
GO:0000236,P,cell cycle and proliferation
GO:0000236,P,cell organization and biogenesis
GO:0000237,P,cell cycle and proliferation
GO:0000238,P,cell cycle and proliferation
GO:0000239,P,cell cycle and proliferation
GO:0000240,P,cell cycle and proliferation
GO:0000241,P,cell cycle and proliferation
GO:0000242,C,cytoskeleton
GO:0000243,C,nucleus
GO:0000244,P,RNA metabolism
GO:0000244,P,cell organization and biogenesis
GO:0000245,P,RNA metabolism
GO:0000245,P,cell organization and biogenesis
GO:0000246,F,other molecular function
GO:0000247,F,other molecular function
GO:0000248,F,other molecular function
GO:0000249,F,other molecular function
GO:0000250,F,other molecular function
GO:0000252,F,other molecular function
GO:0000253,F,other molecular function
GO:0000254,F,other molecular function
GO:0000255,P,other metabolic processes
GO:0000256,P,other metabolic processes
GO:0000257,F,other molecular function
GO:0000262,C,mitochondrion
GO:0000266,P,cell organization and biogenesis
GO:0000268,F,other molecular function
GO:0000269,F,transporter activity
GO:0000270,P,other metabolic processes
GO:0000271,P,other metabolic processes
GO:0000272,P,other metabolic processes
GO:0000274,C,mitochondrion
GO:0000274,C,other membranes
GO:0000275,C,mitochondrion
GO:0000275,C,other membranes
GO:0000276,C,mitochondrion
GO:0000276,C,other membranes
GO:0000277,F,other molecular function
GO:0000278,P,cell cycle and proliferation
GO:0000279,P,cell cycle and proliferation
GO:0000280,P,cell organization and biogenesis
GO:0000281,P,cell cycle and proliferation
GO:0000282,P,cell cycle and proliferation
GO:0000285,F,kinase activity
GO:0000286,F,other molecular function
GO:0000287,F,other molecular function
GO:0000288,P,RNA metabolism
GO:0000289,P,RNA metabolism
GO:0000290,P,RNA metabolism
GO:0000291,P,RNA metabolism
GO:0000292,P,RNA metabolism
GO:0000293,F,other molecular function
GO:0000294,P,RNA metabolism
GO:0000295,F,transporter activity
GO:0000296,P,transport
GO:0000297,F,transporter activity
GO:0000298,F,other molecular function
GO:0000301,P,transport
GO:0000302,P,stress response
GO:0000303,P,stress response
GO:0000304,P,stress response
GO:0000305,P,stress response
GO:0000306,C,other cytoplasmic organelle
GO:0000306,C,other membranes
GO:0000307,C,other cellular component
GO:0000308,C,other cellular component
GO:0000309,F,other molecular function
GO:0000310,F,other molecular function
GO:0000311,C,translational apparatus
GO:0000312,C,translational apparatus
GO:0000313,C,translational apparatus
GO:0000314,C,translational apparatus
GO:0000315,C,translational apparatus
GO:0000316,P,transport
GO:0000318,F,other molecular function
GO:0000319,F,transporter activity
GO:0000320,P,cell cycle and proliferation
GO:0000321,P,cell cycle and proliferation
GO:0000321,P,signal transduction
GO:0000322,C,other cytoplasmic organelle
GO:0000323,C,other cytoplasmic organelle
GO:0000324,C,other cytoplasmic organelle
GO:0000325,C,other cytoplasmic organelle
GO:0000326,C,other cytoplasmic organelle
GO:0000327,C,other cytoplasmic organelle
GO:0000328,C,other cytoplasmic organelle
GO:0000329,C,other cytoplasmic organelle
GO:0000329,C,other membranes
GO:0000330,C,other cytoplasmic organelle
GO:0000331,C,other cytoplasmic organelle
GO:0000332,F,nucleic acid binding activity
GO:0000333,C,nucleus
GO:0000334,F,other molecular function
GO:0000335,P,DNA metabolism
GO:0000336,P,DNA metabolism
GO:0000337,P,DNA metabolism
GO:0000338,P,protein metabolism
GO:0000339,F,nucleic acid binding activity
GO:0000340,F,nucleic acid binding activity
GO:0000341,F,nucleic acid binding activity
GO:0000342,F,nucleic acid binding activity
GO:0000343,C,other cellular component
GO:0000344,C,other cellular component
GO:0000345,C,cytosol
GO:0000346,C,nucleus
GO:0000347,C,nucleus
GO:0000348,P,RNA metabolism
GO:0000348,P,cell organization and biogenesis
GO:0000349,P,RNA metabolism
GO:0000349,P,cell organization and biogenesis
GO:0000350,P,RNA metabolism
GO:0000350,P,cell organization and biogenesis
GO:0000352,P,RNA metabolism
GO:0000352,P,cell organization and biogenesis
GO:0000353,P,RNA metabolism
GO:0000353,P,cell organization and biogenesis
GO:0000354,P,RNA metabolism
GO:0000354,P,cell organization and biogenesis
GO:0000365,P,RNA metabolism
GO:0000366,P,RNA metabolism
GO:0000372,P,RNA metabolism
GO:0000373,P,RNA metabolism
GO:0000374,P,RNA metabolism
GO:0000375,P,RNA metabolism
GO:0000376,P,RNA metabolism
GO:0000377,P,RNA metabolism
GO:0000378,P,RNA metabolism
GO:0000379,P,RNA metabolism
GO:0000380,P,RNA metabolism
GO:0000381,P,RNA metabolism
GO:0000384,F,other molecular function
GO:0000386,F,other molecular function
GO:0000387,P,RNA metabolism
GO:0000387,P,cell organization and biogenesis
GO:0000388,P,RNA metabolism
GO:0000388,P,cell organization and biogenesis
GO:0000389,P,RNA metabolism
GO:0000389,P,cell organization and biogenesis
GO:0000390,P,RNA metabolism
GO:0000390,P,cell organization and biogenesis
GO:0000393,P,RNA metabolism
GO:0000393,P,cell organization and biogenesis
GO:0000394,P,RNA metabolism
GO:0000395,P,RNA metabolism
GO:0000395,P,cell organization and biogenesis
GO:0000398,P,RNA metabolism
GO:0000399,C,other cellular component
GO:0000400,F,nucleic acid binding activity
GO:0000401,F,nucleic acid binding activity
GO:0000402,F,nucleic acid binding activity
GO:0000403,F,nucleic acid binding activity
GO:0000404,F,nucleic acid binding activity
GO:0000405,F,nucleic acid binding activity
GO:0000406,F,nucleic acid binding activity
GO:0000407,C,other cellular component
GO:0000408,C,other cellular component
GO:0000409,P,RNA metabolism
GO:0000410,P,RNA metabolism
GO:0000411,P,RNA metabolism
GO:0000412,P,protein metabolism
GO:0000412,P,cell organization and biogenesis
GO:0000413,P,protein metabolism
GO:0000414,P,protein metabolism
GO:0000414,P,cell organization and biogenesis
GO:0000415,P,protein metabolism
GO:0000415,P,cell organization and biogenesis
GO:0000416,P,protein metabolism
GO:0000416,P,cell organization and biogenesis
GO:0000417,C,nucleus
GO:0000418,C,nucleus
GO:0000419,C,nucleus
GO:0000421,C,other cytoplasmic organelle
GO:0000421,C,other membranes
GO:0000422,P,other metabolic processes
GO:0000423,P,stress response
GO:0000423,P,other metabolic processes
GO:0000424,P,other metabolic processes
GO:0000424,P,cell organization and biogenesis
GO:0000425,P,stress response
GO:0000425,P,other metabolic processes
GO:0000425,P,cell organization and biogenesis
GO:0000426,P,other metabolic processes
GO:0000426,P,cell organization and biogenesis
GO:0000427,C,other cellular component
GO:0000428,C,other cellular component
GO:0000429,P,RNA metabolism
GO:0000430,P,RNA metabolism
GO:0000431,P,RNA metabolism
GO:0000432,P,RNA metabolism
GO:0000433,P,RNA metabolism
GO:0000434,P,RNA metabolism
GO:0000435,P,RNA metabolism
GO:0000436,P,RNA metabolism
GO:0000437,P,RNA metabolism
GO:0000438,C,nucleus
GO:0000439,C,nucleus
GO:0000440,C,nucleus
GO:0000441,C,other cellular component
GO:0000442,C,nucleus
GO:0000443,C,nucleus
GO:0000444,C,other cellular component
GO:0000445,C,nucleus
GO:0000446,C,nucleus
GO:0000447,P,RNA metabolism
GO:0000448,P,RNA metabolism
GO:0000449,P,RNA metabolism
GO:0000450,P,RNA metabolism
GO:0000451,P,RNA metabolism
GO:0000452,P,RNA metabolism
GO:0000453,P,RNA metabolism
GO:0000454,P,RNA metabolism
GO:0000455,P,RNA metabolism
GO:0000456,P,RNA metabolism
GO:0000457,P,RNA metabolism
GO:0000458,P,RNA metabolism
GO:0000459,P,RNA metabolism
GO:0000460,P,RNA metabolism
GO:0000461,P,RNA metabolism
GO:0000462,P,RNA metabolism
GO:0000463,P,RNA metabolism
GO:0000464,P,RNA metabolism
GO:0000465,P,RNA metabolism
GO:0000466,P,RNA metabolism
GO:0000467,P,RNA metabolism
GO:0000468,P,RNA metabolism
GO:0000469,P,RNA metabolism
GO:0000470,P,RNA metabolism
GO:0000471,P,RNA metabolism
GO:0000472,P,RNA metabolism
GO:0000473,P,RNA metabolism
GO:0000474,P,RNA metabolism
GO:0000475,P,RNA metabolism
GO:0000476,P,RNA metabolism
GO:0000477,P,RNA metabolism
GO:0000478,P,RNA metabolism
GO:0000479,P,RNA metabolism
GO:0000480,P,RNA metabolism
GO:0000481,P,RNA metabolism
GO:0000482,P,RNA metabolism
GO:0000483,P,RNA metabolism
GO:0000484,P,RNA metabolism
GO:0000485,P,RNA metabolism
GO:0000486,P,RNA metabolism
GO:0000487,P,RNA metabolism
GO:0000488,P,RNA metabolism
GO:0000489,P,RNA metabolism
GO:0000491,P,cell organization and biogenesis
GO:0000492,P,cell organization and biogenesis
GO:0000493,P,cell organization and biogenesis
GO:0000494,P,RNA metabolism
GO:0000495,P,RNA metabolism
GO:0000496,F,nucleic acid binding activity
GO:0000497,F,nucleic acid binding activity
GO:0000498,F,nucleic acid binding activity
GO:0000499,F,nucleic acid binding activity
GO:0000500,C,nucleus
GO:0000501,P,other biological processes
GO:0000502,C,other cellular component
GO:0000506,C,ER/Golgi
GO:0000578,P,developmental processes
GO:0000700,F,other molecular function
GO:0000701,F,other molecular function
GO:0000702,F,other molecular function
GO:0000703,F,other molecular function
GO:0000704,F,other molecular function
GO:0000705,P,cell cycle and proliferation
GO:0000706,P,cell cycle and proliferation
GO:0000706,P,stress response
GO:0000706,P,DNA metabolism
GO:0000707,P,cell cycle and proliferation
GO:0000707,P,stress response
GO:0000707,P,DNA metabolism
GO:0000707,P,cell organization and biogenesis
GO:0000708,P,cell cycle and proliferation
GO:0000708,P,DNA metabolism
GO:0000709,P,cell cycle and proliferation
GO:0000709,P,DNA metabolism
GO:0000710,P,cell cycle and proliferation
GO:0000710,P,stress response
GO:0000710,P,DNA metabolism
GO:0000711,P,cell cycle and proliferation
GO:0000711,P,stress response
GO:0000711,P,DNA metabolism
GO:0000712,P,cell cycle and proliferation
GO:0000712,P,DNA metabolism
GO:0000713,P,cell cycle and proliferation
GO:0000713,P,DNA metabolism
GO:0000714,P,cell cycle and proliferation
GO:0000714,P,DNA metabolism
GO:0000715,P,stress response
GO:0000715,P,DNA metabolism
GO:0000715,P,cell organization and biogenesis
GO:0000716,P,stress response
GO:0000716,P,DNA metabolism
GO:0000716,P,cell organization and biogenesis
GO:0000717,P,stress response
GO:0000717,P,DNA metabolism
GO:0000718,P,stress response
GO:0000718,P,DNA metabolism
GO:0000719,P,stress response
GO:0000719,P,DNA metabolism
GO:0000720,P,stress response
GO:0000720,P,DNA metabolism
GO:0000721,F,other molecular function
GO:0000722,P,DNA metabolism
GO:0000722,P,cell organization and biogenesis
GO:0000723,P,DNA metabolism
GO:0000723,P,cell organization and biogenesis
GO:0000724,P,stress response
GO:0000724,P,DNA metabolism
GO:0000725,P,stress response
GO:0000725,P,DNA metabolism
GO:0000726,P,stress response
GO:0000726,P,DNA metabolism
GO:0000727,P,stress response
GO:0000727,P,DNA metabolism
GO:0000728,P,DNA metabolism
GO:0000729,P,stress response
GO:0000729,P,DNA metabolism
GO:0000730,P,stress response
GO:0000730,P,DNA metabolism
GO:0000730,P,cell organization and biogenesis
GO:0000731,P,stress response
GO:0000731,P,DNA metabolism
GO:0000732,P,DNA metabolism
GO:0000733,P,DNA metabolism
GO:0000734,P,stress response
GO:0000734,P,DNA metabolism
GO:0000735,P,DNA metabolism
GO:0000736,P,stress response
GO:0000736,P,DNA metabolism
GO:0000737,P,DNA metabolism
GO:0000738,P,DNA metabolism
GO:0000740,P,cell organization and biogenesis
GO:0000741,P,cell organization and biogenesis
GO:0000742,P,cell organization and biogenesis
GO:0000743,P,transport
GO:0000744,P,cell organization and biogenesis
GO:0000745,P,cell organization and biogenesis
GO:0000746,P,other biological processes
GO:0000747,P,other biological processes
GO:0000748,P,other biological processes
GO:0000749,P,other biological processes
GO:0000750,P,signal transduction
GO:0000751,P,cell cycle and proliferation
GO:0000752,P,cell adhesion
GO:0000753,P,cell organization and biogenesis
GO:0000754,P,signal transduction
GO:0000755,P,other biological processes
GO:0000756,P,other biological processes
GO:0000757,P,signal transduction
GO:0000758,P,cell adhesion
GO:0000759,P,cell organization and biogenesis
GO:0000760,P,signal transduction
GO:0000761,P,cell adhesion
GO:0000762,P,other biological processes
GO:0000765,P,other biological processes
GO:0000766,P,signal transduction
GO:0000767,P,cell organization and biogenesis
GO:0000768,P,other biological processes
GO:0000769,P,other biological processes
GO:0000770,P,transport
GO:0000770,P,cell-cell signaling
GO:0000771,P,cell adhesion
GO:0000772,F,signal transduction activity
GO:0000773,F,other molecular function
GO:0000774,F,enzyme regulator activity
GO:0000775,C,other cellular component
GO:0000776,C,other cellular component
GO:0000777,C,other cellular component
GO:0000778,C,nucleus
GO:0000779,C,other cellular component
GO:0000780,C,nucleus
GO:0000781,C,other cellular component
GO:0000782,C,other cellular component
GO:0000783,C,nucleus
GO:0000784,C,nucleus
GO:0000785,C,other cellular component
GO:0000786,C,other cellular component
GO:0000787,C,other cellular component
GO:0000788,C,nucleus
GO:0000789,C,other cellular component
GO:0000790,C,nucleus
GO:0000791,C,other cellular component
GO:0000792,C,other cellular component
GO:0000793,C,other cellular component
GO:0000794,C,nucleus
GO:0000795,C,nucleus
GO:0000796,C,other cellular component
GO:0000797,C,other cellular component
GO:0000798,C,nucleus
GO:0000799,C,nucleus
GO:0000800,C,nucleus
GO:0000801,C,nucleus
GO:0000802,C,nucleus
GO:0000803,C,other cellular component
GO:0000804,C,other cellular component
GO:0000805,C,other cellular component
GO:0000806,C,other cellular component
GO:0000807,C,other cellular component
GO:0000808,C,other cellular component
GO:0000809,C,other cellular component
GO:0000810,F,other molecular function
GO:0000811,C,nucleus
GO:0000812,C,nucleus
GO:0000813,C,other cytoplasmic organelle
GO:0000813,C,other membranes
GO:0000814,C,other cytoplasmic organelle
GO:0000814,C,other membranes
GO:0000815,C,other cytoplasmic organelle
GO:0000815,C,other membranes
GO:0000817,C,nucleus
GO:0000818,C,nucleus
GO:0000819,P,cell cycle and proliferation
GO:0000819,P,cell organization and biogenesis
GO:0000820,P,other metabolic processes
GO:0000821,P,other metabolic processes
GO:0000822,F,other molecular function
GO:0000823,F,kinase activity
GO:0000824,F,kinase activity
GO:0000825,F,kinase activity
GO:0000827,F,other molecular function
GO:0000828,F,other molecular function
GO:0000829,F,other molecular function
GO:0000830,F,other molecular function
GO:0000831,F,other molecular function
GO:0000832,F,other molecular function
GO:0000833,F,other molecular function
GO:0000834,F,other molecular function
GO:0000835,C,ER/Golgi
GO:0000835,C,other membranes
GO:0000836,C,ER/Golgi
GO:0000836,C,other membranes
GO:0000837,C,ER/Golgi
GO:0000837,C,other membranes
GO:0000838,C,ER/Golgi
GO:0000838,C,other membranes
GO:0000839,C,ER/Golgi
GO:0000839,C,other membranes
GO:0000900,F,nucleic acid binding activity
GO:0000901,F,other molecular function
GO:0000902,P,cell organization and biogenesis
GO:0000903,P,cell organization and biogenesis
GO:0000904,P,cell organization and biogenesis
GO:0000905,P,developmental processes
GO:0000906,F,other molecular function
GO:0000907,F,other molecular function
GO:0000908,F,other molecular function
GO:0000909,P,developmental processes
GO:0000910,P,other biological processes
GO:0000911,P,cell cycle and proliferation
GO:0000912,P,cell cycle and proliferation
GO:0000912,P,cell organization and biogenesis
GO:0000913,P,cell cycle and proliferation
GO:0000913,P,cell organization and biogenesis
GO:0000914,P,cell cycle and proliferation
GO:0000914,P,cell organization and biogenesis
GO:0000915,P,cell cycle and proliferation
GO:0000915,P,cell organization and biogenesis
GO:0000916,P,cell cycle and proliferation
GO:0000917,P,cell organization and biogenesis
GO:0000918,P,cell organization and biogenesis
GO:0000919,P,cell cycle and proliferation
GO:0000919,P,cell organization and biogenesis
GO:0000920,P,other biological processes
GO:0000921,P,cell organization and biogenesis
GO:0000922,C,cytoskeleton
GO:0000923,C,cytoskeleton
GO:0000924,C,cytoskeleton
GO:0000927,C,cytoskeleton
GO:0000928,C,cytoskeleton
GO:0000930,C,cytoskeleton
GO:0000931,C,cytoskeleton
GO:0000932,C,other cellular component
GO:0000933,C,other cellular component
GO:0000934,C,other cellular component
GO:0000935,C,other cellular component
GO:0000936,C,other cellular component
GO:0000937,C,other cellular component
GO:0000938,C,ER/Golgi
GO:0000939,C,other cellular component
GO:0000940,C,other cellular component
GO:0000941,C,nucleus
GO:0000942,C,nucleus
GO:0000943,C,nucleus
GO:0000944,F,nucleic acid binding activity
GO:0000945,F,nucleic acid binding activity
GO:0000946,F,nucleic acid binding activity
GO:0000947,P,other metabolic processes
GO:0000948,P,other metabolic processes
GO:0000949,P,other metabolic processes
GO:0000950,P,other metabolic processes
GO:0000951,P,other metabolic processes
GO:0000952,P,other metabolic processes
GO:0000953,P,other metabolic processes
GO:0000954,P,other metabolic processes
GO:0000955,P,other metabolic processes
GO:0000956,P,RNA metabolism
GO:0000957,P,RNA metabolism
GO:0000958,P,RNA metabolism
GO:0000959,P,RNA metabolism
GO:0000960,P,RNA metabolism
GO:0000961,P,RNA metabolism
GO:0000962,P,RNA metabolism
GO:0000963,P,RNA metabolism
GO:0000963,P,cell organization and biogenesis
GO:0000964,P,RNA metabolism
GO:0000964,P,cell organization and biogenesis
GO:0000965,P,RNA metabolism
GO:0000965,P,cell organization and biogenesis
GO:0000966,P,RNA metabolism
GO:0000967,P,RNA metabolism
GO:0000968,P,RNA metabolism
GO:0000969,P,RNA metabolism
GO:0000970,P,RNA metabolism
GO:0000971,P,RNA metabolism
GO:0000972,P,cell organization and biogenesis
GO:0000973,P,cell organization and biogenesis
GO:0000974,C,other cellular component
GO:0000975,F,nucleic acid binding activity
GO:0000976,F,nucleic acid binding activity
GO:0000977,F,nucleic acid binding activity
GO:0000978,F,nucleic acid binding activity
GO:0000979,F,nucleic acid binding activity
GO:0000980,F,nucleic acid binding activity
GO:0000981,F,other molecular function
GO:0000982,F,other molecular function
GO:0000983,F,other molecular function
GO:0000984,F,nucleic acid binding activity
GO:0000985,F,nucleic acid binding activity
GO:0000986,F,nucleic acid binding activity
GO:0000987,F,nucleic acid binding activity
GO:0000988,F,other molecular function
GO:0000989,F,other molecular function
GO:0000990,F,other molecular function
GO:0000991,F,other molecular function
GO:0000992,F,nucleic acid binding activity
GO:0000993,F,other molecular function
GO:0000994,F,other molecular function
GO:0000995,F,other molecular function
GO:0000996,F,other molecular function
GO:0000997,F,nucleic acid binding activity
GO:0000999,P,RNA metabolism
GO:0000999,P,cell organization and biogenesis
GO:0001000,F,other molecular function
GO:0001001,F,other molecular function
GO:0001002,F,nucleic acid binding activity
GO:0001003,F,nucleic acid binding activity
GO:0001004,F,other molecular function
GO:0001005,F,other molecular function
GO:0001006,F,nucleic acid binding activity
GO:0001007,F,other molecular function
GO:0001008,F,other molecular function
GO:0001009,P,RNA metabolism
GO:0001010,F,other molecular function
GO:0001011,F,other molecular function
GO:0001012,F,nucleic acid binding activity
GO:0001013,F,nucleic acid binding activity
GO:0001014,P,RNA metabolism
GO:0001015,P,RNA metabolism
GO:0001016,F,nucleic acid binding activity
GO:0001017,F,nucleic acid binding activity
GO:0001018,F,nucleic acid binding activity
GO:0001019,F,nucleic acid binding activity
GO:0001020,P,RNA metabolism
GO:0001020,P,cell organization and biogenesis
GO:0001021,P,RNA metabolism
GO:0001021,P,cell organization and biogenesis
GO:0001022,P,RNA metabolism
GO:0001023,P,RNA metabolism
GO:0001024,P,RNA metabolism
GO:0001025,F,other molecular function
GO:0001026,F,other molecular function
GO:0001027,F,other molecular function
GO:0001028,F,other molecular function
GO:0001029,F,other molecular function
GO:0001030,F,nucleic acid binding activity
GO:0001031,F,nucleic acid binding activity
GO:0001032,F,nucleic acid binding activity
GO:0001033,F,other molecular function
GO:0001034,F,other molecular function
GO:0001035,P,RNA metabolism
GO:0001036,P,RNA metabolism
GO:0001037,F,nucleic acid binding activity
GO:0001038,F,other molecular function
GO:0001039,F,nucleic acid binding activity
GO:0001040,F,other molecular function
GO:0001041,P,RNA metabolism
GO:0001042,F,other molecular function
GO:0001043,P,RNA metabolism
GO:0001043,P,cell organization and biogenesis
GO:0001044,F,nucleic acid binding activity
GO:0001045,F,nucleic acid binding activity
GO:0001046,F,nucleic acid binding activity
GO:0001047,F,nucleic acid binding activity
GO:0001048,F,other molecular function
GO:0001049,F,other molecular function
GO:0001050,F,other molecular function
GO:0001051,F,other molecular function
GO:0001052,F,other molecular function
GO:0001053,F,other molecular function
GO:0001054,F,other molecular function
GO:0001055,F,other molecular function
GO:0001056,F,other molecular function
GO:0001057,F,other molecular function
GO:0001058,F,other molecular function
GO:0001059,P,RNA metabolism
GO:0001060,P,RNA metabolism
GO:0001061,F,other molecular function
GO:0001062,F,other molecular function
GO:0001063,F,other molecular function
GO:0001064,F,other molecular function
GO:0001065,F,other molecular function
GO:0001066,F,other molecular function
