gene_id,C17_R1_001.fastq.gz.sam.sorted.bam.gtf
Pver_gene_g17188,0
Pver_gene_g83,279
Pver_gene_g80,6418
Pver_gene_g81,0
Pver_gene_g17184,0
Pver_gene_g17185,132
Pver_gene_g17186,5390
Pver_gene_g17187,0
Pver_gene_g17180,0
Pver_gene_g17181,0
Pver_gene_g17182,121
Pver_gene_g12351,0
Pver_gene_g17724,0
Pver_gene_g12537,12
Pver_gene_g17726,13
Pver_gene_g12535,3700
Pver_gene_novel_gene_480_5de57afd,118
Pver_gene_g17720,78
Pver_gene_novel_gene_642_5de57afd,14
Pver_gene_g12533,2367
Pver_gene_g17722,0
Pver_gene_g12531,211
Pver_gene_g20393,0
Pver_gene_g17453,0
Pver_gene_g20391,0
Pver_gene_g17451,8
Pver_gene_g17456,254
Pver_gene_g17457,11
Pver_gene_g17454,128
Pver_gene_g20394,0
Pver_gene_g20399,25
Pver_gene_g17459,247
Pver_gene_g10868,341
Pver_gene_g10869,167
Pver_gene_g10862,114
Pver_gene_g10863,89
Pver_gene_g10860,0
Pver_gene_g10861,3750
Pver_gene_g10866,274
Pver_gene_g10867,35
Pver_gene_g10864,196
Pver_gene_g10865,681
Pver_gene_g14198,2230
Pver_gene_g14199,79
Pver_gene_g14192,0
Pver_gene_g14193,1959
Pver_gene_g14190,1828
Pver_gene_g14191,346
Pver_gene_g14196,892
Pver_gene_g14197,69
Pver_gene_g14194,755
Pver_gene_g14195,42
Pver_gene_g8115,1084
Pver_gene_g11115,408
Pver_gene_g11114,182
Pver_gene_g11117,180
Pver_gene_g11116,198
Pver_gene_g11111,0
Pver_gene_g11110,0
Pver_gene_g11113,0
Pver_gene_g11112,0
Pver_gene_g16329,81
Pver_gene_g16328,0
Pver_gene_g11119,800
Pver_gene_g11118,1720
Pver_gene_g18479,212
Pver_gene_g18478,0
Pver_gene_g18471,181
Pver_gene_g18470,56
Pver_gene_g18473,67
Pver_gene_g18472,96
Pver_gene_g18475,47
Pver_gene_g18474,513
Pver_gene_g18477,9
Pver_gene_g18476,230
Pver_gene_g10246,339
Pver_gene_g10247,861
Pver_gene_g10244,1778
Pver_gene_g10245,772
Pver_gene_g10242,0
Pver_gene_g10243,5418
Pver_gene_g10240,538
Pver_gene_g10241,0
Pver_gene_split_gene_g5912-g232,216
Pver_gene_g10248,452
Pver_gene_g10249,30
Pver_gene_g19612,590
Pver_gene_g19613,0
Pver_gene_g19610,125
Pver_gene_g19611,288
Pver_gene_g14260,2238
Pver_gene_g19617,0
Pver_gene_g15744,110
Pver_gene_g15745,3607
Pver_gene_g15746,717
Pver_gene_g15747,4640
Pver_gene_g15740,0
Pver_gene_g15741,117
Pver_gene_g15742,0
Pver_gene_g15743,99
Pver_gene_g19615,21
Pver_gene_g15748,1745
Pver_gene_g15749,434
Pver_gene_g21941,0
Pver_gene_g3377,1712
Pver_gene_g22427,54
Pver_gene_g22426,0
Pver_gene_g22425,6
Pver_gene_g22424,4
Pver_gene_g22423,74
Pver_gene_g22422,5
Pver_gene_g22421,34
Pver_gene_g22420,4
Pver_gene_g22429,0
Pver_gene_g22428,15
Pver_gene_g22399,67
Pver_gene_g22398,10
Pver_gene_g22395,10
Pver_gene_g22394,182
Pver_gene_g22397,6
Pver_gene_g22396,0
Pver_gene_g22391,20
Pver_gene_g22390,0
Pver_gene_g22393,2
Pver_gene_g22392,0
Pver_gene_g21862,4
Pver_gene_novel_gene_93_5de57afd,22
Pver_gene_g18563,31
STRG.15659,1
Pver_gene_g9065,0
Pver_gene_g9064,0
Pver_gene_g9067,2631
Pver_gene_g9066,23
Pver_gene_g9061,594
Pver_gene_g9060,539
Pver_gene_g9063,4069
Pver_gene_g9062,2223
STRG.6669,3
Pver_gene_g4955,120
Pver_gene_g9069,336
Pver_gene_g9068,982
Pver_gene_g21869,0
Pver_gene_g8918,1090
Pver_gene_g8919,2370
Pver_gene_g8912,442
Pver_gene_g8913,668
Pver_gene_g8910,0
Pver_gene_g8911,986
Pver_gene_g8916,133
Pver_gene_g8917,7
Pver_gene_g8914,11
Pver_gene_g8915,3107
Pver_gene_novel_gene_457_5de57afd,118
Pver_gene_g19108,311
Pver_gene_g19109,134
Pver_gene_g19102,3879
Pver_gene_g19103,988
Pver_gene_g19100,8342
Pver_gene_g19101,24
Pver_gene_g19106,0
Pver_gene_g19107,9
Pver_gene_g19104,0
Pver_gene_g19105,0
Pver_gene_novel_gene_252_5de57afd,9
STRG.867,78
Pver_gene_g23744,0
Pver_gene_g11617,2393
Pver_gene_g18279,14
Pver_gene_g18278,24
Pver_gene_g18273,0
Pver_gene_g18272,2
Pver_gene_g18271,578
Pver_gene_g18270,875
Pver_gene_g18277,456
Pver_gene_g18276,1151
Pver_gene_g18275,0
Pver_gene_g18274,266
Pver_gene_g3650,1711
Pver_gene_g3651,138
Pver_gene_g3652,30
Pver_gene_g3653,5182
Pver_gene_g3654,3087
Pver_gene_g3655,1673
Pver_gene_g3656,35
Pver_gene_g3657,231
Pver_gene_g3658,205
Pver_gene_g3659,111
Pver_gene_g22980,0
Pver_gene_g22981,0
Pver_gene_g22982,0
Pver_gene_g22983,11
Pver_gene_g22984,0
Pver_gene_g22985,7
Pver_gene_g22986,6
Pver_gene_g22987,638
Pver_gene_g22988,830
Pver_gene_g22989,471
Pver_gene_g4022,50
Pver_gene_g4023,85
Pver_gene_g4020,425
Pver_gene_g4021,25
Pver_gene_g4026,461
Pver_gene_g4027,212
Pver_gene_g4024,2711
Pver_gene_g4025,599
Pver_gene_g4028,2636
Pver_gene_g4029,2960
Pver_gene_g10023,2091
Pver_gene_g1658,107
Pver_gene_g1659,223
Pver_gene_g1653,1047
Pver_gene_g1650,433
Pver_gene_g1651,1524
Pver_gene_g1656,1688
Pver_gene_g1657,278
Pver_gene_g1654,73
Pver_gene_g1655,483
Pver_gene_g21981,0
Pver_gene_g17233,31
Pver_gene_g21983,0
Pver_gene_g21982,0
Pver_gene_g17236,1093
Pver_gene_g17237,4049
Pver_gene_g21987,1466
Pver_gene_g21986,215
Pver_gene_g21989,0
Pver_gene_g21988,0
Pver_gene_g17238,13
Pver_gene_g17239,79
Pver_gene_g16685,58
Pver_gene_g4688,2420
Pver_gene_g4689,926
Pver_gene_novel_gene_775_5de57afd,93
Pver_gene_g5371,169
Pver_gene_g5370,11623
Pver_gene_g5373,66
Pver_gene_g5372,12
Pver_gene_g5375,12
Pver_gene_g5374,545
Pver_gene_g5377,326
Pver_gene_g5376,14
Pver_gene_g5379,0
Pver_gene_g5378,2897
Pver_gene_g4970,422
Pver_gene_g4971,1355
Pver_gene_g4972,2597
Pver_gene_g4973,936
Pver_gene_g4974,1841
Pver_gene_g4975,9547
Pver_gene_g4976,247
Pver_gene_g23241,26
Pver_gene_g4978,3482
Pver_gene_g4979,2010
Pver_gene_g5089,3877
Pver_gene_g5088,1933
Pver_gene_g5083,861
Pver_gene_g5082,627
Pver_gene_g5081,0
Pver_gene_g5080,2679
Pver_gene_g5087,1122
Pver_gene_g5086,516
Pver_gene_g5085,2220
Pver_gene_g5084,67
Pver_gene_g23161,297
Pver_gene_g23160,0
Pver_gene_g23163,0
Pver_gene_g23162,29
Pver_gene_g23165,0
Pver_gene_g23164,184
Pver_gene_g23167,14
Pver_gene_g23166,0
Pver_gene_g23169,0
Pver_gene_g23168,0
Pver_gene_novel_gene_281_5de57afd,26
STRG.7036,480
Pver_gene_g25394,135
Pver_gene_g8492,79
Pver_gene_g25396,0
Pver_gene_g8490,0
Pver_gene_g25390,0
Pver_gene_g8496,29
Pver_gene_g23297,4
Pver_gene_g26664,0
Pver_gene_g23295,62
Pver_gene_g26666,101
Pver_gene_g23293,49
Pver_gene_g26660,692
Pver_gene_g26663,0
Pver_gene_g26662,0
Pver_gene_g8494,0
Pver_gene_g26669,13
Pver_gene_g26668,603
Pver_gene_g23299,12
Pver_gene_g23298,4
Pver_gene_g16543,9246
Pver_gene_g16542,975
Pver_gene_g2682,14252
Pver_gene_g2683,294
Pver_gene_g16547,16
Pver_gene_g16546,579
Pver_gene_g16545,596
Pver_gene_g16544,2032
Pver_gene_g2688,0
Pver_gene_g2689,249
Pver_gene_g16549,2130
Pver_gene_g16548,12020
STRG.15867,2
STRG.15861,21
Pver_gene_g2538,544
Pver_gene_g2539,472
Pver_gene_g2532,1084
Pver_gene_g2533,197
Pver_gene_g2530,26046
Pver_gene_g2531,4002
Pver_gene_g2536,171
Pver_gene_g2537,122
Pver_gene_g2534,361
Pver_gene_g2535,514
Pver_gene_g24668,0
Pver_gene_g15164,0
Pver_gene_g15165,0
Pver_gene_g15166,4
Pver_gene_g15167,2551
Pver_gene_g15160,0
Pver_gene_g15161,46
Pver_gene_g15162,8
Pver_gene_g15163,0
Pver_gene_g15168,3966
Pver_gene_g15169,594
Pver_gene_g23833,0
Pver_gene_g23832,16
Pver_gene_g23831,0
Pver_gene_g23830,0
Pver_gene_g23837,0
Pver_gene_g23836,737
Pver_gene_g23835,0
Pver_gene_g23834,0
Pver_gene_novel_gene_286_5de57afd,32
Pver_gene_g23839,0
Pver_gene_g23838,0
Pver_gene_g21479,0
Pver_gene_g21478,246
Pver_gene_g21471,0
Pver_gene_g21470,109
Pver_gene_g21473,366
Pver_gene_g21472,558
Pver_gene_g21475,0
Pver_gene_g21474,0
Pver_gene_g21477,2
Pver_gene_g21476,54
Pver_gene_g414,11334
Pver_gene_g415,146
Pver_gene_g416,1386
Pver_gene_g19660,0
Pver_gene_g410,182
Pver_gene_g411,308
Pver_gene_g412,1939
Pver_gene_g413,420
Pver_gene_g19669,39
Pver_gene_g19668,779
Pver_gene_g418,1622
Pver_gene_g419,1110
Pver_gene_g11090,60
Pver_gene_g11091,197
Pver_gene_g11092,1501
Pver_gene_g11093,63235
Pver_gene_g11094,2495
Pver_gene_g11095,0
Pver_gene_g11096,16
Pver_gene_g11097,4
Pver_gene_g11098,12
Pver_gene_g11099,366
Pver_gene_g6915,13632
Pver_gene_g12675,772
Pver_gene_g12674,5285
Pver_gene_g12677,29
Pver_gene_g12676,47
Pver_gene_g12671,515
Pver_gene_g12670,15
Pver_gene_g12673,34
Pver_gene_g12672,642
Pver_gene_g12679,0
Pver_gene_g12678,0
Pver_gene_g8185,1102
Pver_gene_g6919,1132
Pver_gene_g8729,73
Pver_gene_g22620,0
Pver_gene_g14789,596
Pver_gene_g14788,1155
Pver_gene_g14783,154
Pver_gene_g16045,1881
Pver_gene_g14781,5076
Pver_gene_g14780,4461
Pver_gene_g14787,93
Pver_gene_g14786,26
Pver_gene_g14785,10
Pver_gene_g14784,2
Pver_gene_g11326,710
Pver_gene_g11327,831
Pver_gene_g11324,5358
Pver_gene_g11325,3751
Pver_gene_g11322,1723
Pver_gene_g11323,396
Pver_gene_g11320,126
Pver_gene_g11321,267
Pver_gene_novel_gene_268_5de57afd,715
Pver_gene_g11328,2356
Pver_gene_g11329,0
Pver_gene_g8721,50030
Pver_gene_g22628,0
Pver_gene_g13786,4010
Pver_gene_g13787,104
Pver_gene_g13784,456
Pver_gene_g13785,174
Pver_gene_g13782,26
Pver_gene_g13783,0
Pver_gene_g13780,12
Pver_gene_g13781,991
Pver_gene_novel_gene_317_5de57afd,56
Pver_gene_g13788,275
Pver_gene_g13789,773
Pver_gene_g10986,264
Pver_gene_novel_gene_511_5de57afd,678
Pver_gene_g13258,0
Pver_gene_g13259,0
Pver_gene_g13254,121
Pver_gene_g13255,0
Pver_gene_g13256,0
Pver_gene_g13257,0
Pver_gene_g13250,36
Pver_gene_g13251,116
Pver_gene_g13252,713
Pver_gene_g13253,24
Pver_gene_g15955,5
Pver_gene_g15954,84
Pver_gene_g15957,0
Pver_gene_g15956,14
Pver_gene_g15951,2826
Pver_gene_g15950,0
Pver_gene_g15953,0
Pver_gene_g15952,320
Pver_gene_g15959,427
Pver_gene_g15958,416
Pver_gene_g5464,0
Pver_gene_g5463,24
Pver_gene_g25747,0
Pver_gene_g25746,911
Pver_gene_g25745,281
Pver_gene_g25744,443
Pver_gene_g25743,372
Pver_gene_g25742,2131
Pver_gene_g25741,0
Pver_gene_g25740,1092
Pver_gene_g25749,1473
Pver_gene_g25748,240
Pver_gene_g7159,18997
Pver_gene_g7158,762
Pver_gene_g7153,1759
Pver_gene_g7152,523
Pver_gene_g7151,125
Pver_gene_g7150,2696
Pver_gene_g7157,1726
Pver_gene_g7156,971
Pver_gene_g7155,2421
Pver_gene_g7154,234
Pver_gene_g10676,2913
Pver_gene_g9645,4895
Pver_gene_g9644,1076
Pver_gene_g9647,942
Pver_gene_g9646,1807
Pver_gene_g9641,607
Pver_gene_g9640,1402
Pver_gene_g9643,906
Pver_gene_g9642,2212
Pver_gene_g9649,4748
Pver_gene_g9648,1203
Pver_gene_novel_gene_759_5de57afd,8
Pver_gene_g22218,40
Pver_gene_g22219,0
Pver_gene_g22210,66
Pver_gene_g22211,0
Pver_gene_g22212,0
Pver_gene_g22213,0
Pver_gene_g22214,24
Pver_gene_g22215,3
Pver_gene_g22216,13
Pver_gene_g22217,0
Pver_gene_g1418,1873
Pver_gene_g1419,80
Pver_gene_g1410,324
Pver_gene_g1411,0
Pver_gene_g1412,308
Pver_gene_g1413,55
Pver_gene_g1414,355
Pver_gene_g1415,68
Pver_gene_g1416,69
Pver_gene_g1417,1531
STRG.14483,0
Pver_gene_g999,1632
Pver_gene_g998,172
Pver_gene_g995,964
Pver_gene_g994,163
Pver_gene_g997,142
Pver_gene_g996,2073
Pver_gene_g991,6411
Pver_gene_g990,366
Pver_gene_g993,12098
Pver_gene_g992,2852
Pver_gene_g14648_g14650,673
Pver_gene_g8279,187
Pver_gene_g8278,0
Pver_gene_g8273,10
Pver_gene_g8272,34
Pver_gene_g8271,206
Pver_gene_g8270,5156
Pver_gene_g8277,0
Pver_gene_g8276,0
Pver_gene_g8275,889
Pver_gene_g8274,183
Pver_gene_g26057,13567
Pver_gene_g26394,0
Pver_gene_g26467,701
Pver_gene_g26466,804
Pver_gene_g26465,15298
Pver_gene_g26464,0
Pver_gene_g26463,0
Pver_gene_g26462,202
Pver_gene_g26461,15
Pver_gene_g26460,1081
Pver_gene_g26469,900
Pver_gene_g26468,2130
STRG.7088,26
Pver_gene_novel_gene_440_5de57afd,1352
Pver_gene_novel_gene_792_5de57afd,16
Pver_gene_g8898,2033
Pver_gene_g8896,35
Pver_gene_g8895,110
Pver_gene_g8894,603
Pver_gene_g8893,222
Pver_gene_g8892,1494
Pver_gene_g8891,0
Pver_gene_g8890,23
Pver_gene_g20108,19
Pver_gene_g20109,0
Pver_gene_g7979,780
Pver_gene_g7978,41
Pver_gene_g20102,0
Pver_gene_g20103,0
Pver_gene_g20100,20
Pver_gene_g7976,872
Pver_gene_g7971,514
Pver_gene_g7970,1788
Pver_gene_g7973,1456
Pver_gene_g7972,869
Pver_gene_g2338,0
Pver_gene_g2339,1300
Pver_gene_g2330,85
Pver_gene_g2331,231
Pver_gene_g2332,0
Pver_gene_g2333,0
Pver_gene_g2334,0
Pver_gene_g2335,6
Pver_gene_g2336,0
Pver_gene_g2337,4600
Pver_gene_g24829,0
Pver_gene_g24828,0
Pver_gene_g24825,0
Pver_gene_g24824,0
Pver_gene_g24827,0
Pver_gene_g24826,0
Pver_gene_g24821,0
Pver_gene_g24820,119
Pver_gene_g24823,0
Pver_gene_g24822,0
STRG.1523,49
Pver_gene_novel_gene_70_5de57afd,936
Pver_gene_g21279,380
Pver_gene_g21278,0
Pver_gene_g16172,1084
Pver_gene_g16173,536
Pver_gene_g21271,0
Pver_gene_g21270,191
Pver_gene_g16176,903
Pver_gene_g21276,0
Pver_gene_g21275,274
Pver_gene_g16175,7
Pver_gene_novel_gene_425_5de57afd,9
Pver_gene_g24179,7
Pver_gene_g24178,0
Pver_gene_g24177,0
Pver_gene_g24176,0
Pver_gene_g24175,0
Pver_gene_g24174,0
Pver_gene_g24173,0
Pver_gene_g24172,0
Pver_gene_g24171,0
Pver_gene_g24170,0
Pver_gene_g2806,10721
Pver_gene_g2807,10336
Pver_gene_g2804,3980
Pver_gene_g2805,1192
Pver_gene_g2802,1144
Pver_gene_g2803,1140
Pver_gene_g2800,482
Pver_gene_g2801,508
Pver_gene_g2808,5
Pver_gene_g2809,29
Pver_gene_novel_gene_704_5de57afd,3
Pver_gene_novel_gene_456_5de57afd,12
Pver_gene_g6363,0
Pver_gene_g6362,148
Pver_gene_g25886,126
Pver_gene_g25887,669
Pver_gene_g6367,988
Pver_gene_g6366,10714
Pver_gene_g6365,172
Pver_gene_novel_gene_62_5de57afd,13
Pver_gene_g6369,1320
Pver_gene_g6368,271
Pver_gene_g25888,207
Pver_gene_g25889,2447
Pver_gene_g19319,349
Pver_gene_g19318,1199
Pver_gene_g19313,0
Pver_gene_g19312,303
Pver_gene_g19311,823
Pver_gene_g19310,28
Pver_gene_g19317,734
Pver_gene_g19316,3818
Pver_gene_g19315,0
Pver_gene_g19314,0
Pver_gene_g7574,39
Pver_gene_g10439,1354
Pver_gene_g10438,313
Pver_gene_g10435,149
Pver_gene_g10434,2836
Pver_gene_g10437,27
Pver_gene_g10436,158
Pver_gene_g10431,81
Pver_gene_g10430,8449
Pver_gene_g10433,1552
Pver_gene_g10432,40
Pver_gene_g25220,1
Pver_gene_g25221,0
Pver_gene_g25222,0
Pver_gene_g25223,0
Pver_gene_g25224,0
Pver_gene_g25225,0
Pver_gene_g25226,25
Pver_gene_g25227,0
Pver_gene_g25228,0
Pver_gene_g25229,0
Pver_gene_novel_gene_142_5de57afd,67
Pver_gene_g1759,0
Pver_gene_g1758,127
Pver_gene_g1757,483
Pver_gene_g1756,491
Pver_gene_g1755,2058
Pver_gene_g1754,3633
Pver_gene_g1753,1763
Pver_gene_g1752,1429
Pver_gene_g1751,3016
Pver_gene_g1750,4305
Pver_gene_g13319,0
Pver_gene_g13318,0
Pver_gene_g13315,148
Pver_gene_g13314,0
Pver_gene_g13317,1065
Pver_gene_g13316,349
Pver_gene_g13311,755
Pver_gene_g13310,326
Pver_gene_g13313,7
Pver_gene_g13312,0
Pver_gene_g16998,102
Pver_gene_g16999,0
Pver_gene_g16990,454
Pver_gene_g16991,1544
Pver_gene_g16992,201
Pver_gene_g16993,788
Pver_gene_g16994,475
Pver_gene_g16995,118
Pver_gene_g16996,2690
Pver_gene_g16997,755
Pver_gene_g23312,2190
Pver_gene_g26141,545
Pver_gene_g23310,0
Pver_gene_g23311,6
Pver_gene_g26144,2687
Pver_gene_g23317,0
Pver_gene_g23314,0
Pver_gene_g26147,2360
Pver_gene_g26148,1637
Pver_gene_g26149,893
Pver_gene_g23318,89
Pver_gene_g23319,1179
Pver_gene_g14848,4
Pver_novel_model_771_5de57afd,0
Pver_gene_g972,1963
Pver_gene_g14840,134
Pver_gene_g14841,63
Pver_gene_g14842,35
Pver_gene_g14843,29
Pver_gene_g14844,20
Pver_gene_g14845,0
Pver_gene_g14846,0
Pver_gene_g14847,4
Pver_gene_g5120,0
Pver_gene_g5121,479
Pver_gene_g5122,695
Pver_gene_novel_gene_302_5de57afd,22
Pver_gene_g5124,113
Pver_gene_g5125,0
Pver_gene_g5126,27
Pver_gene_g5127,0
Pver_gene_g5128,0
Pver_gene_g977,229
Pver_gene_g976,1628
Pver_gene_g15405,155
Pver_gene_g974,6005
Pver_gene_g979,495
Pver_gene_g15408,9336
Pver_gene_novel_gene_369_5de57afd,362
Pver_gene_g12194,378
Pver_gene_g12195,692
Pver_gene_g12196,1102
Pver_gene_g12197,161
Pver_gene_g20667,0
Pver_gene_g12191,0
Pver_gene_g12192,315
Pver_gene_g12193,1604
Pver_gene_g20669,0
Pver_gene_g20668,20
Pver_gene_g12198,30
Pver_gene_g12199,2359
Pver_gene_g13869,791
Pver_gene_g13868,838
Pver_gene_g13867,2680
Pver_gene_g13866,661
Pver_gene_g13865,871
Pver_gene_g13864,5
Pver_gene_g13863,2894
Pver_gene_g13862,545
Pver_gene_g13861,0
Pver_gene_g13860,252
Pver_gene_g2479,401
Pver_gene_g2478,3839
Pver_gene_g2477,47
Pver_gene_g2476,3822
Pver_gene_g2475,18
Pver_gene_g2474,313
Pver_gene_g2473,562
Pver_gene_g2471,1701
Pver_gene_g2470,9454
Pver_gene_g16640,406
Pver_gene_g11613,12
Pver_gene_g11610,3716
Pver_gene_g16643,0
Pver_gene_g11616,835
Pver_gene_novel_gene_658_5de57afd,1110
Pver_gene_g11614,13
Pver_gene_g15089,0
Pver_gene_g15088,0
Pver_gene_g15087,0
Pver_gene_g15086,266
Pver_gene_g15085,1147
Pver_gene_g15084,5876
Pver_gene_g15083,255
Pver_gene_g15082,235
Pver_gene_g15081,1583
Pver_gene_g15080,1415
Pver_gene_g15335,0
Pver_gene_g15334,205
Pver_gene_g15337,8
Pver_gene_g15336,6698
Pver_gene_g15331,1007
Pver_gene_g15330,160
Pver_gene_g15333,84
Pver_gene_g15332,876
Pver_gene_g15339,0
Pver_gene_g15338,0
Pver_gene_g12730,1706
Pver_gene_g12731,967
Pver_gene_g12732,13144
Pver_gene_g12733,2675
Pver_gene_g12734,974
Pver_gene_g12736,1821
Pver_gene_g12737,21
Pver_gene_g12738,0
Pver_gene_g12739,180
Pver_gene_g11425,294
Pver_gene_g11424,890
Pver_gene_novel_gene_477_5de57afd,71
Pver_gene_g11426,0
Pver_gene_g11421,2413
Pver_gene_g11420,15
Pver_gene_g11423,1110
Pver_gene_g11422,205
Pver_gene_g11429,1216
Pver_gene_g11428,654
Pver_gene_g205,286
Pver_gene_g207,322
Pver_gene_g206,580
Pver_gene_g201,918
Pver_gene_g200,0
Pver_gene_g203,1378
Pver_gene_g209,795
Pver_gene_g208,4476
Pver_gene_g10776,130
Pver_gene_g10777,109
Pver_gene_g10774,4801
Pver_gene_g10775,411
